algorithm,init,crossover,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_dense,UX,1,512850780,249.50088572502136,220,0,0.37030859198903493,1.5907225004259204,1.615621117703332,0.08938139172237089,0.595557010336315,0.9435342233705674,0.0007100591715976332,0.00029517991361143923,0.372691858461174,0.0004827614746906399
NSGA2,random_dense,UX,2,1480520827,227.15108847618103,220,0,0.34606282040060826,1.5867250764427594,1.6158970105893107,0.09046525607491536,0.6015521792818677,0.9022774172594317,0.0007558578987150415,0.0003200254729403175,0.38118512320887127,0.0004937631129648592
NSGA2,random_dense,UX,3,1029106310,209.16585111618042,220,0,0.3366368190534234,1.5919556525872314,1.6236780209131696,0.08888320235194257,0.6145701633154155,0.9218713530484032,0.0006887052341597796,0.00029332072841317056,0.37769832729515296,0.0004892465379470894
NSGA2,random_dense,UX,4,1556623897,203.68171334266663,220,0,0.37941474553493976,1.5749087541604605,1.6003940157059562,0.09269364234520595,0.5594971677830595,0.8948717131375922,0.0007804370447450572,0.00031635077840510927,0.3864211666381197,0.0005005455526400515
NSGA2,random_dense,UX,5,1826456263,220.61121320724487,220,0,0.3429517440788951,1.5927164847357504,1.624788150997508,0.08914680643661003,0.6270939719134055,0.9238154639728449,0.000732421875,0.0003098436848438911,0.37487629551913365,0.0004855910563719348
NSGA2,greedy_multi,UX,1,361718281,235.81126952171326,218,2,0.5387774035237488,1.3032435772547541,1.3682944006883793,0.22306280423112107,0.0,0.41873031022353147,0.02040816326530612,0.007069916613765432,0.43648025332891355,0.0005653889291825305
NSGA2,greedy_multi,UX,2,1329388328,260.4499468803406,219,1,0.5389747098473509,1.3045937881145306,1.3564791862947594,0.22337934222827485,0.0018026368208780862,0.4480895029720809,0.02040816326530612,0.00728012321101283,0.42970444044040784,0.0005566119694823936
NSGA2,greedy_multi,UX,3,877973811,249.90514039993286,220,0,0.4468367756734479,1.3104000984039395,1.3603707081844902,0.2226667775597934,0.0,0.29085903901750976,0.02040816326530612,0.008348767014740471,0.46473000775536183,0.0006019818753307796
NSGA2,greedy_multi,UX,4,1405491398,205.22646307945251,220,0,0.5465831650150873,1.2889637168266688,1.3582631151019504,0.2339994338076971,0.0,0.43651363654276387,0.02040816326530612,0.007929474426056788,0.43011099409103803,0.0005571385933821736
NSGA2,greedy_multi,UX,5,1675323764,194.78025889396667,220,0,0.5709534287745197,1.2863370055186687,1.3481900702883665,0.23459991032327726,0.0,0.43717488275431127,0.02040816326530612,0.006950831973990738,0.43387015002514806,0.0005620079663538187
