tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,NSGA3,random_dense,3,1836720822,266.0,66.0,109.3395390070922,290.86432319174105
Pseudo-Weights Match,Global,NSGA3,random_dense,3,1836720822,282.0,66.0,121.82180851063829,407.1943116229061
Mejor Knee Point,Global,NSGA3,random_dense,2,860917006,336.0,84.0,128.79255319148936,322.1165402897237
Compromise (ASF),Local,NSGA2,random_dense,1,968166279,226.0,47.0,88.72783687943263,151.07574993083855
Pseudo-Weights Match,Local,NSGA2,random_dense,1,968166279,271.0,58.0,105.36436170212765,218.34685047910037
Mejor Knee Point,Local,NSGA2,random_dense,1,968166279,420.0,94.0,159.73758865248226,599.4914239726376
Compromise (ASF),Local,NSGA2,random_dense,1,968166279,519.0,114.0,197.88031914893617,1006.0131587633924
Pseudo-Weights Match,Local,NSGA2,random_dense,2,389715676,365.0,76.0,141.88563829787233,476.1846164365474
Mejor Knee Point,Local,NSGA2,random_dense,3,1365519492,465.0,101.0,179.24379432624113,759.2996068796828
Compromise (ASF),Local,NSGA2,random_dense,4,1294041239,345.0,73.0,131.36702127659575,396.4468556662143
Pseudo-Weights Match,Local,NSGA2,random_dense,3,1365519492,393.0,88.0,153.2304964539007,540.5709848599166
Mejor Knee Point,Local,NSGA2,random_dense,5,1818464070,383.0,83.0,149.38741134751774,511.3543450719291
Compromise (ASF),Local,NSGA2,random_dense,3,1365519492,357.0,81.0,140.81205673758865,446.00723052160413
Pseudo-Weights Match,Local,NSGA2,random_dense,4,1294041239,365.0,83.0,144.6418439716312,522.325624968563
Mejor Knee Point,Local,NSGA2,random_dense,1,968166279,320.0,77.0,124.89450354609929,320.78408326417104
Compromise (ASF),Local,NSGA2,random_dense,1,968166279,495.0,111.0,189.20744680851064,905.7548381620652
Pseudo-Weights Match,Local,NSGA2,random_dense,1,968166279,436.0,97.0,169.33156028368793,707.3439684875002
Mejor Knee Point,Local,NSGA2,random_dense,1,968166279,518.0,115.0,197.34397163120568,1012.6689175594786
Compromise (ASF),Local,NSGA2,random_dense,1,968166279,502.0,112.0,192.19858156028369,933.6768774206535
Pseudo-Weights Match,Local,NSGA2,random_dense,1,968166279,502.0,112.0,192.19858156028369,933.6768774206535
Mejor Knee Point,Local,NSGA2,random_dense,1,968166279,228.0,46.0,89.03191489361703,152.9777048438208
