tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,NSGA3,random_dense,3,1141658773,249.0,62.0,108.0186170212766,312.8640151086465
Pseudo-Weights Match,Global,NSGA3,random_dense,1,634002552,272.0,64.0,116.13829787234044,379.548249585031
Mejor Knee Point,Global,NSGA3,random_dense,1,634002552,289.0,71.0,114.51950354609929,260.80458415069666
Compromise (ASF),Local,NSGA2,random_dense,2,2049958260,502.0,106.00000000000001,190.46897163120568,935.5203138360748
Pseudo-Weights Match,Local,NSGA2,random_dense,1,162801222,443.0,99.0,172.95744680851064,741.9804587294404
Mejor Knee Point,Local,NSGA2,random_dense,2,2049958260,384.0,82.0,147.92198581560282,533.7634173331328
Compromise (ASF),Local,NSGA2,random_dense,1,162801222,196.0,41.0,80.87145390070921,140.95244753156283
Pseudo-Weights Match,Local,NSGA2,random_dense,1,162801222,196.0,41.0,80.87145390070921,140.95244753156283
Mejor Knee Point,Local,NSGA2,random_dense,2,2049958260,208.0,47.0,83.84485815602837,153.96440618555417
Compromise (ASF),Local,NSGA2,random_dense,4,62849265,179.0,32.0,72.61524822695036,108.71721430008549
Pseudo-Weights Match,Local,NSGA2,random_dense,2,2049958260,172.0,38.0,68.01152482269504,95.18692391605069
Mejor Knee Point,Local,NSGA2,random_dense,1,162801222,520.0,112.0,197.67287234042556,1028.154512317036
Compromise (ASF),Local,NSGA2,random_dense,4,62849265,332.0,73.0,134.4964539007092,455.6045973542583
Pseudo-Weights Match,Local,NSGA2,random_dense,4,62849265,332.0,73.0,134.4964539007092,455.6045973542583
Mejor Knee Point,Local,NSGA2,random_dense,3,670457443,255.0,63.0,102.44060283687944,208.7234223316226
Compromise (ASF),Local,NSGA2,random_dense,1,162801222,422.0,93.0,164.3049645390071,642.9034505306577
Mejor Knee Point,Local,NSGA2,random_dense,1,162801222,281.0,63.0,112.79255319148936,297.981788516674
Compromise (ASF),Local,NSGA2,random_dense,1,162801222,410.0,89.0,160.81737588652481,625.2006909863694
Pseudo-Weights Match,Local,NSGA2,random_dense,1,162801222,269.0,56.0,109.22695035460993,266.60452190533744
Mejor Knee Point,Local,NSGA2,random_dense,1,162801222,312.0,70.0,124.44237588652481,352.4275305253762
