tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,NSGA2,random_dense,5,2006613187,141.0,36.0,61.236702127659576,0.004239667534771381
Pseudo-Weights Match,Global,NSGA2,random_dense,5,2006613187,149.0,40.0,64.70833333333333,0.004217952679383259
Mejor Knee Point,Global,MOEAD_TCHE,random_dense,3,2076279370,299.0,64.0,108.86170212765957,0.003444620361116534
Compromise (ASF),Local,NSGA2,random_dense,2,662266869,125.0,29.0,55.479609929078016,0.004742668427141497
Pseudo-Weights Match,Local,NSGA2,random_dense,1,2046743687,97.0,20.0,39.86436170212766,0.003584753180750581
Mejor Knee Point,Local,NSGA2,random_dense,1,2046743687,127.0,22.0,45.56737588652482,0.0022969110874593176
Compromise (ASF),Local,NSGA2,random_dense,1,2046743687,102.0,25.0,43.265957446808514,0.003623488099056751
Pseudo-Weights Match,Local,NSGA2,random_dense,1,2046743687,145.0,19.0,48.59929078014184,0.0018557306580575372
Mejor Knee Point,Local,NSGA2,random_dense,1,2046743687,187.0,30.0,56.718971631205676,0.001254503076764958
Compromise (ASF),Local,NSGA2,random_dense,1,2046743687,100.0,23.0,41.74024822695036,0.0035701146037674263
Pseudo-Weights Match,Local,NSGA2,random_dense,3,1522577281,159.0,34.0,57.13563829787234,0.0019992394472100076
Mejor Knee Point,Local,NSGA2,random_dense,5,2006613187,212.0,39.0,65.95744680851064,0.0013667512290868292
Compromise (ASF),Local,NSGA2,random_dense,2,662266869,163.0,40.0,65.30496453900709,0.0029091618597855834
Pseudo-Weights Match,Local,NSGA2,random_dense,2,662266869,163.0,40.0,65.30496453900709,0.0029091618597855834
Mejor Knee Point,Local,NSGA2,random_dense,3,1522577281,252.0,56.0,89.42641843971631,0.0018324625099074637
Compromise (ASF),Local,NSGA2,random_dense,1,2046743687,102.0,23.0,42.36347517730496,0.0032828834907762754
Pseudo-Weights Match,Local,NSGA2,random_dense,2,662266869,154.0,34.0,61.1790780141844,0.0028367533185669393
Mejor Knee Point,Local,NSGA2,random_dense,2,662266869,103.0,22.0,44.744680851063826,0.004703826679099772
Compromise (ASF),Local,NSGA2,random_dense,1,2046743687,202.0,34.0,62.90070921985816,0.00134888213731619
Pseudo-Weights Match,Local,NSGA2,random_dense,1,2046743687,139.0,31.0,52.337765957446805,0.00243305942282204
Mejor Knee Point,Local,NSGA2,random_dense,1,2046743687,181.0,25.0,56.1427304964539,0.0013536685634382426
