algorithm,init,crossover,Hypervolume
SPEA2,greedy_multi,2P,0.23188977179719666
NSGA2,greedy_multi,2P,0.2295458692327917
AGEMOEA2,greedy_multi,UX,0.22954480852184028
AGEMOEA2,greedy_multi,2P,0.22953944413765223
NSGA3,greedy_multi,2P,0.22876868976241585
MOEAD_TCHE,greedy_multi,UX,0.22831274761188966
AGEMOEA2,greedy_multi,HUX,0.22728949229152345
MOEAD_TCHE,greedy_multi,1P,0.2272893253499356
NSGA3,greedy_multi,HUX,0.22670919340683557
SMSEMOA,greedy_multi,2P,0.2264859860150236
SMSEMOA,greedy_multi,1P,0.22646611853665063
MOEAD_TCHE,greedy_multi,2P,0.22582551882051377
NSGA2,greedy_multi,HUX,0.2255268651792393
SPEA2,greedy_multi,1P,0.22528481043840937
SPEA2,greedy_multi,HUX,0.22511781598345632
SPEA2,greedy_multi,UX,0.22509770753951974
AGEMOEA2,greedy_multi,1P,0.22485404172762635
NSGA3,greedy_multi,1P,0.22418739652717107
SMSEMOA,greedy_multi,HUX,0.22416586737481756
MOEAD_TCHE,greedy_multi,HUX,0.22351282098774755
NSGA2,greedy_multi,UX,0.2232146354590682
NSGA2,greedy_multi,1P,0.22293795256076515
NSGA3,greedy_multi,UX,0.22185251977438222
SMSEMOA,greedy_multi,UX,0.22184463415800765
RVEA,greedy_multi,UX,0.18362326803649537
RVEA,greedy_multi,HUX,0.1662902393657763
RVEA,greedy_multi,1P,0.16107523889667646
RVEA,greedy_multi,2P,0.16089325960022952
NSGA3,random_dense,HUX,0.10385925531794718
SPEA2,random_dense,HUX,0.1036738277268034
SPEA2,random_dense,UX,0.10137196407015417
NSGA3,random_dense,UX,0.0999999276993178
NSGA2,random_dense,UX,0.09284515647137653
NSGA2,random_dense,HUX,0.0890506336689075
AGEMOEA2,random_dense,UX,0.08539773501694797
AGEMOEA2,random_dense,HUX,0.08226063405296312
SMSEMOA,random_dense,UX,0.08065410992136007
SMSEMOA,random_dense,HUX,0.0801734186284866
SPEA2,random_dense,2P,0.058116771923464136
NSGA2,random_dense,2P,0.056822103434340646
NSGA3,random_dense,2P,0.05618139464365686
AGEMOEA2,random_dense,2P,0.05511521742513782
SMSEMOA,random_dense,2P,0.053834167701316125
NSGA3,random_dense,1P,0.053056842004939264
SPEA2,random_dense,1P,0.05275871175275417
AGEMOEA2,random_dense,1P,0.051662345483230565
NSGA2,random_dense,1P,0.051373718079430176
MOEAD_TCHE,random_dense,UX,0.05092754721319136
MOEAD_TCHE,random_dense,HUX,0.05085087700337302
SMSEMOA,random_dense,1P,0.05028367288059812
RVEA,random_dense,UX,0.050210812973504104
RVEA,random_dense,HUX,0.04999561888706882
RVEA,random_dense,1P,0.04703483772410866
RVEA,random_dense,2P,0.0467964975334198
MOEAD_TCHE,random_dense,2P,0.045573560477424446
MOEAD_TCHE,random_dense,1P,0.044248456147809714
