algorithm,init,crossover,SumMin
SPEA2,greedy_multi,2P,1.2934820115488355
NSGA2,greedy_multi,2P,1.2964263657003632
NSGA2,greedy_multi,HUX,1.3009900698138501
AGEMOEA2,greedy_multi,2P,1.301036559179264
AGEMOEA2,greedy_multi,UX,1.301068279355548
SPEA2,greedy_multi,1P,1.3014545511881004
SMSEMOA,greedy_multi,1P,1.3028130881512474
SPEA2,greedy_multi,UX,1.30286704635501
SPEA2,greedy_multi,HUX,1.3040768279937187
AGEMOEA2,greedy_multi,HUX,1.3049522173177162
NSGA2,greedy_multi,UX,1.3050153722533948
NSGA3,greedy_multi,2P,1.3055813586806697
NSGA2,greedy_multi,1P,1.3060145602898383
SMSEMOA,greedy_multi,2P,1.3060473163982942
MOEAD_TCHE,greedy_multi,UX,1.3066149967698761
SMSEMOA,greedy_multi,HUX,1.307968187950835
NSGA3,greedy_multi,HUX,1.3082209446951132
AGEMOEA2,greedy_multi,1P,1.3097659963623225
MOEAD_TCHE,greedy_multi,2P,1.3111410693741568
SMSEMOA,greedy_multi,UX,1.312152821912715
MOEAD_TCHE,greedy_multi,1P,1.3124854652224054
NSGA3,greedy_multi,1P,1.3131196787567458
MOEAD_TCHE,greedy_multi,HUX,1.3152443892854149
NSGA3,greedy_multi,UX,1.317084238873863
RVEA,greedy_multi,UX,1.414891324229559
RVEA,greedy_multi,HUX,1.4474825758311884
RVEA,greedy_multi,1P,1.4539534128520106
RVEA,greedy_multi,2P,1.4571012903246596
SPEA2,random_dense,HUX,1.5465801223500608
NSGA3,random_dense,HUX,1.548083633120133
SPEA2,random_dense,UX,1.553926832218818
NSGA3,random_dense,UX,1.5586612915644746
NSGA2,random_dense,UX,1.5773482138058792
NSGA2,random_dense,HUX,1.5910497987287215
AGEMOEA2,random_dense,UX,1.6118294032371885
AGEMOEA2,random_dense,HUX,1.6276017799863371
SMSEMOA,random_dense,UX,1.6343735429941433
SMSEMOA,random_dense,HUX,1.637121564795324
SPEA2,random_dense,2P,1.794324392867632
NSGA2,random_dense,2P,1.8063637886288568
NSGA3,random_dense,2P,1.8128722455865607
AGEMOEA2,random_dense,2P,1.8238158048009587
SMSEMOA,random_dense,2P,1.8385461567435015
NSGA3,random_dense,1P,1.8470996325339428
SPEA2,random_dense,1P,1.8497260961054813
AGEMOEA2,random_dense,1P,1.8610154412223228
NSGA2,random_dense,1P,1.8656894267324375
MOEAD_TCHE,random_dense,UX,1.8715764745976837
MOEAD_TCHE,random_dense,HUX,1.8721768108295365
RVEA,random_dense,UX,1.8764443214312396
SMSEMOA,random_dense,1P,1.8793484250894452
RVEA,random_dense,HUX,1.8797385200580443
RVEA,random_dense,1P,1.9195662271348
RVEA,random_dense,2P,1.9214614164318262
MOEAD_TCHE,random_dense,2P,1.9379424202194304
MOEAD_TCHE,random_dense,1P,1.9568818040796567
