generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
1,MOEAD_TCHE,greedy_multi,UX,2,91316628,182,0.08256808586948843,1.9267838061556606,1.948482024713471,0.02371811016254247,0.00010086746015369741,0.13493923266912883,0.18181818181818182,0.11472461255955627,6.840313498558179,0.008860509713158262
11,MOEAD_TCHE,greedy_multi,UX,2,91316628,81,0.16160385217160259,1.8689992606941297,1.91207030699546,0.034111157847366194,0.0035976060788092123,0.4049245717442235,0.2222222222222222,0.11326312520061063,12.69878951055074,0.016449209210557952
21,MOEAD_TCHE,greedy_multi,UX,2,91316628,80,0.1684772435547541,1.8652422075547175,1.9117859204506977,0.03484796904992491,0.0035976060788092123,0.42185068823047267,0.2222222222222222,0.12445113967975532,13.084441489361703,0.016948758405908943
31,MOEAD_TCHE,greedy_multi,UX,2,91316628,79,0.1684772435547541,1.8652422075547175,1.9117859204506977,0.03485700687133909,0.0035976060788092123,0.43888659670007546,0.22857142857142856,0.13158779261200684,13.457615136008613,0.01743214395856038
41,MOEAD_TCHE,greedy_multi,UX,2,91316628,81,0.1719311161855069,1.863176521511277,1.9108992239136318,0.03525821120180031,0.0035976060788092123,0.46610579348234316,0.2222222222222222,0.13938224851677677,14.074862096138691,0.01823168665302939
51,MOEAD_TCHE,greedy_multi,UX,2,91316628,83,0.17541170029227257,1.8613049267739314,1.910845815626644,0.035621898136344976,0.0035976060788092123,0.46842262611070246,0.2222222222222222,0.13572622647604135,14.188210287960352,0.01837851073569994
61,MOEAD_TCHE,greedy_multi,UX,2,91316628,80,0.18665658567425214,1.8515515137130416,1.9025838748868438,0.03760436261787875,0.0035976060788092123,0.46959968784658834,0.225,0.1310221537063229,14.23061835106383,0.018433443459927243
71,MOEAD_TCHE,greedy_multi,UX,2,91316628,75,0.18665658567425214,1.8515515137130416,1.9025838748868438,0.03760619588704944,0.0035976060788092123,0.4759510427233614,0.2222222222222222,0.13445010236305838,14.417304964539007,0.01867526549810752
81,MOEAD_TCHE,greedy_multi,UX,2,91316628,70,0.18665658567425214,1.8515515137130416,1.9025838748868438,0.03760667175827867,0.0035976060788092123,0.48897665887517616,0.2222222222222222,0.14113833794292455,14.708903242147922,0.019052983474284874
91,MOEAD_TCHE,greedy_multi,UX,2,91316628,72,0.18665658567425214,1.8515515137130416,1.9025838748868438,0.037604750343966584,0.0035976060788092123,0.4846219134532634,0.21951219512195122,0.1387143295129064,14.618338750985028,0.018935671957234494
101,MOEAD_TCHE,greedy_multi,UX,2,91316628,71,0.18665658567425214,1.8515515137130416,1.9025838748868438,0.03760168139489542,0.0035976060788092123,0.4829188884783683,0.22857142857142856,0.1370775696288237,14.574368194985514,0.018878715278478644
111,MOEAD_TCHE,greedy_multi,UX,2,91316628,77,0.18713783345853333,1.8510801491125248,1.9025838748868438,0.03768479371442578,0.0035976060788092123,0.5082565899305083,0.22857142857142856,0.14046238802680042,15.089895919683153,0.019546497305289057
121,MOEAD_TCHE,greedy_multi,UX,2,91316628,85,0.1932362580523686,1.8491219064706725,1.9025838748868438,0.03809498576285745,0.0035976060788092123,0.5101917686998049,0.225,0.14064489045214573,15.104505632040047,0.019565421803160683
131,MOEAD_TCHE,greedy_multi,UX,2,91316628,85,0.1932362580523686,1.8491219064706725,1.9025838748868438,0.03809425434115477,0.0035976060788092123,0.5071361546131676,0.21951219512195122,0.140699709489998,15.05491239048811,0.019501181852963873
141,MOEAD_TCHE,greedy_multi,UX,2,91316628,82,0.1932362580523686,1.8491219064706725,1.9025838748868438,0.0380960514591256,0.0035976060788092123,0.5032037774055373,0.21951219512195122,0.1404859519996258,14.978139595225734,0.01940173522697634
151,MOEAD_TCHE,greedy_multi,UX,2,91316628,82,0.1932362580523686,1.8491219064706725,1.9025838748868438,0.038098708698905505,0.0035976060788092123,0.5027536632516456,0.21951219512195122,0.14186000465230725,14.97720982528974,0.019400530861774276
161,MOEAD_TCHE,greedy_multi,UX,2,91316628,83,0.1932362580523686,1.8491219064706725,1.9025838748868438,0.03809866983561967,0.0035976060788092123,0.49889055428156026,0.21951219512195122,0.13968978124446438,14.890081603007774,0.019287670470217323
171,MOEAD_TCHE,greedy_multi,UX,2,91316628,82,0.1932362580523686,1.8491219064706725,1.9025838748868438,0.03810349889630464,0.0035976060788092123,0.5050078223129602,0.2222222222222222,0.1420073232903587,15.01928732053278,0.019455035389291164
