algorithm,init,crossover,GD+
RVEA,greedy_multi,HUX,0.025268281428674523
RVEA,greedy_multi,1P,0.027033754327093918
RVEA,greedy_multi,UX,0.0273802840603646
RVEA,greedy_multi,2P,0.029891532837229902
NSGA3,greedy_multi,1P,0.03507425326587754
SMSEMOA,greedy_multi,2P,0.03678948329437236
SMSEMOA,greedy_multi,1P,0.03759759400913916
NSGA3,greedy_multi,2P,0.038324229631313024
AGEMOEA2,greedy_multi,1P,0.04037383858496878
MOEAD_TCHE,greedy_multi,1P,0.04156980958164508
SMSEMOA,greedy_multi,UX,0.042604093725155875
SMSEMOA,greedy_multi,HUX,0.04306826970217404
NSGA2,greedy_multi,1P,0.04538727426381048
AGEMOEA2,greedy_multi,2P,0.04612002889259108
MOEAD_TCHE,greedy_multi,2P,0.04782069270158196
NSGA3,greedy_multi,UX,0.04986361995458246
SPEA2,greedy_multi,2P,0.05072152944645586
NSGA2,greedy_multi,2P,0.050995769435103
SPEA2,greedy_multi,1P,0.051370308572724066
NSGA3,greedy_multi,HUX,0.052258949275297416
AGEMOEA2,greedy_multi,HUX,0.053330218599573966
MOEAD_TCHE,greedy_multi,UX,0.0554650054263824
MOEAD_TCHE,greedy_multi,HUX,0.05844883603272448
AGEMOEA2,greedy_multi,UX,0.059850134308501377
NSGA2,greedy_multi,HUX,0.06259971863811617
SPEA2,greedy_multi,HUX,0.06377709253017375
NSGA2,greedy_multi,UX,0.06440298353477936
SPEA2,greedy_multi,UX,0.07431874091864223
RVEA,greedy_ting,2P,0.30398338678611775
RVEA,greedy_ting,UX,0.3127322206177907
RVEA,greedy_ting,HUX,0.32510774698909845
RVEA,greedy_ting,1P,0.33912715558773304
SMSEMOA,greedy_ting,HUX,0.37697404485915537
SMSEMOA,greedy_ting,UX,0.39540698433620947
SMSEMOA,greedy_ting,1P,0.39854503589534335
NSGA3,greedy_ting,HUX,0.4443199884607063
RVEA,random_dense,HUX,0.4654202070914888
NSGA3,greedy_ting,UX,0.4664890851373853
SMSEMOA,greedy_ting,2P,0.4695305614367685
RVEA,random_dense,UX,0.4915228512810432
NSGA3,greedy_ting,1P,0.49533124022320774
AGEMOEA2,greedy_ting,UX,0.4992871273525301
NSGA2,greedy_ting,HUX,0.5203888754497333
NSGA2,greedy_ting,UX,0.5215882386022781
MOEAD_TCHE,greedy_ting,HUX,0.5262641805999637
NSGA3,greedy_ting,2P,0.5313566840781732
AGEMOEA2,greedy_ting,HUX,0.5321713473700885
MOEAD_TCHE,greedy_ting,1P,0.5331928199305633
MOEAD_TCHE,greedy_ting,UX,0.5342763293321555
RVEA,random_dense,2P,0.5427887004489578
SPEA2,greedy_ting,UX,0.5445415068458944
NSGA2,greedy_ting,2P,0.5473079418231956
NSGA2,greedy_ting,1P,0.5478532551399898
AGEMOEA2,greedy_ting,2P,0.5507007329674114
MOEAD_TCHE,greedy_ting,2P,0.5564010020404466
RVEA,random_dense,1P,0.5741812147855474
AGEMOEA2,greedy_ting,1P,0.5775983395012081
SPEA2,greedy_ting,HUX,0.5836510453719551
SPEA2,greedy_ting,2P,0.5943011245806369
SPEA2,greedy_ting,1P,0.6220980595630687
SMSEMOA,random_dense,UX,0.7039537307982098
SMSEMOA,random_dense,1P,0.7165511104947117
SMSEMOA,random_dense,HUX,0.7206701517827597
MOEAD_TCHE,random_dense,HUX,0.7316813769312412
MOEAD_TCHE,random_dense,UX,0.7393864768781501
MOEAD_TCHE,random_dense,2P,0.7444972194953
MOEAD_TCHE,random_dense,1P,0.7464073410882538
AGEMOEA2,random_dense,2P,0.7467097205182875
AGEMOEA2,random_dense,UX,0.7485213912240427
SMSEMOA,random_dense,2P,0.7575184395538144
NSGA3,random_dense,UX,0.7576712557634553
AGEMOEA2,random_dense,1P,0.7661058418129258
NSGA2,random_dense,2P,0.7731638310875489
NSGA2,random_dense,UX,0.778934598666508
NSGA3,random_dense,2P,0.7802722012517791
NSGA3,random_dense,HUX,0.782096963667794
AGEMOEA2,random_dense,HUX,0.7888870224081568
NSGA3,random_dense,1P,0.7939720451882263
NSGA2,random_dense,1P,0.8005296258685443
SPEA2,random_dense,1P,0.8036995924759968
NSGA2,random_dense,HUX,0.8041134991393403
SPEA2,random_dense,2P,0.8148449959914922
SPEA2,random_dense,UX,0.8682764412488415
SPEA2,random_dense,HUX,0.8966679161408952
