algorithm,init,crossover,MinSum
SMSEMOA,random_dense,UX,1.3758244625372307
SMSEMOA,random_dense,HUX,1.3774636083774616
NSGA3,random_dense,HUX,1.4120143417724782
SMSEMOA,random_dense,2P,1.4177672714699212
NSGA3,random_dense,UX,1.420686360217883
AGEMOEA2,random_dense,HUX,1.4294900291500396
AGEMOEA2,random_dense,UX,1.4327058366493124
NSGA2,random_dense,UX,1.4351572354852276
SMSEMOA,random_dense,1P,1.4397376818051968
NSGA2,random_dense,HUX,1.441190501216103
NSGA2,greedy_ting,UX,1.456003601222437
NSGA2,greedy_ting,HUX,1.4575417379651021
SPEA2,random_dense,HUX,1.4600148688736196
NSGA3,random_dense,2P,1.462295866847909
NSGA3,greedy_ting,HUX,1.4709505345154439
NSGA3,greedy_ting,UX,1.4732681977303557
SPEA2,random_dense,UX,1.4782677221490013
AGEMOEA2,random_dense,2P,1.4806921788865295
NSGA3,random_dense,1P,1.4878749046691335
AGEMOEA2,random_dense,1P,1.4894935315067046
NSGA2,random_dense,2P,1.492511958511694
AGEMOEA2,greedy_ting,UX,1.4937623362165777
SPEA2,random_dense,2P,1.4956481617841144
SPEA2,random_dense,1P,1.4979398756754085
MOEAD_TCHE,random_dense,HUX,1.498850680497963
NSGA3,greedy_ting,2P,1.4999210080046042
NSGA2,random_dense,1P,1.5016599238230737
AGEMOEA2,greedy_ting,HUX,1.506096794165419
AGEMOEA2,greedy_ting,2P,1.506813144624963
SMSEMOA,greedy_ting,2P,1.5082471213408843
MOEAD_TCHE,random_dense,UX,1.508287111348811
SPEA2,greedy_ting,HUX,1.5103119955402402
MOEAD_TCHE,greedy_ting,UX,1.5134791951192441
AGEMOEA2,greedy_ting,1P,1.5150936654349985
SMSEMOA,greedy_ting,UX,1.5194590795742298
NSGA2,greedy_ting,2P,1.5202991121818223
SMSEMOA,greedy_ting,HUX,1.523362247526577
MOEAD_TCHE,greedy_ting,HUX,1.5262276026387904
SPEA2,greedy_ting,UX,1.5316923365857975
SPEA2,greedy_ting,2P,1.5363201499115495
NSGA2,greedy_ting,1P,1.538187924450391
SPEA2,greedy_ting,1P,1.5382586591493828
RVEA,random_dense,UX,1.5402426601988999
MOEAD_TCHE,greedy_ting,2P,1.5419324447262934
MOEAD_TCHE,random_dense,2P,1.5482634038466103
NSGA3,greedy_ting,1P,1.5495366570332478
SMSEMOA,greedy_ting,1P,1.5516892991983937
MOEAD_TCHE,greedy_ting,1P,1.5577732060549199
RVEA,random_dense,HUX,1.5651883441599213
MOEAD_TCHE,random_dense,1P,1.5675274614341161
RVEA,random_dense,2P,1.576583144711559
RVEA,random_dense,1P,1.5829746797498345
RVEA,greedy_ting,2P,1.6526745151273943
RVEA,greedy_ting,1P,1.6584584201788002
RVEA,greedy_ting,UX,1.6638540231338244
RVEA,greedy_ting,HUX,1.668479871498685
SPEA2,greedy_multi,UX,1.8309799760192977
NSGA2,greedy_multi,UX,1.8383040618304913
NSGA2,greedy_multi,HUX,1.8445598371270822
SPEA2,greedy_multi,HUX,1.8567293923169146
AGEMOEA2,greedy_multi,HUX,1.8582162766410035
AGEMOEA2,greedy_multi,UX,1.8600030918091661
NSGA2,greedy_multi,2P,1.8677458964944613
NSGA3,greedy_multi,HUX,1.8722193055297958
NSGA3,greedy_multi,UX,1.8742854488524994
SPEA2,greedy_multi,1P,1.8756908603135265
SPEA2,greedy_multi,2P,1.875732313202977
AGEMOEA2,greedy_multi,2P,1.8812666859915204
NSGA2,greedy_multi,1P,1.8820974060090279
MOEAD_TCHE,greedy_multi,UX,1.8867374796154763
AGEMOEA2,greedy_multi,1P,1.891491257819575
MOEAD_TCHE,greedy_multi,HUX,1.8937202111645977
NSGA3,greedy_multi,2P,1.8961901007551927
NSGA3,greedy_multi,1P,1.8982005596717866
SMSEMOA,greedy_multi,UX,1.9048170164285387
SMSEMOA,greedy_multi,HUX,1.9058685933615618
SMSEMOA,greedy_multi,2P,1.9081124338034492
MOEAD_TCHE,greedy_multi,2P,1.9089264352319752
SMSEMOA,greedy_multi,1P,1.9109306566999025
MOEAD_TCHE,greedy_multi,1P,1.919641594506204
RVEA,greedy_multi,2P,1.9246109811629708
RVEA,greedy_multi,UX,1.9270044085409435
RVEA,greedy_multi,HUX,1.9276202386669863
RVEA,greedy_multi,1P,1.9310245162502244
