algorithm,init,crossover,Range
NSGA2,greedy_ting,2P,2.4257741708718
NSGA2,greedy_ting,UX,2.4220801365151208
NSGA2,greedy_ting,HUX,2.4042126867940867
NSGA2,greedy_ting,1P,2.383621303378639
AGEMOEA2,greedy_ting,1P,2.2293090575360144
AGEMOEA2,greedy_ting,2P,2.2253638446624526
MOEAD_TCHE,greedy_ting,2P,2.1683615466806723
NSGA3,greedy_ting,2P,2.1552757036716987
SMSEMOA,greedy_ting,2P,2.1172634903792855
NSGA3,greedy_ting,1P,2.101706344637203
SMSEMOA,greedy_ting,1P,2.0822515628023615
MOEAD_TCHE,greedy_ting,UX,2.040259255470045
MOEAD_TCHE,greedy_ting,1P,2.016673642927839
MOEAD_TCHE,greedy_ting,HUX,2.007686182101373
SMSEMOA,greedy_ting,HUX,2.0024158757260926
SMSEMOA,greedy_ting,UX,1.989473753866362
NSGA3,greedy_ting,UX,1.9876046274509704
NSGA2,random_dense,HUX,1.9831730029372552
NSGA2,random_dense,UX,1.9747187248529698
SPEA2,greedy_ting,HUX,1.9520710386102529
NSGA3,greedy_ting,HUX,1.9368968591612332
SPEA2,greedy_ting,1P,1.8954738510724582
SPEA2,greedy_ting,UX,1.8699400050575559
AGEMOEA2,greedy_ting,HUX,1.855954238656087
AGEMOEA2,greedy_ting,UX,1.7867914345061213
SPEA2,greedy_ting,2P,1.5984831091413017
NSGA2,random_dense,2P,1.4949003971187225
RVEA,greedy_ting,1P,1.472162152283553
MOEAD_TCHE,random_dense,UX,1.4442976653734692
MOEAD_TCHE,random_dense,HUX,1.4010410336888603
NSGA2,random_dense,1P,1.3488374183246519
AGEMOEA2,random_dense,2P,1.3356413017900712
NSGA3,random_dense,HUX,1.3303768102594427
NSGA3,random_dense,UX,1.3172166445344615
AGEMOEA2,random_dense,HUX,1.3091823828314113
AGEMOEA2,random_dense,UX,1.3041389350882955
SPEA2,random_dense,HUX,1.280302867131534
RVEA,greedy_ting,2P,1.2733738771235708
SPEA2,random_dense,UX,1.25027301848482
MOEAD_TCHE,random_dense,2P,1.2355113214512883
AGEMOEA2,random_dense,1P,1.1981434237646318
NSGA3,random_dense,2P,1.189923860593085
SPEA2,random_dense,2P,1.168951693021264
RVEA,greedy_ting,HUX,1.1671892685629897
NSGA3,random_dense,1P,1.1475181727887231
SPEA2,random_dense,1P,1.136938392205883
RVEA,greedy_ting,UX,1.110902903162626
MOEAD_TCHE,random_dense,1P,1.0747572876635902
SMSEMOA,random_dense,2P,0.9406509249906211
SMSEMOA,random_dense,1P,0.780304574442058
SMSEMOA,random_dense,UX,0.6769954083848525
SMSEMOA,random_dense,HUX,0.6431777871762997
RVEA,random_dense,1P,0.5938810204263676
RVEA,random_dense,UX,0.5785199547719909
RVEA,random_dense,2P,0.5574169362732813
RVEA,random_dense,HUX,0.495658264816598
NSGA2,greedy_multi,UX,0.34528405119090205
NSGA2,greedy_multi,HUX,0.3351898462152544
SPEA2,greedy_multi,UX,0.33333419691576166
AGEMOEA2,greedy_multi,UX,0.2992866852179154
SPEA2,greedy_multi,HUX,0.2928436240177298
AGEMOEA2,greedy_multi,HUX,0.2897192390095088
NSGA2,greedy_multi,2P,0.2736325443508707
NSGA3,greedy_multi,HUX,0.2637363881854022
NSGA3,greedy_multi,UX,0.2520435817812344
NSGA2,greedy_multi,1P,0.24098605472074972
AGEMOEA2,greedy_multi,2P,0.23987330419715422
SPEA2,greedy_multi,1P,0.23477531293795093
MOEAD_TCHE,greedy_multi,HUX,0.23431387372470774
MOEAD_TCHE,greedy_multi,UX,0.2326825650626801
SPEA2,greedy_multi,2P,0.22896077754073335
AGEMOEA2,greedy_multi,1P,0.21322761223155667
NSGA3,greedy_multi,2P,0.19587304973956213
MOEAD_TCHE,greedy_multi,2P,0.1903106830909343
SMSEMOA,greedy_multi,UX,0.18814270074588324
NSGA3,greedy_multi,1P,0.1879415781543981
SMSEMOA,greedy_multi,HUX,0.185942498366089
SMSEMOA,greedy_multi,2P,0.17432184427156522
SMSEMOA,greedy_multi,1P,0.16565274613729536
MOEAD_TCHE,greedy_multi,1P,0.16541499987890793
RVEA,greedy_multi,2P,0.14757685918859814
RVEA,greedy_multi,UX,0.13992391346700836
RVEA,greedy_multi,1P,0.13653606829628906
RVEA,greedy_multi,HUX,0.13126112720786615
