algorithm,init,crossover,Hypervolume
NSGA2,random_dense,HUX,0.536345829724964
NSGA2,random_dense,UX,0.5363382601690322
NSGA2,greedy_ting,UX,0.5010712414712765
NSGA2,greedy_ting,HUX,0.4993056690757589
AGEMOEA2,random_dense,HUX,0.4779855103402757
NSGA3,random_dense,HUX,0.4779002470815624
NSGA3,random_dense,UX,0.4732302507302892
AGEMOEA2,random_dense,UX,0.4694804517175485
NSGA2,greedy_ting,2P,0.4682271628976483
AGEMOEA2,greedy_ting,2P,0.4601361374230222
NSGA2,random_dense,2P,0.45836773691335314
AGEMOEA2,greedy_ting,1P,0.45453044954887367
NSGA2,greedy_ting,1P,0.4528827125406824
MOEAD_TCHE,random_dense,UX,0.4417000134642016
MOEAD_TCHE,random_dense,HUX,0.44109101764411784
AGEMOEA2,random_dense,2P,0.4382009288235583
SPEA2,random_dense,HUX,0.4380236215332437
NSGA2,random_dense,1P,0.43695740363871804
SMSEMOA,greedy_ting,2P,0.42669137236711696
AGEMOEA2,greedy_ting,UX,0.4259560553138485
NSGA3,random_dense,2P,0.42528128276049715
SPEA2,greedy_ting,1P,0.42509038338420624
SPEA2,random_dense,UX,0.4238492126321356
AGEMOEA2,greedy_ting,HUX,0.4213565149217574
MOEAD_TCHE,greedy_ting,UX,0.4208455951790649
NSGA3,greedy_ting,UX,0.42059913450158903
SMSEMOA,random_dense,2P,0.41958282788097157
NSGA3,greedy_ting,2P,0.4193260292533205
SPEA2,greedy_ting,HUX,0.4187690193376179
MOEAD_TCHE,greedy_ting,2P,0.41839047696786597
AGEMOEA2,random_dense,1P,0.4174398633191273
MOEAD_TCHE,greedy_ting,HUX,0.41525357449894046
NSGA3,greedy_ting,HUX,0.41271171877812163
SMSEMOA,random_dense,HUX,0.40796372333722636
SMSEMOA,random_dense,UX,0.4076926365353401
SMSEMOA,greedy_ting,1P,0.4057462434940022
SPEA2,random_dense,2P,0.4054036710419055
NSGA3,random_dense,1P,0.40495523650669546
SPEA2,greedy_ting,UX,0.4046653368602696
SPEA2,random_dense,1P,0.4046233932740984
SMSEMOA,greedy_ting,HUX,0.40400396399535987
SMSEMOA,greedy_ting,UX,0.40314441244669413
SPEA2,greedy_ting,2P,0.39772638217592604
NSGA3,greedy_ting,1P,0.3950008092100813
MOEAD_TCHE,random_dense,2P,0.3898867311650458
MOEAD_TCHE,greedy_ting,1P,0.3844810156289992
SMSEMOA,random_dense,1P,0.38253245563771443
MOEAD_TCHE,random_dense,1P,0.35936805982173936
RVEA,random_dense,UX,0.29462044941545934
RVEA,random_dense,1P,0.2833252109184222
RVEA,random_dense,2P,0.2798926322081658
RVEA,greedy_ting,1P,0.26933196302800616
RVEA,random_dense,HUX,0.26670145932247624
RVEA,greedy_ting,2P,0.2449536981369354
RVEA,greedy_ting,HUX,0.23981700225663727
RVEA,greedy_ting,UX,0.23635754710572926
SPEA2,greedy_multi,UX,0.06647122087164509
NSGA2,greedy_multi,UX,0.06334949189300465
NSGA2,greedy_multi,HUX,0.0612627834268592
SPEA2,greedy_multi,HUX,0.05657564789527234
AGEMOEA2,greedy_multi,UX,0.054982293644391465
AGEMOEA2,greedy_multi,HUX,0.05414215200462903
NSGA2,greedy_multi,2P,0.05099070808763503
NSGA3,greedy_multi,HUX,0.04922963928811103
NSGA3,greedy_multi,UX,0.04766034317149979
SPEA2,greedy_multi,1P,0.04727873964349223
SPEA2,greedy_multi,2P,0.047151271144221726
AGEMOEA2,greedy_multi,2P,0.045596642297504694
NSGA2,greedy_multi,1P,0.045590824031294094
MOEAD_TCHE,greedy_multi,UX,0.04401949825527599
MOEAD_TCHE,greedy_multi,HUX,0.04333397716119042
AGEMOEA2,greedy_multi,1P,0.04155148767194234
NSGA3,greedy_multi,2P,0.03919166534748946
NSGA3,greedy_multi,1P,0.03815004272899115
SMSEMOA,greedy_multi,UX,0.037518575534391155
MOEAD_TCHE,greedy_multi,2P,0.037230444260514764
SMSEMOA,greedy_multi,HUX,0.037199058244203165
SMSEMOA,greedy_multi,2P,0.03582086895966207
SMSEMOA,greedy_multi,1P,0.03467786175252849
MOEAD_TCHE,greedy_multi,1P,0.033566858613381344
RVEA,greedy_multi,2P,0.03175820473486368
RVEA,greedy_multi,UX,0.03086282607545674
RVEA,greedy_multi,HUX,0.030142094411857816
RVEA,greedy_multi,1P,0.03007942989142558
