algorithm,init,crossover,MaxToleranceRate
SMSEMOA,random_dense,UX,0.2739531284230941
NSGA3,random_dense,HUX,0.27388387792075114
SMSEMOA,random_dense,HUX,0.27231383565049533
AGEMOEA2,random_dense,HUX,0.27165509659731957
NSGA3,random_dense,UX,0.2710867509177953
AGEMOEA2,random_dense,UX,0.27069437625598425
SMSEMOA,greedy_ting,UX,0.2705291283156896
SMSEMOA,greedy_ting,HUX,0.27026241743093643
SPEA2,greedy_multi,HUX,0.26409197012138186
SPEA2,greedy_multi,UX,0.2629068335080814
SPEA2,random_dense,UX,0.26245778441799683
SPEA2,random_dense,HUX,0.2617905121914802
AGEMOEA2,greedy_multi,UX,0.260203745762154
AGEMOEA2,greedy_ting,HUX,0.25875297244574896
SMSEMOA,greedy_ting,2P,0.25863792055478296
AGEMOEA2,greedy_ting,UX,0.2585849220499792
SMSEMOA,greedy_ting,1P,0.25743108173269136
AGEMOEA2,greedy_multi,HUX,0.2571428571428572
NSGA2,random_dense,UX,0.2535579699610389
SPEA2,greedy_multi,2P,0.2528299417653602
SPEA2,greedy_ting,UX,0.2524738756402582
SMSEMOA,random_dense,2P,0.25122619812500824
NSGA3,greedy_multi,UX,0.2511189739053516
NSGA2,random_dense,HUX,0.2507010193693185
SPEA2,greedy_multi,1P,0.2499865170054269
AGEMOEA2,greedy_multi,1P,0.24970202978552125
NSGA3,greedy_multi,2P,0.24864864864864863
AGEMOEA2,greedy_multi,2P,0.24676071055381402
SPEA2,greedy_ting,HUX,0.24612346549567166
NSGA3,greedy_multi,HUX,0.2453876306620209
NSGA3,random_dense,2P,0.24492913333550645
AGEMOEA2,random_dense,2P,0.24465479146481156
SPEA2,random_dense,2P,0.24401239754013396
SMSEMOA,random_dense,1P,0.2423671152382631
NSGA3,greedy_ting,HUX,0.2418873964188022
RVEA,random_dense,HUX,0.2384179106180877
SPEA2,random_dense,1P,0.2378367696333798
NSGA3,greedy_ting,UX,0.23745926604116102
NSGA3,greedy_multi,1P,0.23729246487867178
AGEMOEA2,random_dense,1P,0.23689166611192808
NSGA2,greedy_multi,UX,0.23574393079480963
AGEMOEA2,greedy_ting,2P,0.23469399722303655
SPEA2,greedy_ting,2P,0.23460931495016552
NSGA3,random_dense,1P,0.23382022739165595
RVEA,random_dense,UX,0.23313325096071652
NSGA2,greedy_multi,HUX,0.23291547374874527
RVEA,greedy_ting,UX,0.23282439782439784
RVEA,greedy_ting,HUX,0.2321711184891142
NSGA3,greedy_ting,2P,0.23213843280438717
AGEMOEA2,greedy_ting,1P,0.2317367655755959
SPEA2,greedy_ting,1P,0.23069899442129588
NSGA2,greedy_ting,HUX,0.22911900853463782
NSGA2,greedy_ting,UX,0.2287616453444067
NSGA2,random_dense,2P,0.22708310477212815
NSGA2,greedy_ting,1P,0.22618873575622675
SMSEMOA,greedy_multi,UX,0.22507936507936507
NSGA2,greedy_ting,2P,0.22288600498156055
SMSEMOA,greedy_multi,1P,0.2209031198686371
MOEAD_TCHE,greedy_multi,HUX,0.21973248494800218
SMSEMOA,greedy_multi,2P,0.21931720686980155
RVEA,random_dense,2P,0.21907997260389234
NSGA3,greedy_ting,1P,0.2184071889230891
NSGA2,random_dense,1P,0.21793174914630237
SMSEMOA,greedy_multi,HUX,0.21689774352455107
NSGA2,greedy_multi,2P,0.21259103712475308
RVEA,random_dense,1P,0.2109670285213007
RVEA,greedy_ting,2P,0.2103249284630267
MOEAD_TCHE,greedy_multi,2P,0.21021232439335885
MOEAD_TCHE,greedy_multi,1P,0.2081809095921999
MOEAD_TCHE,random_dense,2P,0.20490359122018537
NSGA2,greedy_multi,1P,0.20333223100742565
MOEAD_TCHE,greedy_multi,UX,0.2014991728701406
RVEA,greedy_multi,UX,0.20036613272311216
RVEA,greedy_multi,HUX,0.19846137081835022
MOEAD_TCHE,random_dense,HUX,0.19835473300166034
MOEAD_TCHE,greedy_ting,HUX,0.1963748175943298
MOEAD_TCHE,random_dense,UX,0.19454934627471343
MOEAD_TCHE,random_dense,1P,0.193344780848252
RVEA,greedy_multi,1P,0.19292777398040556
RVEA,greedy_multi,2P,0.19287784679089026
MOEAD_TCHE,greedy_ting,UX,0.19250252395956585
RVEA,greedy_ting,1P,0.19118291237590043
MOEAD_TCHE,greedy_ting,2P,0.1908671431927246
MOEAD_TCHE,greedy_ting,1P,0.18988001883889533
