algorithm,init,crossover,Hypervolume
AGEMOEA2,greedy_ting,HUX,0.40882992094757376
NSGA2,random_dense,HUX,0.4065840152141014
AGEMOEA2,greedy_ting,UX,0.40622745647543096
AGEMOEA2,greedy_ting,2P,0.40218972165244454
NSGA2,random_dense,UX,0.39966910007349665
AGEMOEA2,greedy_ting,1P,0.3902585616447415
AGEMOEA2,random_dense,UX,0.38877004872565135
AGEMOEA2,random_dense,HUX,0.38765778263867057
NSGA2,greedy_ting,1P,0.3873958824519934
NSGA2,greedy_ting,2P,0.38083987146212595
NSGA2,greedy_ting,HUX,0.37882010732089527
NSGA2,greedy_ting,UX,0.37857007674855947
NSGA3,random_dense,HUX,0.37776398519897136
NSGA3,random_dense,UX,0.37748861037166753
NSGA3,greedy_ting,2P,0.3759162613111188
SPEA2,random_dense,UX,0.37535348377642297
SPEA2,random_dense,HUX,0.37433435133880366
SMSEMOA,greedy_ting,2P,0.37425080063129984
NSGA3,greedy_ting,UX,0.37125569321012686
NSGA3,greedy_ting,HUX,0.3655260009584634
SMSEMOA,greedy_ting,1P,0.36543687968605987
NSGA3,greedy_ting,1P,0.3644977834802887
SPEA2,greedy_ting,UX,0.3605192076257991
SMSEMOA,greedy_ting,UX,0.35875428007100274
SMSEMOA,greedy_ting,HUX,0.35807075391900567
SPEA2,greedy_ting,HUX,0.35394596120425487
SMSEMOA,random_dense,UX,0.34221144525788405
SMSEMOA,random_dense,HUX,0.34207562916748346
NSGA2,random_dense,2P,0.34020320968326134
AGEMOEA2,random_dense,2P,0.33804638475812426
SPEA2,greedy_ting,1P,0.33037183965568995
NSGA3,random_dense,2P,0.3268995756779164
NSGA2,random_dense,1P,0.3204036687003015
SPEA2,random_dense,2P,0.3188529255924758
AGEMOEA2,random_dense,1P,0.3142577978353132
NSGA3,random_dense,1P,0.31266520711908435
SPEA2,random_dense,1P,0.311385441934411
SMSEMOA,random_dense,2P,0.30598149734879543
SPEA2,greedy_ting,2P,0.30437413282740283
RVEA,greedy_ting,UX,0.2983009335691984
SMSEMOA,random_dense,1P,0.29562301528962576
RVEA,greedy_ting,HUX,0.2917034032498557
MOEAD_TCHE,greedy_ting,2P,0.2839288958189342
MOEAD_TCHE,greedy_ting,UX,0.2801884702081897
RVEA,random_dense,HUX,0.2794706966237438
RVEA,random_dense,UX,0.2774812737574284
RVEA,greedy_ting,1P,0.2763251792805488
MOEAD_TCHE,greedy_ting,HUX,0.27538602141264373
RVEA,greedy_ting,2P,0.2726605977369655
MOEAD_TCHE,random_dense,2P,0.2627123154174578
MOEAD_TCHE,random_dense,UX,0.2586970628994957
MOEAD_TCHE,greedy_ting,1P,0.25396926450977214
MOEAD_TCHE,random_dense,HUX,0.2520843282147002
RVEA,random_dense,2P,0.25115544379502974
MOEAD_TCHE,random_dense,1P,0.24840720640222566
RVEA,random_dense,1P,0.2469094875548236
SPEA2,greedy_multi,HUX,0.143323025631903
SPEA2,greedy_multi,UX,0.14214625604642733
AGEMOEA2,greedy_multi,UX,0.13799604565691134
AGEMOEA2,greedy_multi,HUX,0.13487223141224225
NSGA2,greedy_multi,HUX,0.13326191582656466
NSGA2,greedy_multi,UX,0.13079967507238077
NSGA3,greedy_multi,UX,0.13012756763346994
NSGA3,greedy_multi,HUX,0.12801167964547927
SPEA2,greedy_multi,2P,0.12749373071618558
AGEMOEA2,greedy_multi,2P,0.1250925071997812
SPEA2,greedy_multi,1P,0.12438645761569309
AGEMOEA2,greedy_multi,1P,0.12395088889976635
NSGA3,greedy_multi,2P,0.12389518119857282
NSGA2,greedy_multi,2P,0.11822100528515089
NSGA3,greedy_multi,1P,0.114952543894251
NSGA2,greedy_multi,1P,0.1130674306245297
SMSEMOA,greedy_multi,HUX,0.11246970755598643
SMSEMOA,greedy_multi,1P,0.11243091170195482
MOEAD_TCHE,greedy_multi,HUX,0.11243071128796758
SMSEMOA,greedy_multi,UX,0.11154024893985644
MOEAD_TCHE,greedy_multi,2P,0.11141956742370016
MOEAD_TCHE,greedy_multi,UX,0.11028081866597109
SMSEMOA,greedy_multi,2P,0.10942753247445136
MOEAD_TCHE,greedy_multi,1P,0.1081873894510353
RVEA,greedy_multi,UX,0.09773896276270264
RVEA,greedy_multi,HUX,0.09763958114812966
RVEA,greedy_multi,2P,0.09639436729867826
RVEA,greedy_multi,1P,0.09618742473787731
