algorithm,init,crossover,MinSum
AGEMOEA2,random_dense,UX,1.360396165359354
NSGA3,random_dense,HUX,1.3644015082835037
AGEMOEA2,random_dense,HUX,1.365413023445313
NSGA3,random_dense,UX,1.3667103616249228
SPEA2,random_dense,UX,1.393993226662273
SPEA2,random_dense,HUX,1.4001809255497626
AGEMOEA2,random_dense,2P,1.416146717282796
NSGA3,random_dense,2P,1.4167039087774687
SMSEMOA,random_dense,HUX,1.4196135620587598
SMSEMOA,random_dense,UX,1.419774527706324
AGEMOEA2,greedy_ting,HUX,1.4247806418162985
NSGA2,random_dense,HUX,1.4303882687789762
SPEA2,random_dense,2P,1.432439510452306
AGEMOEA2,greedy_ting,UX,1.4324430524715848
SMSEMOA,random_dense,2P,1.4389103667943557
NSGA2,random_dense,UX,1.4390962645549128
AGEMOEA2,random_dense,1P,1.4408041166141172
SPEA2,random_dense,1P,1.4433272241210424
NSGA3,random_dense,1P,1.443408172768271
SMSEMOA,random_dense,1P,1.4544107562562092
RVEA,random_dense,HUX,1.4672348905540429
NSGA3,greedy_ting,HUX,1.4673741005447123
NSGA3,greedy_ting,UX,1.4675166155537895
NSGA2,random_dense,2P,1.4703551381101874
NSGA2,greedy_ting,UX,1.473538043627185
NSGA2,greedy_ting,HUX,1.4771114677648955
SPEA2,greedy_ting,UX,1.4814663562816541
SPEA2,greedy_ting,HUX,1.4820263358838708
AGEMOEA2,greedy_ting,2P,1.482631236909109
NSGA2,random_dense,1P,1.4829101968478298
RVEA,random_dense,UX,1.4830786035346564
NSGA3,greedy_ting,2P,1.4892193546366055
AGEMOEA2,greedy_multi,UX,1.4946059204234703
NSGA3,greedy_multi,UX,1.498056071618392
SMSEMOA,greedy_ting,1P,1.4985040784748154
AGEMOEA2,greedy_multi,HUX,1.4985285805693769
SPEA2,greedy_multi,HUX,1.4987804276877352
SMSEMOA,greedy_ting,HUX,1.500211057363011
SPEA2,greedy_multi,UX,1.5006088610253714
NSGA3,greedy_multi,HUX,1.5018601449652549
SMSEMOA,greedy_ting,UX,1.5023876508268734
NSGA3,greedy_multi,2P,1.5051110345235554
AGEMOEA2,greedy_multi,2P,1.505122942739931
SPEA2,greedy_ting,2P,1.5057313836876276
AGEMOEA2,greedy_multi,1P,1.5059167625113052
AGEMOEA2,greedy_ting,1P,1.5059197266341415
SMSEMOA,greedy_ting,2P,1.5071019301554678
NSGA3,greedy_multi,1P,1.5087471686958627
SPEA2,greedy_ting,1P,1.5100792432521688
SPEA2,greedy_multi,2P,1.5101482680393465
SPEA2,greedy_multi,1P,1.5137485248734288
RVEA,random_dense,2P,1.5141293073885982
NSGA2,greedy_ting,2P,1.5148324146056766
NSGA2,greedy_ting,1P,1.5166999711080305
MOEAD_TCHE,greedy_multi,HUX,1.5175355665357642
MOEAD_TCHE,greedy_multi,2P,1.517767773809314
SMSEMOA,greedy_multi,UX,1.5181125410864507
SMSEMOA,greedy_multi,2P,1.5192879768210055
NSGA3,greedy_ting,1P,1.519676028505491
MOEAD_TCHE,greedy_multi,1P,1.5199954996560021
MOEAD_TCHE,greedy_multi,UX,1.5208302632784756
SMSEMOA,greedy_multi,HUX,1.5211671763471615
SMSEMOA,greedy_multi,1P,1.524125781280524
NSGA2,greedy_multi,HUX,1.5294247880251444
RVEA,random_dense,1P,1.530470444130424
RVEA,greedy_multi,UX,1.5310574204639018
RVEA,greedy_multi,HUX,1.5321701028881554
RVEA,greedy_ting,UX,1.5323081721096503
NSGA2,greedy_multi,UX,1.5333301661563952
RVEA,greedy_multi,2P,1.537607689133317
MOEAD_TCHE,greedy_ting,HUX,1.5397342050290461
MOEAD_TCHE,random_dense,2P,1.540292277412791
RVEA,greedy_multi,1P,1.5421299248031857
NSGA2,greedy_multi,1P,1.5445936761385277
MOEAD_TCHE,greedy_ting,UX,1.5449357011123392
NSGA2,greedy_multi,2P,1.5459958422103424
RVEA,greedy_ting,HUX,1.5460161583508196
MOEAD_TCHE,greedy_ting,2P,1.547110960891509
MOEAD_TCHE,greedy_ting,1P,1.5565634524185898
RVEA,greedy_ting,2P,1.5610658021915078
MOEAD_TCHE,random_dense,UX,1.5646276397793542
MOEAD_TCHE,random_dense,HUX,1.5660638847637354
MOEAD_TCHE,random_dense,1P,1.574304370515153
RVEA,greedy_ting,1P,1.5929712117282289
