tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,SPEA2,random_dense,4,150833957,210.0,55.0,89.43617021276596,0.0040699209616948
Pseudo-Weights Match,Global,AGEMOEA2,random_dense,2,953635524,252.0,69.0,108.98758865248226,0.0044131891708772
Mejor Knee Point,Global,NSGA2,random_dense,2,195661713,447.0,101.0,158.40868794326238,0.0027214580121629
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,233.0,59.0,94.14450354609927,0.0033206093028325
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,183.0,48.0,80.03368794326241,0.004613844830232
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,184.0,44.0,71.10904255319147,0.0029690722808374
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,316.0,69.0,111.79521276595742,0.0023770372434615
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,254.0,67.0,109.3359929078014,0.0045604946792013
Mejor Knee Point,Local,SPEA2,random_dense,1,1788150964,273.0,56.0,108.854609929078,0.0032783677716909
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,272.0,67.0,111.02836879432623,0.0034437085999064
Pseudo-Weights Match,Local,SPEA2,random_dense,1,531916921,296.0,63.0,116.4264184397163,0.0039664325528249
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,159.0,35.0,69.13829787234043,0.0042065631076878
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,218.0,50.0,85.05939716312056,0.0029791782022728
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,218.0,50.0,85.05939716312056,0.0029791782022728
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,171.0,42.0,74.21542553191489,0.0040134386865881
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,214.0,53.0,90.47251773049645,0.0043385271199946
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,218.0,42.0,77.92819148936171,0.0023700078883367
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,277.0,57.0,99.2287234042553,0.0022862654655907
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,179.0,34.0,65.83156028368795,0.0024547448308666
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,171.0,39.0,72.96453900709218,0.0037864163562809
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,321.0,72.0,117.14361702127658,0.0025258204219142
Compromise (ASF),Local,SPEA2,random_dense,1,1788150964,236.0,54.0,93.89095744680851,0.0033125236174115
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,275.0,67.0,109.21985815602834,0.0036285033137249
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,190.0,47.0,82.00531914893617,0.0045862548890273
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,317.0,70.0,110.48670212765956,0.0022513296551839
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,206.0,52.0,87.90514184397163,0.0042355992189428
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,165.0,33.0,72.10992907801419,0.0049340070203754
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,223.0,51.0,94.55230496453899,0.0041896389424847
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,220.0,52.0,83.53546099290779,0.002804139952968
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,237.0,49.0,89.85815602836878,0.0028038058802238
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,231.0,58.0,99.52659574468085,0.0044520655263748
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,298.0,74.0,123.01773049645391,0.0038738555698691
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,239.0,61.0,99.84485815602835,0.0038990865939757
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,230.0,54.0,86.92198581560284,0.0024741103706942
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,251.0,60.0,107.62765957446808,0.0043887575495716
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,174.0,42.0,73.67996453900707,0.0038260142387019
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,203.0,45.0,72.13386524822694,0.0022461781128923
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,172.0,42.0,69.53102836879432,0.0032840408872743
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,251.0,60.0,107.62765957446808,0.0043887575495716
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,157.0,31.0,62.165780141843975,0.0029703562526192
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,224.0,50.0,82.322695035461,0.0023745942475234
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,191.0,37.0,65.84131205673758,0.001974081982493
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,189.0,36.0,67.20390070921985,0.0021272302929678
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,225.0,47.0,75.48049645390071,0.001806349197478
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,300.0,72.0,118.68085106382978,0.0031121464379726
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,278.0,69.0,106.91666666666667,0.0029921436339371
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,247.0,64.0,107.72517730496453,0.0049468751349867
Compromise (ASF),Local,SPEA2,random_dense,1,531916921,309.0,59.0,117.51684397163119,0.003056637237884
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,257.0,67.0,106.59840425531914,0.0038040084619056
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,184.0,40.0,66.41223404255318,0.0022190172763989
Compromise (ASF),Local,SPEA2,random_dense,1,1788150964,216.0,44.0,84.87943262411346,0.0034133866395312
Pseudo-Weights Match,Local,SPEA2,random_dense,1,531916921,358.0,79.0,135.39361702127658,0.0033565512723679
Mejor Knee Point,Local,SPEA2,random_dense,1,1788150964,271.0,57.0,106.55762411347517,0.0030621417244254
Compromise (ASF),Local,SPEA2,random_dense,1,531916921,244.0,46.0,89.80496453900709,0.0032919633492892
Pseudo-Weights Match,Local,SPEA2,random_dense,1,531916921,242.0,45.0,86.59308510638296,0.0030115901882911
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,160.0,36.0,62.226063829787236,0.0031406995831741
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,328.0,79.0,127.93794326241135,0.0033680070149075
Mejor Knee Point,Local,SPEA2,random_dense,4,1589952131,240.0,62.0,104.64539007092198,0.0051155892316225
Compromise (ASF),Local,SPEA2,random_dense,4,1589952131,253.0,59.0,106.41489361702126,0.0041263843463728
Pseudo-Weights Match,Local,SPEA2,random_dense,4,1589952131,174.0,44.0,72.17198581560284,0.003476369491452
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,343.0,82.0,133.20921985815602,0.0032039846386546
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,241.0,60.0,99.15691489361703,0.0035125991517567
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,241.0,60.0,99.15691489361703,0.0035125991517567
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,347.0,82.0,126.68439716312056,0.0025216922107362
