algorithm,init,avg_rank_7,avg_rank_6
MOEAD_TCHE,greedy_ting,4.142857142857143,4.591836734693878
MOEAD_TCHE,greedy_hybrid,6.714285714285714,7.244897959183674
MOEAD_PBI,greedy_ting,7.285714285714286,7.183673469387755
MOEAD_PBI,greedy_hybrid,7.714285714285714,7.387755102040816
NSGA3,random_dense,8.285714285714286,8.46938775510204
NSGA3,greedy_hybrid,8.857142857142858,9.26530612244898
NSGA3,greedy_ting,9.285714285714286,10.040816326530614
NSGA2,random_dense,9.571428571428571,10.653061224489795
SPEA2,random_dense,10.0,9.857142857142858
MOEAD_WS,greedy_ting,11.142857142857142,10.877551020408163
NSGA2,greedy_hybrid,11.285714285714286,11.612244897959185
NSGA2,greedy_ting,11.571428571428571,12.510204081632653
MOEAD_TCHE,random_dense,12.714285714285714,12.387755102040815
MOEAD_WS,greedy_hybrid,13.285714285714286,12.755102040816327
NSGA3,random_sparse,13.571428571428571,12.938775510204081
SPEA2,greedy_ting,14.285714285714286,14.612244897959185
SPEA2,greedy_hybrid,14.571428571428571,14.653061224489795
MOEAD_WS,random_dense,14.714285714285714,14.530612244897958
MOEAD_WS,random_sparse,15.285714285714286,14.469387755102042
MOEAD_TCHE,random_sparse,16.0,15.0
MOEAD_PBI,random_sparse,17.857142857142858,16.979591836734695
SPEA2,random_sparse,20.428571428571427,20.20408163265306
NSGA2,random_sparse,20.571428571428573,20.653061224489797
MOEAD_PBI,random_dense,20.857142857142858,21.122448979591837
