algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_dense,1,625693803,127.00580310821533,200,0,0.5543217017170473,0.32040050149794536,0.3693445449555672,1.0647607527203353,0.23837209302325582,0.21063280105117202,0.3716503599202301,0.0004814123833163602
NSGA2,random_dense,2,391694695,126.87224698066711,200,0,0.5851740833685232,0.32076162849589357,0.37500342738695736,1.063933060531579,0.24444444444444444,0.20778980457716947,0.3714042733192949,0.00048109361828924205
NSGA2,random_dense,3,1457830525,126.85052537918091,200,0,0.5386365227954479,0.34607306024516515,0.4477302574590752,1.0319250060978074,0.25416666666666665,0.20726166931831333,0.3618436406401571,0.000468709379067561
NSGA2,random_dense,4,1931809361,126.36367440223694,200,0,0.587026410367497,0.29038347332091813,0.34699916787180757,1.0986453363852149,0.25308641975308643,0.20804269048543003,0.37445497527042515,0.0004850453047544367
NSGA2,random_dense,5,1192680573,126.36113333702087,200,0,0.5452815858216795,0.3130684287800355,0.358573404918412,1.0732880005487218,0.2611464968152866,0.21816674791609253,0.37767248843096757,0.0004892130679157611
NSGA2,random_dense,6,1415222202,126.42724609375,200,0,0.5542726181270905,0.33694536648395423,0.4478824986663395,1.040707385627091,0.25,0.20203914998528563,0.35529118860490577,0.00046022174689754633
NSGA2,random_dense,7,1109996095,126.78842782974243,200,0,0.5676342805005392,0.3153156941607736,0.37044725104643755,1.0702071175460477,0.24571428571428572,0.2094540491739415,0.36994831273825796,0.00047920765898738077
NSGA2,random_dense,8,879712910,134.41899919509888,200,0,0.5228436062753563,0.37069462493898314,0.4713130755065004,1.0036341075465114,0.250936329588015,0.21068960484077678,0.36514324470090315,0.00047298347759184347
NSGA2,random_dense,9,981552059,126.54241418838501,200,0,0.5248422200582786,0.3432783354134064,0.38386224825078186,1.0396960111369238,0.26436781609195403,0.2200309407101044,0.36838245020467264,0.00047717933964335835
NSGA2,random_dense,10,863895947,132.56462836265564,200,0,0.5997765700281792,0.2840433287116327,0.3408442478865113,1.105566750941019,0.25,0.20786077417235999,0.37466424826508643,0.00048531638376306534
NSGA2,random_dense,11,1331196225,121.86828637123108,200,0,0.5124499994623153,0.36671276469891534,0.4679185087000598,1.0070562633289444,0.24013157894736842,0.20671459815510132,0.35743154638443786,0.0004629942310679247
NSGA2,random_dense,12,1660757152,132.62535190582275,200,0,0.5695519230593933,0.33252708812147574,0.42821522658252137,1.047566785543478,0.24015748031496062,0.20420218355112407,0.3643806127168998,0.00047199561232759044
NSGA2,random_dense,13,1625185344,135.0233235359192,200,0,0.559570785738501,0.3232113924978298,0.37593548545019456,1.061172531542047,0.25,0.20844347028215118,0.37309103774730545,0.0004832785463047998
NSGA2,random_dense,14,2026596598,136.7239167690277,200,0,0.4979783263716855,0.36169800332735036,0.46133591602653934,1.0145250940392192,0.25311203319502074,0.21083025744437417,0.3658365114586041,0.0004738814915266892
NSGA2,random_dense,15,216045019,133.92835307121277,200,0,0.5841443972386129,0.3529734749716781,0.43119077972974357,1.0265047974314807,0.24680851063829787,0.19788779830053252,0.3645968795750274,0.00047227575074485417
NSGA2,random_dense,16,169494937,135.0693392753601,200,0,0.5677643279121862,0.3055255333141519,0.3697584736954861,1.0813571068349381,0.24175824175824176,0.2059680736508826,0.3782505486153487,0.0004899618505380164
NSGA2,random_dense,17,1292235861,136.719331741333,200,0,0.5886171105193344,0.3561606161304606,0.459067555357949,1.0197951034298611,0.2490842490842491,0.20210522826958993,0.35432960275935277,0.00045897616937739995
NSGA2,random_dense,18,1719352496,133.94073128700256,200,0,0.5655339748780176,0.32517066267372646,0.3691499944734825,1.059192018724583,0.24725274725274726,0.20969203924366128,0.371852147103251,0.00048167376567778626
NSGA2,random_dense,19,1405481506,122.01872658729553,200,0,0.5069981402909213,0.35698070172542684,0.44542191905286166,1.0202359364695177,0.25384615384615383,0.21479907233609852,0.36577681510860005,0.0004738041646484457
NSGA2,random_dense,20,2134333377,76.16100454330444,200,0,0.5893701482713953,0.334889986644943,0.4556919366796169,1.042326906431954,0.24113475177304963,0.19141484750145576,0.3584663583285165,0.00046433466104730116
NSGA2,greedy_ting,1,632773960,131.17364263534546,200,0,2.1846614453112014,0.12373175416086073,0.3594090638512116,1.2075561737362515,0.21140939597315436,0.07830117538442471,0.3374366984212472,0.0004370941689394394
NSGA2,greedy_ting,2,398774852,131.25225615501404,200,0,2.223744727681703,0.12454365688427366,0.3686941301480182,1.238874563723831,0.21388888888888888,0.08002874414337696,0.3363231335154302,0.0004356517273515935
NSGA2,greedy_ting,3,1464910682,79.44036602973938,200,0,2.1769018290543953,0.12415285701114787,0.3498463261800006,1.2368503608473091,0.2188449848024316,0.08313726178075825,0.3389561949604212,0.0004390624287052088
NSGA2,greedy_ting,4,1938889518,135.90512084960938,200,0,2.151388384053638,0.12452651313113891,0.3499849963840851,1.2429542645238576,0.2166172106824926,0.08676620539831129,0.3463293158809191,0.00044861310347269314
NSGA2,greedy_ting,5,1199760730,131.70575857162476,200,0,2.154716904585815,0.1253725210191696,0.3572789938260822,1.2391516685694508,0.2153846153846154,0.08397691065345204,0.33966002614929713,0.00043997412713639526
NSGA2,greedy_ting,6,1422302359,126.6416757106781,200,0,2.2749491300113616,0.1251218193148748,0.34171231025721915,1.2373532266221556,0.21031746031746032,0.0799821861065932,0.3326621875889557,0.0004309095694157457
NSGA2,greedy_ting,7,1117076252,135.96474623680115,200,0,2.361076987819992,0.12290500584443265,0.36520534693422824,1.2260380364258785,0.2107843137254902,0.0711364579045971,0.3229722968698811,0.000418357897499846
NSGA2,greedy_ting,8,886793067,126.77141737937927,200,0,2.2838718596892864,0.12406181172143609,0.36661248443244376,1.2335467900069308,0.2159468438538206,0.08146791706200779,0.3331010643653458,0.00043147806264941165
NSGA2,greedy_ting,9,988632216,126.99549770355225,200,0,2.165897584257853,0.12479209593460712,0.36645415860947056,1.2355792510372219,0.22330097087378642,0.0853552222670223,0.33513686399843556,0.0004341151088062637
NSGA2,greedy_ting,10,870976104,132.95617365837097,200,0,2.178715959424929,0.12503879586044772,0.3463968242868089,1.2412237216076798,0.21487603305785125,0.08492377688034622,0.3344541750238965,0.0004332307966630784
NSGA2,greedy_ting,11,1338276382,126.98790454864502,200,0,2.116196420654263,0.1252993875080275,0.3286717519462008,1.246838224124447,0.2147887323943662,0.09352909688202209,0.34904954307810426,0.0004521367138317413
NSGA2,greedy_ting,12,1667837309,127.03717923164368,200,0,2.1922075042004034,0.1253385974986246,0.36334869109170537,1.223319187253042,0.21629213483146068,0.07836777966477577,0.3334061000055308,0.00043187318653566164
NSGA2,greedy_ting,13,1632265501,127.13490271568298,200,0,2.243221578386788,0.12452536099266452,0.3490010671484962,1.23375565787331,0.2129032258064516,0.07719264982223283,0.32849460935512653,0.0004255111520144126
NSGA2,greedy_ting,14,2033676755,72.68135070800781,200,0,2.1853437854433753,0.12569167601630293,0.32776345254826084,1.2372742511482617,0.21739130434782608,0.08689144146857998,0.3415924453044847,0.00044247726075710453
NSGA2,greedy_ting,15,223125176,133.0939998626709,200,0,2.282487987966645,0.12592711173240542,0.32271126241736237,1.2466957626447739,0.21095890410958903,0.0838743958017663,0.33814999554387254,0.00043801812894284005
NSGA2,greedy_ting,16,176575094,126.74136209487915,200,0,2.1132810192902634,0.12655942983627258,0.3506988563537261,1.236652742711587,0.21951219512195122,0.08441583247565898,0.3443131983632354,0.00044600155228398364
NSGA2,greedy_ting,17,1299316018,136.22983598709106,200,0,2.2105632628542433,0.12466267327509421,0.3750771377980104,1.2199102536485829,0.2087227414330218,0.07832780097398138,0.32847174780529415,0.000425481538607894
NSGA2,greedy_ting,18,1726432653,134.25155019760132,200,0,2.1917890963033635,0.12510745722638741,0.34144027733394067,1.2335381092486297,0.2179930795847751,0.08452587419636881,0.3350942383021004,0.00043405989417370517
NSGA2,greedy_ting,19,1412561663,134.03990578651428,200,0,2.2147272461328855,0.12639223219589982,0.37248144117129633,1.2236188974721047,0.21305841924398625,0.0784479544362064,0.3353481261979273,0.0004343887645050872
NSGA2,greedy_ting,20,2141413534,126.78923630714417,200,0,2.1417874646865576,0.12619094327844824,0.3652841238570791,1.2369137225436937,0.21264367816091953,0.0767062212635998,0.3436787567857998,0.0004451797367691707
NSGA3,random_dense,1,1646379116,136.00838375091553,42,0,0.2856965820087699,0.3935114926590852,0.4128350404691086,0.9860477916929906,0.2786885245901639,0.2524475884212332,0.3987766680686935,0.0005165500881718827
NSGA3,random_dense,2,1412380008,136.21278619766235,44,0,0.3185796780317914,0.3611233871090083,0.38195389729375845,1.0226254414638154,0.2655367231638418,0.2386240910830051,0.38983983353877605,0.0005049738776409016
