Compacidad,Tolerancia,Hamming,Balance,init_cross
7.0,0.0,3.405141843971631,1.584973561440569,greedy_multi+HUX
10.0,1.0,5.01063829787234,2.2552059755545386,greedy_multi+HUX
14.0,2.0,6.573581560283688,3.049550292993289,greedy_multi+HUX
19.0,4.0,9.374113475177303,4.615358256626924,greedy_multi+HUX
26.0,6.0,12.91400709219858,6.745264794275945,greedy_multi+HUX
41.0,11.0,20.04698581560284,12.691941269302337,greedy_multi+HUX
30.0,6.0,15.249113475177303,13.47074389492479,greedy_multi+HUX
37.0,10.0,18.663120567375888,13.081547708867737,greedy_multi+HUX
48.0,13.0,23.856382978723403,19.60703372566772,greedy_multi+HUX
33.0,8.0,15.584219858156027,7.492907015492186,greedy_multi+HUX
32.0,8.0,16.13386524822695,9.878356691061812,greedy_multi+HUX
16.0,1.0,8.132978723404255,3.829834389618231,greedy_multi+HUX
29.0,7.0,14.650709219858156,8.771612972184508,greedy_multi+HUX
27.0,0.0,13.74113475177305,12.610293747799432,greedy_multi+HUX
38.0,10.0,18.697695035460992,11.14708688571999,greedy_multi+HUX
57.0,14.0,28.04787234042553,26.150190508525743,greedy_multi+HUX
36.0,9.0,17.10549645390071,9.000395320909373,greedy_multi+HUX
25.0,0.0,12.72517730496454,10.750713621045197,greedy_multi+HUX
51.0,13.0,25.55673758865248,24.27514964036007,greedy_multi+HUX
12.0,0.0,6.113475177304965,3.8169106181782304,greedy_multi+HUX
23.0,5.0,11.390070921985815,5.784014888587103,greedy_multi+HUX
39.0,10.0,19.69060283687943,15.073599636587792,greedy_multi+HUX
34.0,8.0,17.210106382978722,12.907096442583414,greedy_multi+HUX
30.0,7.0,14.127659574468083,7.040440621699132,greedy_multi+HUX
46.0,12.0,21.93351063829787,13.828025973291096,greedy_multi+HUX
40.0,6.0,20.31117021276596,21.207251112871567,greedy_multi+HUX
37.0,9.0,18.722517730496453,15.101195079472836,greedy_multi+HUX
36.0,8.0,16.6072695035461,8.080691835169223,greedy_multi+HUX
39.0,10.0,19.666666666666668,12.888888888888944,greedy_multi+HUX
31.0,4.0,14.817375886524824,6.902818645943383,greedy_multi+HUX
36.0,9.0,18.15780141843972,11.645311478295715,greedy_multi+HUX
19.0,0.0,9.677304964539006,8.899414013379626,greedy_multi+HUX
43.0,11.0,20.18173758865248,11.671758682913309,greedy_multi+HUX
36.0,9.0,17.648936170212767,10.387392485287489,greedy_multi+HUX
41.0,10.0,19.148936170212767,10.399803832805192,greedy_multi+HUX
25.0,2.0,12.731382978723405,12.251426456164175,greedy_multi+HUX
43.0,10.0,20.132978723404257,11.471678361249458,greedy_multi+HUX
43.0,11.0,21.515070921985817,16.34551754816157,greedy_multi+HUX
23.0,1.0,11.65514184397163,6.366001930234893,greedy_multi+HUX
36.0,4.0,18.293439716312054,17.831446324380085,greedy_multi+HUX
28.0,4.0,14.24290780141844,14.214045445400128,greedy_multi+HUX
34.0,5.0,16.351063829787233,8.376754187415152,greedy_multi+HUX
37.0,5.0,18.7686170212766,15.184937094462036,greedy_multi+HUX
50.0,13.0,23.98049645390071,17.293945852824226,greedy_multi+HUX
53.0,14.0,25.40070921985816,19.828793823248347,greedy_multi+HUX
36.0,8.0,18.25531914893617,15.917081635732586,greedy_multi+HUX
42.0,8.0,21.302304964539008,21.83503014813134,greedy_multi+HUX
