Compacidad,Tolerancia,Hamming,Balance,init_cross
270.0,54.0,98.9982269503546,230.1063798350179,random_dense+1P
494.0,99.0,181.8617021276596,925.1049871736832,random_dense+1P
267.0,53.0,99.20035460992908,233.8605672501383,random_dense+1P
270.0,53.0,100.72517730496452,239.2258909260094,random_dense+1P
489.0,100.0,180.54521276595744,915.1841260185598,random_dense+1P
495.0,99.0,181.8714539007092,923.5676957585137,random_dense+1P
485.0,98.0,177.70212765957447,834.2623358985948,random_dense+1P
474.0,95.0,176.61347517730496,889.9392510437127,random_dense+1P
304.0,62.0,114.77659574468083,314.87916855289,random_dense+1P
272.0,55.0,101.479609929078,241.1148324719582,random_dense+1P
369.0,78.0,143.2695035460993,588.2004174840296,random_dense+1P
455.0,91.0,171.50531914893617,800.8155745435348,random_dense+1P
269.0,53.0,100.32624113475175,236.57087168653447,random_dense+1P
376.0,81.0,144.33244680851064,544.2715713180925,random_dense+1P
494.0,100.0,181.78900709219857,922.3384607162608,random_dense+1P
374.0,79.0,143.41755319148936,533.3088053606458,random_dense+1P
294.0,59.0,111.11613475177305,285.490945343544,random_dense+1P
429.0,83.0,160.55585106382978,631.6936891693067,random_dense+1P
434.0,90.0,164.50443262411346,730.0070725504253,random_dense+1P
471.0,97.0,175.6923758865248,845.0321404544541,random_dense+1P
346.0,72.0,132.80673758865248,511.0300255268841,random_dense+1P
286.0,56.0,107.93351063829788,278.5975295193903,random_dense+1P
420.0,83.0,159.4964539007092,623.6116895528403,random_dense+1P
334.0,74.0,127.88475177304964,386.4406185554044,random_dense+1P
445.0,92.0,167.93085106382978,752.4881262260448,random_dense+1P
357.0,74.0,137.81914893617022,541.4672928927114,random_dense+1P
396.0,80.0,150.80141843971631,558.1591469241995,random_dense+1P
457.0,94.0,170.98138297872342,789.4686250377234,random_dense+1P
299.0,61.0,109.15248226950357,269.0334867461401,random_dense+1P
482.0,97.0,179.05939716312056,898.9902663032549,random_dense+1P
451.0,93.0,169.74556737588654,785.7003349617736,random_dense+1P
466.0,96.0,173.01241134751774,810.4111934761844,random_dense+1P
396.0,87.0,150.33599290780143,542.2869314609428,random_dense+1P
346.0,70.0,130.8945035460993,404.89401234218593,random_dense+1P
309.0,66.0,116.28014184397163,318.4498893415824,random_dense+1P
298.0,62.0,109.87234042553192,269.9127810472312,random_dense+1P
492.0,100.0,181.2801418439716,914.960527639456,random_dense+1P
426.0,89.0,160.6258865248227,644.6401809516625,random_dense+1P
305.0,64.0,113.80851063829788,316.3427644484686,random_dense+1P
373.0,80.0,142.89007092198582,473.35670992404783,random_dense+1P
371.0,77.0,140.87322695035462,466.1975810761528,random_dense+1P
441.0,91.0,167.3927304964539,748.9884932536089,random_dense+1P
440.0,89.0,166.5868794326241,745.3896150847545,random_dense+1P
352.0,73.0,135.76507092198582,492.8056239311409,random_dense+1P
481.0,98.0,178.67198581560282,880.3853144962527,random_dense+1P
275.0,55.0,101.27304964539007,238.79423821739357,random_dense+1P
479.0,99.0,175.60283687943263,800.4982898244557,random_dense+1P
362.0,76.0,139.68439716312056,486.7904657713413,random_dense+1P
356.0,78.0,137.24556737588654,466.4228526922693,random_dense+1P
344.0,71.0,130.0868794326241,399.7300406166695,random_dense+1P
317.0,69.0,120.85549645390071,343.27433149112227,random_dense+1P
281.0,58.0,106.23670212765956,265.15939763467594,random_dense+1P
290.0,63.0,110.03457446808513,287.0936627621853,random_dense+1P
