Compacidad,Tolerancia,Hamming,Balance,init_cross
146.0,29.0,51.722517730496456,61.70580500855088,greedy_ting+UX
283.0,67.0,112.47695035460993,302.5916672954075,greedy_ting+UX
179.0,37.0,70.54964539007092,117.61987576077662,greedy_ting+UX
323.0,58.0,117.28812056737588,261.30794398546345,greedy_ting+UX
211.0,47.0,85.38563829787235,180.192595159952,greedy_ting+UX
28.0,1.0,11.210106382978724,6.619862400030171,greedy_ting+UX
134.0,13.0,55.36524822695036,93.86304763341867,greedy_ting+UX
28.0,4.0,11.037234042553193,6.945422136713454,greedy_ting+UX
394.0,87.0,153.73936170212767,566.9533442734257,greedy_ting+UX
219.0,31.0,89.52748226950355,226.49924472486285,greedy_ting+UX
349.0,73.0,130.55585106382978,354.27524945299484,greedy_ting+UX
421.0,88.0,154.15336879432624,536.5890666654087,greedy_ting+UX
235.0,53.0,87.33067375886525,153.6929598297371,greedy_ting+UX
376.0,77.0,148.10106382978722,494.23092085408086,greedy_ting+UX
166.0,20.0,62.07890070921986,82.42905836602802,greedy_ting+UX
306.0,68.0,109.99113475177305,240.0566589960264,greedy_ting+UX
259.0,56.0,101.5691489361702,232.07323260902356,greedy_ting+UX
94.0,16.0,34.61790780141844,29.64212611915902,greedy_ting+UX
359.0,84.0,142.26241134751774,479.317665107389,greedy_ting+UX
306.0,53.0,123.36258865248227,368.8871464903687,greedy_ting+UX
239.0,37.0,85.83156028368795,142.97517416125964,greedy_ting+UX
270.0,36.0,107.9849290780142,281.46342534958046,greedy_ting+UX
