Compacidad,Tolerancia,Hamming,Balance,init_cross
328.0,81.0,134.20478723404256,448.6273884299077,random_dense+UX
368.0,81.0,145.63209219858155,455.8105658354707,random_dense+UX
405.0,84.0,155.17641843971631,495.030046746894,random_dense+UX
252.0,60.0,102.16489361702128,210.77068243549127,random_dense+UX
325.0,63.0,135.8741134751773,505.72174123535024,random_dense+UX
315.0,71.0,116.90691489361704,260.3149167232531,random_dense+UX
451.0,104.0,175.54964539007094,735.3610105125509,random_dense+UX
402.0,92.0,164.1923758865248,736.2280624402702,random_dense+UX
438.0,102.0,177.13386524822695,825.6354488896437,random_dense+UX
370.0,72.0,140.66932624113474,394.0936690495949,random_dense+UX
421.0,101.0,166.6799645390071,690.4622936157624,random_dense+UX
415.0,92.0,162.69326241134752,575.285344675821,random_dense+UX
286.0,56.0,118.29078014184395,320.844524923294,random_dense+UX
299.0,70.0,125.47163120567376,410.97969166540906,random_dense+UX
345.0,80.0,144.33333333333334,571.4739952718684,random_dense+UX
359.0,81.0,132.70301418439718,352.6183597090183,random_dense+UX
429.0,94.0,172.82801418439718,744.1760946380957,random_dense+UX
283.0,67.0,108.05673758865248,227.01451134248816,random_dense+UX
313.0,77.0,122.38386524822695,331.3127538541825,random_dense+UX
265.0,57.0,111.3058510638298,298.818689169307,random_dense+UX
370.0,91.0,149.32890070921985,540.9529945362412,random_dense+UX
400.0,91.0,149.89982269503545,471.460709188417,random_dense+UX
390.0,83.0,158.3537234042553,614.5122911008001,random_dense+UX
326.0,68.0,126.80673758865248,332.5052028318495,random_dense+UX
285.0,69.0,115.1232269503546,314.09917682083426,random_dense+UX
282.0,58.0,111.3209219858156,249.38282468185687,random_dense+UX
