Compacidad,Tolerancia,Hamming,Balance,init_cross
298.0,62.0,114.1063829787234,293.50641315829165,random_dense+2P
446.0,99.0,171.7668439716312,757.5936879118245,random_dense+2P
401.0,91.0,159.90159574468086,582.5674442621091,random_dense+2P
310.0,68.0,121.07712765957449,332.47011515391563,random_dense+2P
334.0,77.0,131.99556737588654,373.1444838979425,random_dense+2P
367.0,82.0,148.4831560283688,495.5670921671445,random_dense+2P
350.0,78.0,140.0718085106383,417.5152336087216,random_dense+2P
356.0,85.0,143.67730496453902,459.29657713394704,random_dense+2P
361.0,85.0,145.95390070921985,469.7212791107079,random_dense+2P
353.0,80.0,142.46453900709218,434.7381042201095,random_dense+2P
379.0,85.0,151.57269503546098,491.3315948644435,random_dense+2P
373.0,88.0,150.41489361702128,508.2002037120874,random_dense+2P
368.0,86.0,148.4840425531915,472.0387524520903,random_dense+2P
372.0,86.0,150.47783687943263,504.0509272358028,random_dense+2P
375.0,87.0,150.25,482.2460106382979,random_dense+2P
321.0,69.0,125.12411347517732,350.7292766963429,random_dense+2P
374.0,87.0,149.9290780141844,478.8353956038432,random_dense+2P
374.0,85.0,150.00531914893617,477.7198298626834,random_dense+2P
379.0,87.0,152.38918439716312,505.0143156468475,random_dense+2P
375.0,86.0,150.6418439716312,485.70151149338506,random_dense+2P
382.0,89.0,153.1622340425532,510.55258082465673,random_dense+2P
375.0,88.0,150.16932624113474,480.9598038013687,random_dense+2P
341.0,76.0,135.5700354609929,392.3355205661179,random_dense+2P
356.0,82.0,143.34929078014184,444.5092016246665,random_dense+2P
376.0,86.0,151.20212765957447,493.6187188773206,random_dense+2P
363.0,85.0,146.04166666666666,450.41936317966656,random_dense+2P
376.0,87.0,150.89893617021278,487.4685095065648,random_dense+2P
311.0,62.0,118.53812056737588,315.2024475315627,random_dense+2P
383.0,89.0,154.56560283687944,535.4495969770129,random_dense+2P
371.0,84.0,148.8945035460993,469.25571446984594,random_dense+2P
368.0,86.0,147.6090425531915,463.15123028897,random_dense+2P
362.0,84.0,146.40159574468086,467.9584017089187,random_dense+2P
328.0,75.0,129.61258865248226,366.8703025187361,random_dense+2P
445.0,99.0,171.45567375886526,755.7143472410844,random_dense+2P
359.0,83.0,144.9459219858156,455.48732379533294,random_dense+2P
393.0,91.0,156.86524822695034,550.286806498667,random_dense+2P
387.0,89.0,154.0177304964539,513.8046501685016,random_dense+2P
372.0,85.0,149.21010638297872,472.5134794213069,random_dense+2P
390.0,90.0,155.13652482269504,531.0558290578936,random_dense+2P
362.0,82.0,145.56382978723406,450.6998264674816,random_dense+2P
371.0,87.0,149.20567375886526,476.184648659524,random_dense+2P
379.0,90.0,152.9663120567376,528.622978597656,random_dense+2P
364.0,86.0,145.5744680851064,447.04941904330747,random_dense+2P
376.0,86.0,151.8218085106383,509.0382832541119,random_dense+2P
383.0,86.0,152.9663120567376,505.5520566118404,random_dense+2P
362.0,84.0,146.01241134751774,464.8828246818591,random_dense+2P
376.0,89.0,152.23492907801418,517.5503047822042,random_dense+2P
369.0,86.0,148.1950354609929,465.4974221618627,random_dense+2P
373.0,88.0,150.35106382978722,500.68171872642097,random_dense+2P
389.0,85.0,154.9113475177305,528.2510059856145,random_dense+2P
357.0,82.0,144.58067375886526,455.7718605389561,random_dense+2P
368.0,86.0,148.0913120567376,467.0936124629042,random_dense+2P
356.0,82.0,143.2118794326241,436.615568098938,random_dense+2P
343.0,76.0,137.375,410.8354388297872,random_dense+2P
360.0,85.0,145.39361702127658,453.8805266334684,random_dense+2P
372.0,83.0,149.8040780141844,479.7231393981685,random_dense+2P
376.0,84.0,151.02836879432624,487.8821739349136,random_dense+2P
374.0,83.0,150.21099290780143,481.0405883758361,random_dense+2P
365.0,86.0,146.73138297872342,462.42873142070346,random_dense+2P
373.0,84.0,149.7331560283688,478.3498935855839,random_dense+2P
339.0,75.0,135.73936170212767,409.66611023087376,random_dense+2P
