Compacidad,Tolerancia,Hamming,Balance,init_cross
328.0,36.0,125.89982269503548,414.7904964224598,greedy_ting+1P
303.0,24.0,116.10726950354608,389.9946989273673,greedy_ting+1P
350.0,55.0,134.3918439716312,493.2542597203352,greedy_ting+1P
400.0,68.0,146.88918439716312,531.1907340865652,greedy_ting+1P
352.0,60.0,132.1968085106383,454.939989814395,greedy_ting+1P
193.0,31.0,73.7331560283688,217.3428013870025,greedy_ting+1P
289.0,40.0,112.06028368794328,372.9573587847697,greedy_ting+1P
338.0,76.0,127.65691489361704,465.3033919005584,greedy_ting+1P
308.0,38.0,117.10283687943264,371.39367989537766,greedy_ting+1P
194.0,18.0,75.24113475177305,220.2574568683669,greedy_ting+1P
355.0,54.0,133.0381205673759,403.6944688081587,greedy_ting+1P
353.0,72.0,127.86258865248227,360.8986713130629,greedy_ting+1P
216.0,22.0,88.49113475177305,310.8368008399979,greedy_ting+1P
402.0,69.0,154.0328014184397,734.7746332868063,greedy_ting+1P
298.0,46.0,119.57535460992908,555.2868748742468,greedy_ting+1P
345.0,31.0,132.44858156028369,543.3696965695892,greedy_ting+1P
282.0,51.0,108.26595744680851,302.41153614003315,greedy_ting+1P
192.0,30.0,72.56028368794327,153.98395452945033,greedy_ting+1P
349.0,67.0,132.9290780141844,534.4382324832757,greedy_ting+1P
362.0,32.0,138.6595744680851,576.4869473366533,greedy_ting+1P
295.0,59.0,111.71365248226952,318.7149909146924,greedy_ting+1P
304.0,67.0,114.93351063829788,327.40426710804235,greedy_ting+1P
374.0,44.0,143.41932624113474,624.4988108935669,greedy_ting+1P
274.0,36.0,108.72074468085108,396.36971150218807,greedy_ting+1P
292.0,31.0,112.02836879432624,350.03820230370707,greedy_ting+1P
426.0,79.0,157.39007092198582,636.0251496403614,greedy_ting+1P
317.0,63.0,122.49024822695036,439.9467134135605,greedy_ting+1P
267.0,31.0,100.68705673758863,304.6157189967811,greedy_ting+1P
346.0,50.0,132.30230496453902,479.71978192117984,greedy_ting+1P
385.0,51.0,147.50443262411346,664.4804768057442,greedy_ting+1P
