config,Range
SPEA2-random_dense-UX,1.2189329827373865
SPEA2-random_dense-UX,1.2352552693418266
SPEA2-random_dense-UX,1.1780930919818973
SPEA2-random_dense-UX,1.3375425765997424
SPEA2-random_dense-UX,1.281541171763247
SPEA2-random_dense-HUX,1.3572628394666193
SPEA2-random_dense-HUX,1.2847653592469948
SPEA2-random_dense-HUX,1.324377090676804
SPEA2-random_dense-HUX,1.2239673356219023
SPEA2-random_dense-HUX,1.2111417106453493
SPEA2-random_dense-1P,1.1579699254625542
SPEA2-random_dense-1P,1.0427966638219908
SPEA2-random_dense-1P,1.2127136198769488
SPEA2-random_dense-1P,1.133976307167964
SPEA2-random_dense-1P,1.1372354446999573
SPEA2-random_dense-2P,1.0726003788775595
SPEA2-random_dense-2P,1.2063083361214528
SPEA2-random_dense-2P,1.1577801272559638
SPEA2-random_dense-2P,1.2527449576152514
SPEA2-random_dense-2P,1.1553246652360927
SPEA2-greedy_ting-UX,1.9622312711935255
SPEA2-greedy_ting-UX,1.8964431996792261
SPEA2-greedy_ting-UX,2.1466490247680197
SPEA2-greedy_ting-UX,1.9874683615969633
SPEA2-greedy_ting-UX,1.6973626049648913
SPEA2-greedy_ting-HUX,1.8308232232366912
SPEA2-greedy_ting-HUX,1.883492245552055
SPEA2-greedy_ting-HUX,2.0303711745064716
SPEA2-greedy_ting-HUX,1.899838051467238
SPEA2-greedy_ting-HUX,1.8069211398187641
SPEA2-greedy_ting-1P,1.7521540358759922
SPEA2-greedy_ting-1P,1.7631950821694522
SPEA2-greedy_ting-1P,1.9876529428929268
SPEA2-greedy_ting-1P,1.8748446712054223
SPEA2-greedy_ting-1P,1.7810478520206154
SPEA2-greedy_ting-2P,1.639115162813979
SPEA2-greedy_ting-2P,1.421431433586333
SPEA2-greedy_ting-2P,1.5318790858309983
SPEA2-greedy_ting-2P,1.6000316119147162
SPEA2-greedy_ting-2P,1.7206966941195307
SPEA2-greedy_multi-UX,0.3207411657357465
