algorithm,init,crossover,Hypervolume
NSGA2,random_dense,HUX,0.536345829724964
NSGA2,random_dense,UX,0.5363382601690322
NSGA2,greedy_ting,UX,0.5010712414712765
NSGA2,greedy_ting,HUX,0.4993056690757589
UNSGA3,random_dense,UX,0.4814197271944957
AGEMOEA2,random_dense,HUX,0.4779855103402757
NSGA3,random_dense,HUX,0.4779002470815624
UNSGA3,random_dense,HUX,0.47758189497075937
NSGA3,random_dense,UX,0.4732302507302892
AGEMOEA2,random_dense,UX,0.4694804517175485
NSGA2,greedy_ting,2P,0.4682271628976483
AGEMOEA2,greedy_ting,2P,0.4601361374230222
NSGA2,random_dense,2P,0.45836773691335314
AGEMOEA2,greedy_ting,1P,0.45453044954887367
NSGA2,greedy_ting,1P,0.4528827125406824
AGEMOEA2,random_dense,2P,0.4382009288235583
SPEA2,random_dense,HUX,0.4380236215332437
NSGA2,random_dense,1P,0.43695740363871804
UNSGA3,greedy_ting,2P,0.4295237449304178
SMSEMOA,greedy_ting,2P,0.42669137236711696
AGEMOEA2,greedy_ting,UX,0.4259560553138485
NSGA3,random_dense,2P,0.42528128276049715
UNSGA3,greedy_ting,HUX,0.42467461395455597
SPEA2,random_dense,UX,0.4238492126321356
UNSGA3,random_dense,2P,0.42376551085984515
NSGA3,greedy_ting,2P,0.42363525360817905
AGEMOEA2,greedy_ting,HUX,0.4213565149217574
NSGA3,greedy_ting,UX,0.42059913450158903
SMSEMOA,random_dense,2P,0.41958282788097157
UNSGA3,greedy_ting,UX,0.41802740304899066
SPEA2,greedy_ting,1P,0.4176534922611828
AGEMOEA2,random_dense,1P,0.4174398633191273
NSGA3,greedy_ting,HUX,0.41271171877812163
SMSEMOA,random_dense,HUX,0.40796372333722636
SMSEMOA,random_dense,UX,0.4076926365353401
UNSGA3,greedy_ting,1P,0.40588010776048183
SMSEMOA,greedy_ting,1P,0.4057462434940022
SPEA2,random_dense,2P,0.4054036710419055
NSGA3,greedy_ting,1P,0.4051160385792419
NSGA3,random_dense,1P,0.40495523650669546
SPEA2,greedy_ting,HUX,0.40485477926081065
SPEA2,greedy_ting,UX,0.40478748634304446
SPEA2,random_dense,1P,0.4046233932740984
SMSEMOA,greedy_ting,HUX,0.40400396399535987
SMSEMOA,greedy_ting,UX,0.40314441244669413
UNSGA3,random_dense,1P,0.3945529066226957
SPEA2,greedy_ting,2P,0.39152726654160847
SMSEMOA,random_dense,1P,0.38253245563771443
RVEA,random_dense,UX,0.29462044941545934
RVEA,random_dense,1P,0.2833252109184222
RVEA,random_dense,2P,0.2798926322081658
RVEA,random_dense,HUX,0.26670145932247624
RVEA,greedy_ting,UX,0.24962287209647016
RVEA,greedy_ting,HUX,0.24572202625431522
RVEA,greedy_ting,1P,0.18081538715305698
RVEA,greedy_ting,2P,0.15110193590920099
SPEA2,greedy_multi,HUX,0.06343856809096789
NSGA2,greedy_multi,UX,0.06334949189300465
SPEA2,greedy_multi,UX,0.06230186393675648
NSGA2,greedy_multi,HUX,0.0612627834268592
AGEMOEA2,greedy_multi,UX,0.054982293644391465
AGEMOEA2,greedy_multi,HUX,0.05414215200462903
NSGA2,greedy_multi,2P,0.05099070808763503
NSGA3,greedy_multi,HUX,0.04922963928811103
NSGA3,greedy_multi,UX,0.04766034317149979
UNSGA3,greedy_multi,UX,0.04704180941223287
UNSGA3,greedy_multi,HUX,0.04649496282017436
AGEMOEA2,greedy_multi,2P,0.045596642297504694
NSGA2,greedy_multi,1P,0.045590824031294094
SPEA2,greedy_multi,2P,0.04465756155160562
AGEMOEA2,greedy_multi,1P,0.04155148767194234
SPEA2,greedy_multi,1P,0.04154682171389364
UNSGA3,greedy_multi,2P,0.04050636744267337
UNSGA3,greedy_multi,1P,0.038707024880696946
NSGA3,greedy_multi,2P,0.03826867132556997
NSGA3,greedy_multi,1P,0.038110191011667946
SMSEMOA,greedy_multi,UX,0.037518575534391155
SMSEMOA,greedy_multi,HUX,0.037199058244203165
SMSEMOA,greedy_multi,2P,0.03582086895966207
SMSEMOA,greedy_multi,1P,0.03467786175252849
RVEA,greedy_multi,HUX,0.029669632716667095
RVEA,greedy_multi,UX,0.029494190057553816
RVEA,greedy_multi,2P,0.027140455778619055
RVEA,greedy_multi,1P,0.02591032409011624
