algorithm,init,crossover,MaxToleranceRate
SMSEMOA,greedy_ting,HUX,0.2719226257962065
SMSEMOA,greedy_ting,UX,0.2692600062440001
SPEA2,greedy_multi,HUX,0.2683484856760068
AGEMOEA2,greedy_multi,UX,0.2664124493392786
SPEA2,greedy_multi,UX,0.2656667406667407
AGEMOEA2,greedy_multi,HUX,0.26408115877930116
NSGA2,greedy_multi,UX,0.2623167531901124
NSGA2,greedy_multi,HUX,0.26108357471773075
AGEMOEA2,greedy_multi,2P,0.2596305006234888
SMSEMOA,greedy_ting,2P,0.2556100591735172
SPEA2,greedy_multi,2P,0.2549496069669591
AGEMOEA2,greedy_multi,1P,0.2530414746543779
SPEA2,greedy_multi,1P,0.2523984787142682
SMSEMOA,random_dense,UX,0.25239069398693814
NSGA2,greedy_multi,2P,0.2519454926624738
UNSGA3,greedy_multi,UX,0.2509296904645742
UNSGA3,random_dense,UX,0.250887691140978
NSGA2,greedy_multi,1P,0.2503418803418803
SMSEMOA,random_dense,HUX,0.2503243090481453
NSGA3,greedy_multi,HUX,0.25028476506881825
UNSGA3,random_dense,HUX,0.25026450936148914
UNSGA3,greedy_multi,HUX,0.24924914195774273
NSGA3,random_dense,HUX,0.2481126535507056
NSGA3,random_dense,UX,0.24745259484518028
UNSGA3,greedy_multi,2P,0.24722689075630253
AGEMOEA2,random_dense,UX,0.24707601322391573
AGEMOEA2,random_dense,HUX,0.2466772185917045
NSGA3,greedy_multi,UX,0.24615384615384617
SMSEMOA,greedy_ting,1P,0.24590838259987188
NSGA3,greedy_multi,1P,0.24376795647655722
UNSGA3,greedy_ting,HUX,0.2436009244737732
UNSGA3,greedy_ting,UX,0.24316741321006688
SMSEMOA,random_dense,2P,0.24203792572769695
RVEA,random_dense,UX,0.2419433016948545
NSGA3,greedy_ting,HUX,0.2412384319188611
NSGA3,greedy_multi,2P,0.24107527526095582
UNSGA3,greedy_multi,1P,0.24019969922408949
NSGA2,greedy_ting,HUX,0.23864265087242553
AGEMOEA2,greedy_ting,UX,0.23786400126477222
SMSEMOA,random_dense,1P,0.2377621042181443
NSGA3,greedy_ting,UX,0.2374410255549965
RVEA,random_dense,HUX,0.23654678172989868
NSGA2,greedy_ting,UX,0.23487131151515048
NSGA2,random_dense,HUX,0.2343360171506049
NSGA2,random_dense,UX,0.23397884227669863
UNSGA3,random_dense,2P,0.23271536092513254
SPEA2,random_dense,UX,0.2325924067720356
NSGA3,random_dense,2P,0.23194245139888015
AGEMOEA2,greedy_ting,HUX,0.23182882935403323
AGEMOEA2,random_dense,2P,0.23178382701237807
SPEA2,random_dense,HUX,0.23104109027738845
NSGA2,greedy_ting,2P,0.22994222506735734
NSGA3,greedy_ting,2P,0.22844395606188544
SMSEMOA,greedy_multi,2P,0.22755597167165575
SPEA2,greedy_ting,HUX,0.2273731781449789
AGEMOEA2,random_dense,1P,0.22734407863292677
UNSGA3,greedy_ting,2P,0.22673127538576857
SMSEMOA,greedy_multi,1P,0.226617842097051
SPEA2,random_dense,2P,0.2265261499722732
NSGA2,random_dense,2P,0.22650444398602892
SMSEMOA,greedy_multi,HUX,0.22593168477718564
UNSGA3,random_dense,1P,0.22460247100875383
AGEMOEA2,greedy_ting,1P,0.2244473728483951
NSGA3,random_dense,1P,0.22442630322386647
UNSGA3,greedy_ting,1P,0.22398268327922694
NSGA2,random_dense,1P,0.22367792277757165
SPEA2,greedy_ting,1P,0.22363120765880193
SPEA2,random_dense,1P,0.22358514518969433
SPEA2,greedy_ting,2P,0.2233280872385702
AGEMOEA2,greedy_ting,2P,0.22320634759648073
NSGA3,greedy_ting,1P,0.2213482239378668
SPEA2,greedy_ting,UX,0.22108537447769763
RVEA,random_dense,2P,0.2206254244451245
NSGA2,greedy_ting,1P,0.22006805532872367
SMSEMOA,greedy_multi,UX,0.2198884598884599
RVEA,random_dense,1P,0.21538262588162774
RVEA,greedy_multi,UX,0.195489417989418
RVEA,greedy_multi,1P,0.19308632543926663
RVEA,greedy_multi,HUX,0.19217678858983206
RVEA,greedy_multi,2P,0.18975573263429335
RVEA,greedy_ting,UX,0.17628758614215845
RVEA,greedy_ting,HUX,0.17166485848319563
RVEA,greedy_ting,1P,0.158990113461644
RVEA,greedy_ting,2P,0.15597629388824505
