algorithm,init,crossover,Range
NSGA2,greedy_ting,2P,2.4257741708718
NSGA2,greedy_ting,UX,2.4220801365151208
NSGA2,greedy_ting,HUX,2.4042126867940867
NSGA2,greedy_ting,1P,2.383621303378639
AGEMOEA2,greedy_ting,1P,2.229309057536014
AGEMOEA2,greedy_ting,2P,2.2253638446624526
UNSGA3,greedy_ting,2P,2.171326302070246
NSGA3,greedy_ting,2P,2.1338045860992283
SMSEMOA,greedy_ting,2P,2.1172634903792855
NSGA3,greedy_ting,1P,2.09533561391041
SMSEMOA,greedy_ting,1P,2.0822515628023615
UNSGA3,greedy_ting,1P,2.0681800603727516
UNSGA3,greedy_ting,HUX,2.062838746675913
SMSEMOA,greedy_ting,HUX,2.0024158757260926
UNSGA3,greedy_ting,UX,1.9973968019191877
SMSEMOA,greedy_ting,UX,1.989473753866362
NSGA3,greedy_ting,UX,1.9876046274509704
NSGA2,random_dense,HUX,1.9831730029372552
NSGA2,random_dense,UX,1.9747187248529698
SPEA2,greedy_ting,UX,1.9380308924405252
NSGA3,greedy_ting,HUX,1.9368968591612332
SPEA2,greedy_ting,HUX,1.890289166916244
AGEMOEA2,greedy_ting,HUX,1.855954238656087
SPEA2,greedy_ting,1P,1.831778916832882
AGEMOEA2,greedy_ting,UX,1.7867914345061213
RVEA,greedy_ting,UX,1.606548906554687
RVEA,greedy_ting,HUX,1.5960787383760702
SPEA2,greedy_ting,2P,1.5826307976531115
NSGA2,random_dense,2P,1.4949003971187225
UNSGA3,random_dense,UX,1.402988644647402
UNSGA3,random_dense,HUX,1.3694870831891905
NSGA2,random_dense,1P,1.3488374183246519
AGEMOEA2,random_dense,2P,1.3356413017900712
NSGA3,random_dense,HUX,1.3303768102594424
NSGA3,random_dense,UX,1.3172166445344615
AGEMOEA2,random_dense,HUX,1.3091823828314113
AGEMOEA2,random_dense,UX,1.3041389350882955
SPEA2,random_dense,HUX,1.280302867131534
SPEA2,random_dense,UX,1.25027301848482
AGEMOEA2,random_dense,1P,1.1981434237646318
RVEA,greedy_ting,1P,1.190003254836131
NSGA3,random_dense,2P,1.189923860593085
SPEA2,random_dense,2P,1.168951693021264
UNSGA3,random_dense,2P,1.1490144159103215
NSGA3,random_dense,1P,1.1475181727887234
SPEA2,random_dense,1P,1.136938392205883
RVEA,greedy_ting,2P,1.0492252222016192
UNSGA3,random_dense,1P,0.9983894050236005
SMSEMOA,random_dense,2P,0.9406509249906211
SMSEMOA,random_dense,1P,0.780304574442058
SMSEMOA,random_dense,UX,0.6769954083848525
SMSEMOA,random_dense,HUX,0.6431777871762997
RVEA,random_dense,1P,0.5938810204263676
RVEA,random_dense,UX,0.5785199547719909
RVEA,random_dense,2P,0.5574169362732814
RVEA,random_dense,HUX,0.495658264816598
NSGA2,greedy_multi,UX,0.3452840511909021
NSGA2,greedy_multi,HUX,0.3351898462152544
SPEA2,greedy_multi,HUX,0.3346763689592348
SPEA2,greedy_multi,UX,0.32027797249429374
AGEMOEA2,greedy_multi,UX,0.2992866852179154
AGEMOEA2,greedy_multi,HUX,0.2897192390095088
NSGA2,greedy_multi,2P,0.2736325443508707
NSGA3,greedy_multi,HUX,0.2637363881854022
NSGA3,greedy_multi,UX,0.2520435817812345
UNSGA3,greedy_multi,HUX,0.24547410147009652
UNSGA3,greedy_multi,UX,0.24340197103542893
NSGA2,greedy_multi,1P,0.24098605472074977
AGEMOEA2,greedy_multi,2P,0.23987330419715427
SPEA2,greedy_multi,2P,0.21590918603665216
AGEMOEA2,greedy_multi,1P,0.2132276122315567
UNSGA3,greedy_multi,2P,0.20673931037959234
SPEA2,greedy_multi,1P,0.20464031144027556
UNSGA3,greedy_multi,1P,0.19369326477776933
NSGA3,greedy_multi,2P,0.1901511680260894
SMSEMOA,greedy_multi,UX,0.1881427007458833
NSGA3,greedy_multi,1P,0.1874288857951927
SMSEMOA,greedy_multi,HUX,0.18594249836608903
SMSEMOA,greedy_multi,2P,0.17432184427156525
SMSEMOA,greedy_multi,1P,0.1656527461372954
RVEA,greedy_multi,HUX,0.13479383795485123
RVEA,greedy_multi,UX,0.1335567352610178
RVEA,greedy_multi,2P,0.11490471952435588
RVEA,greedy_multi,1P,0.10239410049691408
