algorithm,init,crossover,SumMin
NSGA2,greedy_ting,UX,0.5287084425625187
NSGA2,greedy_ting,HUX,0.5378323053076552
NSGA2,greedy_ting,2P,0.5761807339058986
NSGA2,greedy_ting,1P,0.601829604029892
NSGA2,random_dense,HUX,0.6193256083285299
NSGA2,random_dense,UX,0.6227782425304498
AGEMOEA2,greedy_ting,2P,0.6733822166221424
AGEMOEA2,greedy_ting,1P,0.681402559864001
UNSGA3,greedy_ting,2P,0.6901469037576107
NSGA3,greedy_ting,2P,0.7127131446699743
UNSGA3,greedy_ting,HUX,0.71808356020556
SMSEMOA,greedy_ting,2P,0.7252990569116016
NSGA3,greedy_ting,1P,0.7285052534211517
UNSGA3,greedy_ting,1P,0.735122415473515
UNSGA3,greedy_ting,UX,0.7485455989477657
NSGA3,greedy_ting,UX,0.749938880064057
SMSEMOA,greedy_ting,1P,0.7537251019741331
NSGA3,greedy_ting,HUX,0.7762202424355749
SMSEMOA,greedy_ting,HUX,0.7836433387422594
SMSEMOA,greedy_ting,UX,0.7941062258562093
SPEA2,greedy_ting,UX,0.8157590573239272
AGEMOEA2,greedy_ting,HUX,0.8263949505924104
SPEA2,greedy_ting,HUX,0.8344819808403082
AGEMOEA2,greedy_ting,UX,0.8451413564574143
SPEA2,greedy_ting,1P,0.8634073449315428
UNSGA3,random_dense,UX,0.8691380988105856
NSGA2,random_dense,2P,0.8818178487596914
UNSGA3,random_dense,HUX,0.886914733938613
NSGA3,random_dense,HUX,0.8913407076125319
NSGA3,random_dense,UX,0.9018689734395358
AGEMOEA2,random_dense,HUX,0.9098883283775854
AGEMOEA2,random_dense,UX,0.9306214323770453
NSGA2,random_dense,1P,0.9567869276466018
AGEMOEA2,random_dense,2P,0.9797061894967649
SPEA2,greedy_ting,2P,0.9816250922265566
SPEA2,random_dense,HUX,0.9927188130545244
NSGA3,random_dense,2P,1.0149440974393151
UNSGA3,random_dense,2P,1.0275664479029358
SPEA2,random_dense,UX,1.032281929424459
AGEMOEA2,random_dense,1P,1.0412249324082716
NSGA3,random_dense,1P,1.0681176221225377
SMSEMOA,random_dense,2P,1.0696474782311287
SPEA2,random_dense,2P,1.0712757082683022
SPEA2,random_dense,1P,1.0770881806168617
RVEA,greedy_ting,UX,1.0959604187311605
RVEA,greedy_ting,HUX,1.1061970724956232
UNSGA3,random_dense,1P,1.109073565846473
SMSEMOA,random_dense,HUX,1.128339859226126
SMSEMOA,random_dense,UX,1.1285000502038112
SMSEMOA,random_dense,1P,1.1682292684898052
RVEA,greedy_ting,1P,1.3089092708588288
RVEA,random_dense,UX,1.324332439500394
RVEA,random_dense,1P,1.3743947118465478
RVEA,random_dense,2P,1.3775612272129218
RVEA,random_dense,HUX,1.3850005717313514
RVEA,greedy_ting,2P,1.406429689553509
NSGA2,greedy_multi,UX,1.7406965955975242
SPEA2,greedy_multi,HUX,1.7443900637886316
NSGA2,greedy_multi,HUX,1.7488500767636794
SPEA2,greedy_multi,UX,1.7532134303059224
AGEMOEA2,greedy_multi,UX,1.7743281655370908
AGEMOEA2,greedy_multi,HUX,1.778151872974039
NSGA2,greedy_multi,2P,1.7909881441339142
NSGA3,greedy_multi,HUX,1.798382524670668
NSGA3,greedy_multi,UX,1.8050121941262098
UNSGA3,greedy_multi,UX,1.8095096442536707
UNSGA3,greedy_multi,HUX,1.8106909461537302
AGEMOEA2,greedy_multi,2P,1.8147557309806668
NSGA2,greedy_multi,1P,1.814841803174475
SPEA2,greedy_multi,2P,1.8259027426275103
AGEMOEA2,greedy_multi,1P,1.8331264073903786
SPEA2,greedy_multi,1P,1.8363366620902148
UNSGA3,greedy_multi,2P,1.8379401180952595
UNSGA3,greedy_multi,1P,1.8465051037899083
NSGA3,greedy_multi,2P,1.84852352247299
NSGA3,greedy_multi,1P,1.8493572825458748
SMSEMOA,greedy_multi,UX,1.852024838032511
SMSEMOA,greedy_multi,HUX,1.8533082324305545
SMSEMOA,greedy_multi,2P,1.8606125133572324
SMSEMOA,greedy_multi,1P,1.8664061981829483
RVEA,greedy_multi,HUX,1.8928554821972046
RVEA,greedy_multi,UX,1.8935513520301508
RVEA,greedy_multi,2P,1.906355034101906
RVEA,greedy_multi,1P,1.913718515395578
