Compacidad,Tolerancia,Hamming,Balance
18.0,1.0,8.316489361702128,5.267742285347816
51.0,7.0,23.5354609929078,22.160090035712486
28.0,4.0,13.081560283687944,9.635191891755928
83.0,16.0,37.22783687943262,67.19365773225701
369.0,80.0,126.11524822695036,304.28104408732
273.0,60.0,91.11170212765957,134.6329127055984
170.0,35.0,56.15691489361702,58.31846282254418
387.0,60.0,137.57890070921985,405.67994489085027
160.0,6.0,62.6072695035461,105.2154436082189
342.0,42.0,127.89007092198581,438.64749006589113
253.0,37.0,103.41400709219859,467.81530025526916
35.0,3.0,16.157801418439718,13.233963960565179
160.0,16.0,67.81826241134752,225.27104946305502
104.0,6.0,40.65070921985816,48.40636474523412
338.0,55.0,115.76329787234043,246.69485862758404
309.0,39.0,119.28191489361703,404.0020842764443
139.0,18.0,62.4813829787234,250.91277397389487
424.0,86.0,148.5718085106383,495.6473258073037
293.0,63.0,98.64716312056737,160.98543521452672
322.0,69.0,119.69237588652483,378.3300127948797
210.0,44.0,86.10549645390071,318.6120974485686
350.0,74.0,118.6436170212766,265.1744096121924
279.0,35.0,96.4813829787234,169.79929879658948
65.0,9.0,28.98581560283688,57.18419596599759
279.0,60.0,109.43705673758865,415.23894594713573
381.0,75.0,141.97606382978722,584.6900298966345
260.0,55.0,86.61879432624113,123.75539145415362
380.0,67.0,131.71897163120568,345.34566844600306
360.0,59.0,124.71187943262412,302.71219930461274
414.0,82.0,149.6781914893617,569.8529995661686
119.0,24.0,40.0,34.312056737588655
296.0,48.0,116.77304964539007,439.8669332528545
385.0,81.0,132.4078014184397,356.83724410240944
85.0,14.0,28.74113475177305,21.77341431517519
213.0,15.0,81.85549645390071,168.5987995762283
184.0,23.0,79.3563829787234,294.2524237965896
204.0,42.0,68.27216312056737,72.32929603012924
82.0,9.0,37.901595744680854,105.73765702806745
340.0,67.0,116.24379432624113,236.1524437591157
320.0,37.0,117.03900709219859,310.3211734822195
261.0,28.0,97.36170212765957,218.68477440772557
179.0,28.0,60.64716312056738,65.49252741310798
229.0,27.0,92.38475177304964,286.5079944419294
183.0,39.0,60.84219858156028,62.48928310950148
283.0,64.0,107.27127659574468,302.1710898596647
108.0,14.0,47.694148936170215,155.68925654519387
172.0,15.0,59.75443262411348,74.6586682951061
322.0,68.0,108.50975177304964,209.8314651866107
389.0,70.0,144.06205673758865,520.7940213017455
258.0,48.0,85.51773049645391,117.61138775715482
214.0,33.0,91.35372340425532,382.6062627320053
184.0,38.0,74.38475177304964,198.3732426688797
299.0,43.0,101.99734042553192,180.2792482458126
257.0,32.0,100.65780141843972,311.51410580453796
402.0,72.0,141.3537234042553,448.31193649087095
147.0,31.0,49.13652482269504,45.49909146924176
268.0,56.0,100.17021276595744,291.4639354157231
216.0,46.0,72.05939716312056,80.58778403375102
86.0,5.0,35.444148936170215,40.25751895654127
120.0,19.0,53.183510638297875,173.3998344839295
157.0,12.0,58.290780141843975,79.98636889492494
116.0,24.0,48.236702127659576,90.77996501056272
280.0,48.0,112.64716312056737,523.6840167748105
250.0,36.0,100.88386524822695,365.3030020811331
167.0,36.0,67.96719858156028,179.6611581095023
302.0,54.0,107.87765957446808,254.59141579900415
155.0,32.0,61.255319148936174,132.66885468537805
401.0,83.0,139.12765957446808,412.6539157990053
214.0,37.0,72.40868794326241,93.73988905864876
116.0,6.0,48.0363475177305,83.29566467355772
168.0,36.0,61.388297872340424,103.7251112871588
257.0,55.0,89.76950354609929,170.73055932800168
353.0,76.0,131.3005319148936,457.27581531990353
308.0,58.0,105.50265957446808,208.56736881318858
76.0,9.0,31.715425531914892,31.05288262034092
67.0,12.0,23.46099290780142,17.347769226900134
270.0,49.0,93.93085106382979,154.63706239625728
182.0,29.0,71.84485815602837,157.6417111500933
235.0,51.0,86.12765957446808,188.0688094160253
101.0,9.0,38.722517730496456,38.88488302273515
242.0,53.0,81.63741134751773,111.95274932724575
218.0,40.0,85.73226950354609,243.46378137417656
163.0,25.0,69.92109929078015,264.85104418163064
296.0,51.0,100.14804964539007,169.93109548689736
299.0,57.0,118.81737588652483,517.1971448870781
389.0,77.0,141.01329787234042,484.67092245737075
351.0,56.0,131.3909574468085,474.5040671684019
240.0,48.0,98.0709219858156,365.85312610029695
327.0,67.0,123.99379432624113,471.65510333358367
156.0,22.0,55.59308510638298,67.58530679417532
74.0,8.0,33.5177304964539,80.48018208339613
146.0,17.0,53.555851063829785,70.64936292817255
223.0,43.0,92.9813829787234,386.0785541157391
206.0,24.0,77.30673758865248,154.9768340375233
168.0,26.0,69.20035460992908,193.19390058347167
220.0,49.0,75.46099290780141,107.93642170916964
347.0,62.0,126.11613475177305,366.4253425066651
247.0,32.0,85.99379432624113,132.84659269528822
194.0,20.0,78.48226950354609,201.4589054876514
150.0,22.0,58.7677304964539,104.25810761531092
205.0,27.0,83.62145390070921,251.76007164503807
335.0,58.0,119.51595744680851,309.9394616719484
363.0,54.0,132.9290780141844,430.7290126251198
236.0,43.0,93.44858156028369,293.1392001156881
216.0,47.0,83.42641843971631,217.18430206604313
314.0,67.0,112.22695035460993,290.0016850259045
282.0,62.0,102.26418439716312,249.94793710074933
361.0,50.0,129.75886524822695,357.20071927971446
270.0,56.0,105.20301418439716,357.09442353880524
113.0,19.0,48.17198581560284,127.31439251043713
326.0,64.0,114.97429078014184,259.22008371686553
104.0,19.0,35.06117021276596,27.592889410743954
206.0,33.0,76.23847517730496,150.61600193023486
105.0,10.0,45.61081560283688,120.68098231351551
230.0,45.0,89.00354609929079,244.51417182234303
145.0,28.0,54.44237588652482,91.03036740480842
299.0,42.0,108.55053191489361,242.35914865323684
179.0,34.0,75.70567375886525,298.5764926311554
150.0,29.0,63.441489361702125,205.37955522861031
95.0,14.0,40.8563829787234,83.47228195261864
344.0,67.0,131.70656028368793,570.2250633456568
307.0,65.0,104.31560283687944,182.90394094864533
287.0,52.0,107.68528368794327,311.11637917484
302.0,63.0,115.31737588652483,375.9134569438154
