Compacidad,Tolerancia,Hamming,Balance
296.0,58.0,103.73049645390071,208.22524017906554
397.0,78.0,134.84663120567376,356.2397758852672
475.0,95.0,173.51861702127658,800.9446888675122
308.0,61.0,107.29078014184397,222.68495045520828
309.0,61.0,122.58156028368795,517.1688798350182
481.0,95.0,171.1072695035461,739.953918785523
362.0,56.0,140.86968085106383,577.0370949336053
271.0,39.0,102.85904255319149,281.14059199109676
384.0,79.0,131.99113475177305,329.93609162013934
315.0,66.0,111.14893617021276,229.13030028670576
393.0,85.0,143.5159574468085,489.3933623811669
434.0,86.0,148.67375886524823,471.21980785674674
304.0,40.0,119.41755319148936,428.4222805379507
346.0,78.0,130.12943262411346,423.0009776922682
469.0,88.0,163.24113475177305,622.6546199889341
352.0,74.0,123.00088652482269,281.70655949776204
370.0,78.0,132.81471631205673,382.6509536429251
258.0,54.0,94.17996453900709,197.21140709094138
397.0,63.0,148.29964539007094,559.9066665409226
380.0,79.0,146.7287234042553,624.6143522710123
364.0,76.0,141.63209219858157,659.0836154808628
333.0,71.0,130.89804964539007,524.2954571890244
417.0,83.0,145.17198581560282,450.1370875458986
371.0,60.0,142.81382978723406,578.7951278859226
245.0,49.0,94.32003546099291,252.47115886399172
274.0,50.0,109.177304964539,402.50402394245805
326.0,65.0,129.51063829787233,563.1896031386751
436.0,90.0,157.06028368794327,664.7516850259034
283.0,53.0,112.58244680851064,431.48256422589407
331.0,45.0,125.2145390070922,380.00716450379764
262.0,51.0,103.03280141843972,308.31186732936055
349.0,76.0,126.97429078014184,374.20589931970216
351.0,76.0,135.34397163120568,507.82849202756427
452.0,88.0,155.59308510638297,532.6775053757348
400.0,84.0,138.8368794326241,381.1967959358178
290.0,54.0,116.35904255319149,465.67871255847365
308.0,44.0,115.52748226950355,331.07016671067856
390.0,61.0,145.63741134751774,523.3499124478158
385.0,78.0,139.8581560283688,459.8734973089883
413.0,73.0,148.53546099290782,523.3338489009606
386.0,61.0,142.44326241134752,482.7325964488709
354.0,59.0,138.3581560283688,579.5667597203367
392.0,81.0,146.38741134751774,590.0015081924963
404.0,87.0,149.5363475177305,558.872792333132
320.0,44.0,122.29964539007092,369.93858143453616
382.0,80.0,135.15602836879432,391.454378552387
413.0,66.0,151.63209219858157,566.5552466865345
316.0,70.0,114.37854609929079,292.54730568759084
345.0,47.0,133.72163120567376,500.2274753533518
324.0,49.0,117.67553191489361,298.192592802173
276.0,48.0,103.77836879432624,265.96861010512526
408.0,85.0,141.604609929078,418.3968581811783
404.0,82.0,146.13652482269504,502.35015529903046
305.0,48.0,120.47960992907801,498.2265345996179
314.0,65.0,124.88563829787235,529.6722050890306
442.0,82.0,152.3040780141844,499.04494790880744
309.0,67.0,110.51063829787235,259.72151803229235
341.0,49.0,129.50443262411346,430.7322498553901
