Compacidad,Tolerancia,Hamming,Balance
518.0,113.0,198.48492907801418,1009.1327515907137
516.0,113.0,198.30230496453902,1012.9290017793378
194.0,37.0,75.6622340425532,115.87438933529516
192.0,36.0,75.31648936170212,116.98937349102162
456.0,100.0,178.68705673758865,788.6760026847254
369.0,84.0,144.76152482269504,490.8057182422911
478.0,106.0,187.34929078014184,866.3496271565829
259.0,53.0,102.52304964539007,212.53138360746374
268.0,58.0,104.90602836879432,226.95570833962023
349.0,77.0,139.67375886524823,451.91484331774
274.0,61.0,109.11524822695036,247.95480295256763
263.0,57.0,104.70124113475177,222.30879278582535
227.0,45.0,90.08244680851064,166.76536564433377
199.0,38.0,78.30762411347517,127.51440995800007
513.0,112.0,197.4086879432624,1001.0891798387906
250.0,49.0,98.14007092198581,196.1328624063184
450.0,100.0,176.53191489361703,743.1035913686428
201.0,39.0,79.63741134751773,130.42083443362822
479.0,108.0,186.33599290780143,854.9961513190982
294.0,63.0,116.73581560283688,303.55077398018176
462.0,106.0,180.06205673758865,771.7514681102571
447.0,99.0,175.22163120567376,722.929603012927
222.0,44.0,88.90248226950355,163.65715695890532
196.0,41.0,76.85549645390071,120.39489886700862
270.0,57.0,107.15602836879432,237.76288919068466
486.0,109.0,189.1258865248227,884.4345071927974
312.0,72.0,123.84397163120568,346.071399828983
248.0,51.0,98.96010638297872,205.18369218726394
197.0,38.0,77.61436170212765,125.2688362947035
217.0,46.0,86.66666666666667,155.62293144208067
491.0,111.0,190.8945035460993,900.0855017038876
367.0,83.0,145.38563829787233,476.6606802663342
464.0,105.0,181.83421985815602,791.2553183630089
204.0,39.0,80.87234042553192,132.54044062169922
441.0,99.0,173.6578014184397,714.326162542127
228.0,46.0,91.24734042553192,177.24821987701816
290.0,62.0,114.44946808510639,267.5772337596205
213.0,41.0,84.28280141843972,144.83403044992713
452.0,102.0,177.13209219858157,765.9657076794425
422.0,94.0,166.69326241134752,678.7995290729841
389.0,87.0,152.1622340425532,510.82385742040236
428.0,97.0,169.40514184397162,690.5814274621495
397.0,90.0,156.45124113475177,556.9408849844074
499.0,111.0,193.104609929078,946.6805461244408
449.0,98.0,176.82978723404256,734.453297117851
420.0,93.0,164.020390070922,617.5447970109656
