Compacidad,Tolerancia,Hamming,Balance
355.0,89.0,140.16400709219857,429.34810167370847
280.0,53.0,108.06737588652483,226.10893566722038
280.0,65.0,104.49911347517731,203.8244672991802
392.0,88.0,162.67641843971631,734.9422807894476
345.0,77.0,144.38563829787233,566.6057157273269
373.0,79.0,146.25709219858157,468.05801707660623
251.0,43.0,104.24734042553192,246.25353902595435
263.0,52.0,110.5,281.218085106383
447.0,104.0,176.1755319148936,766.7741530858611
391.0,78.0,158.69414893617022,638.2513132827826
319.0,70.0,118.72695035460993,258.0708339620743
414.0,91.0,163.95390070921985,633.0262436497158
280.0,69.0,115.06648936170212,306.8439834200995
356.0,81.0,132.92021276595744,346.2347687490575
248.0,55.0,100.16755319148936,203.42494011241908
425.0,99.0,163.47606382978722,573.7246043647201
445.0,101.0,179.19326241134752,877.5761248176658
356.0,71.0,137.5177304964539,392.87379910467234
326.0,78.0,134.63209219858157,466.7804239915001
316.0,78.0,123.38031914893617,306.00872613927856
409.0,82.0,157.37056737588654,529.2492046426238
434.0,95.0,173.99379432624113,821.9104224825205
400.0,93.0,149.21897163120568,452.0096755382018
305.0,67.0,128.15514184397162,427.9395834905184
367.0,89.0,149.62234042553192,569.4105647351746
331.0,65.0,128.56382978723406,344.0402519993965
417.0,99.0,168.8758865248227,766.6512625119468
333.0,65.0,138.86347517730496,481.5132758664052
293.0,51.0,118.75797872340425,303.5380569073484
