Compacidad,Tolerancia,Hamming,Balance
18.0,3.0,8.474290780141844,4.125225560836966
49.0,11.0,24.71808510638298,28.243219028217943
45.0,6.0,22.617021276595743,17.307228006639487
23.0,5.0,11.625,6.22728280141844
34.0,9.0,17.06028368794326,10.641755947889923
55.0,15.0,27.423758865248228,25.72822984256333
41.0,6.0,20.78191489361702,23.349602006941236
27.0,6.0,13.59663120567376,7.233570211508451
49.0,13.0,24.43617021276596,19.86294703485742
31.0,7.0,15.61258865248227,8.607891171218736
27.0,2.0,13.711879432624114,12.217518453548621
48.0,7.0,24.30141843971631,25.451700115688364
34.0,8.0,17.138297872340427,10.78229213822232
25.0,5.0,12.61436170212766,6.5472050890297515
57.0,13.0,28.71985815602837,34.77967657562499
47.0,5.0,23.78191489361702,22.863786404104374
45.0,4.0,22.70567375886525,19.218336602786636
61.0,15.0,30.629432624113477,36.352041522056304
56.0,11.0,28.31205673758865,34.75013832302188
54.0,11.0,27.18262411347518,30.917003043106494
60.0,14.0,30.1072695035461,36.34576275715511
34.0,1.0,17.215425531914892,12.42610957069566
41.0,8.0,20.745567375886523,21.38295907524776
43.0,11.0,21.48581560283688,15.079586036919642
18.0,2.0,8.48581560283688,4.370366178763645
32.0,0.0,16.220744680851062,13.641874622755415
53.0,13.0,26.625,26.158133865248228
24.0,2.0,12.11081560283688,6.7421525262813775
23.0,0.0,11.673758865248226,7.496403601428475
52.0,8.0,26.335106382978722,30.35933491776074
59.0,11.0,29.729609929078013,35.68132183366033
61.0,12.0,30.67287234042553,33.95415770710725
29.0,6.0,14.625886524822695,8.579897263719115
46.0,6.0,23.281028368794328,21.29779610557817
64.0,16.0,31.78014184397163,30.824002816759783
31.0,5.0,15.727836879432624,14.30092723580308
64.0,16.0,31.90159574468085,34.769571921683834
54.0,14.0,26.789893617021278,22.40355034329257
26.0,3.0,13.073581560283689,6.704692136964961
47.0,10.0,23.729609929078013,24.42954878401501
43.0,8.0,21.745567375886523,23.710973259644913
65.0,16.0,32.406028368794324,37.75358068004631
53.0,9.0,26.82003546099291,33.245095034203594
45.0,8.0,22.52127659574468,17.004866455409655
67.0,14.0,33.49024822695036,39.97685525753237
48.0,6.0,24.3031914893617,23.96126641014028
29.0,1.0,14.705673758865249,9.877911070871704
50.0,6.0,25.238475177304963,24.373094128816284
53.0,12.0,26.69326241134752,27.859812760927564
44.0,7.0,22.249113475177303,18.49024744102404
41.0,5.0,20.77304964539007,22.629344600372345
36.0,4.0,18.25354609929078,14.84351579397415
53.0,12.0,26.694148936170212,29.691029594839254
51.0,6.0,25.820921985815602,32.04949134852368
40.0,6.0,20.22340425531915,15.12384940395361
53.0,11.0,26.699468085106382,29.364467802172886
48.0,10.0,23.835106382978722,18.050824279462798
39.0,6.0,19.3927304964539,13.009769849353638
27.0,2.0,13.682624113475176,8.661683894170318
59.0,12.0,29.54964539007092,29.19788994517376
37.0,7.0,18.604609929078013,11.648631230823375
26.0,2.0,13.202127659574469,10.359853629093069
20.0,3.0,10.059397163120567,5.119698927367832
57.0,13.0,28.704787234042552,30.99529623132627
54.0,14.0,26.8927304964539,24.19505353729686
40.0,7.0,20.27304964539007,20.15948644434372
27.0,0.0,13.685283687943262,9.236946550726834
61.0,16.0,30.289893617021278,28.500181548966363
52.0,10.0,26.23404255319149,26.888486494643132
50.0,7.0,25.320921985815602,27.592044540013095
33.0,7.0,16.546985815602838,9.9162320494442
36.0,8.0,18.10549645390071,11.452522980483755
39.0,4.0,19.69148936170213,14.372906292440023
15.0,2.0,7.513297872340425,3.7161352233287586
51.0,9.0,25.81737588652482,26.434733539560344
59.0,13.0,29.60195035460993,31.376130947890037
36.0,7.0,18.17109929078014,14.746434252552994
49.0,8.0,24.539893617021278,20.84592622981747
22.0,3.0,11.083333333333334,6.0852541371158075
44.0,8.0,21.796985815602838,15.798324248025727
52.0,11.0,25.88386524822695,20.872151017303057
36.0,6.0,18.22695035460993,16.296011267038963
41.0,4.0,20.788120567375888,18.963085829435098
41.0,6.0,20.722517730496453,16.555095788692725
42.0,10.0,21.046985815602838,15.956125666465445
41.0,8.0,20.63563829787234,16.853942677682173
56.0,11.0,28.24822695035461,31.38873799104675
18.0,0.0,9.141843971631205,4.660731351541682
52.0,14.0,25.731382978723403,20.632632129923074
49.0,9.0,24.675531914893618,22.54011053266946
55.0,13.0,27.24468085106383,21.855024898143945
61.0,13.0,30.5531914893617,29.913837332126242
31.0,2.0,15.718971631205674,13.771200360897296
59.0,12.0,29.66932624113475,35.545796709169586
39.0,10.0,19.44503546099291,13.507617197324116
55.0,11.0,27.699468085106382,27.575460709974283
33.0,6.0,16.61613475177305,11.399633286806516
42.0,8.0,21.18439716312057,19.512096977013265
25.0,4.0,12.64627659574468,6.900588973140201
62.0,14.0,31.038120567375888,32.20156100674011
47.0,9.0,23.539893617021278,17.755500697902576
58.0,12.0,29.23758865248227,33.02156581660875
54.0,12.0,27.21985815602837,31.59350636285903
28.0,5.0,13.952127659574469,7.5792685227101355
51.0,12.0,25.36258865248227,20.70274932724709
48.0,12.0,24.03014184397163,18.449446079171
45.0,11.0,22.62322695035461,18.500772565514833
57.0,12.0,28.37854609929078,25.196241857803898
