Compacidad,Tolerancia,Hamming,Balance
330.0,59.0,131.4131205673759,586.2158562195068
292.0,60.0,115.00531914893617,356.26238305417235
366.0,45.0,141.2845744680851,534.3915351026109
395.0,88.0,150.1462765957447,580.1656598951249
396.0,62.0,147.9078014184397,498.94185403148634
305.0,62.0,120.19503546099291,410.33430159448665
289.0,45.0,111.17021276595744,310.5490417987028
380.0,59.0,149.10638297872342,651.7901011015542
348.0,43.0,134.39361702127658,486.48336351290106
323.0,54.0,129.50620567375887,547.3013799293308
405.0,69.0,150.25265957446808,523.8501702316287
400.0,84.0,151.59929078014184,573.5734746743124
364.0,67.0,144.27304964539007,634.453812685479
334.0,72.0,124.40514184397163,358.71086008626287
386.0,71.0,147.50620567375887,518.8368409222385
328.0,58.0,131.2464539007092,550.5314590563855
334.0,55.0,122.71631205673759,327.63228710829384
377.0,84.0,144.68971631205673,569.6803197776773
372.0,66.0,143.6968085106383,550.7626848498561
398.0,58.0,151.82358156028369,584.6098339809367
308.0,61.0,120.61436170212765,376.40890721668893
373.0,51.0,142.42109929078015,484.95654063553087
335.0,72.0,126.66666666666667,407.7789598108729
395.0,77.0,152.38563829787233,607.9922405500224
388.0,82.0,147.4618794326241,552.6350716450391
304.0,57.0,118.85017730496453,377.25148933026793
386.0,79.0,147.49202127659575,591.2694398860708
346.0,69.0,136.0381205673759,607.45156100674
361.0,51.0,139.3040780141844,519.3268628024246
431.0,76.0,163.36436170212767,667.2298292025038
353.0,73.0,138.60017730496455,576.4651418125369
339.0,72.0,130.98936170212767,466.3615889542778
396.0,69.0,147.58599290780143,502.31707330491423
358.0,71.0,139.11081560283688,515.786478767416
330.0,62.0,130.61258865248226,515.4394514549078
383.0,64.0,151.45656028368793,690.4803824945931
331.0,63.0,128.31826241134752,406.4581062006431
400.0,84.0,158.90691489361703,752.7404486381449
396.0,66.0,149.62677304964538,519.2037867499135
319.0,41.0,123.72960992907801,403.0820310535187
399.0,68.0,154.1258865248227,649.6508192495352
