Compacidad,Tolerancia,Hamming,Balance,init_cross
7.0,0.0,0.4830293819655522,0.032278216100081,greedy_multi+HUX
7.0,0.0,0.5067122593718338,0.0327020869838802,greedy_multi+HUX
8.0,0.0,0.4447030141843971,0.0251309623313406,greedy_multi+HUX
10.0,1.0,0.5079787234042553,0.0250072619586539,greedy_multi+HUX
10.0,1.0,0.5036347517730497,0.0226552282958601,greedy_multi+HUX
8.0,0.0,0.5082003546099291,0.0281907329076757,greedy_multi+HUX
9.0,0.0,0.4826635145784082,0.0245878098140727,greedy_multi+HUX
11.0,0.0,0.5099129593810445,0.0371211224866466,greedy_multi+HUX
39.0,10.0,0.498590652845972,0.008552016566288,greedy_multi+HUX
31.0,8.0,0.496282315259666,0.0083182206501209,greedy_multi+HUX
31.0,6.0,0.5080931137039579,0.0122222337044331,greedy_multi+HUX
41.0,10.0,0.4988972496107939,0.0084094310994259,greedy_multi+HUX
28.0,7.0,0.4994934143870314,0.008390067585809,greedy_multi+HUX
9.0,0.0,0.4649330181245075,0.0236148913193997,greedy_multi+HUX
39.0,9.0,0.5051372976904892,0.009436867226533,greedy_multi+HUX
23.0,5.0,0.5000385445575085,0.0102059270024319,greedy_multi+HUX
34.0,6.0,0.4967407175636212,0.007585422379725,greedy_multi+HUX
19.0,2.0,0.5092385218365061,0.0192266475139267,greedy_multi+HUX
36.0,8.0,0.5069936958234831,0.0104416319539531,greedy_multi+HUX
44.0,11.0,0.458917633784655,0.0062025848575626,greedy_multi+HUX
35.0,9.0,0.496580547112462,0.007956175340213,greedy_multi+HUX
23.0,4.0,0.5089808818994758,0.0160376722001579,greedy_multi+HUX
31.0,6.0,0.4394589338824067,0.0065192059965431,greedy_multi+HUX
19.0,0.0,0.456933557297499,0.0102619393389281,greedy_multi+HUX
37.0,8.0,0.5048639064596511,0.0087276181289997,greedy_multi+HUX
24.0,2.0,0.5066489361702128,0.0099291959031235,greedy_multi+HUX
30.0,5.0,0.5067966903073287,0.0092248845910947,greedy_multi+HUX
10.0,0.0,0.438209219858156,0.0200914739575472,greedy_multi+HUX
10.0,0.0,0.4958333333333333,0.0220482417257683,greedy_multi+HUX
27.0,6.0,0.5009521933280798,0.0105717226948215,greedy_multi+HUX
42.0,11.0,0.4855623100303952,0.0073280192314338,greedy_multi+HUX
35.0,8.0,0.446225937183384,0.0060720207428074,greedy_multi+HUX
26.0,5.0,0.5081833060556465,0.0137921967064983,greedy_multi+HUX
12.0,0.0,0.4719267139479906,0.017681157749722,greedy_multi+HUX
11.0,0.0,0.4867021276595745,0.0195172056276163,greedy_multi+HUX
31.0,5.0,0.476063829787234,0.0069768195359161,greedy_multi+HUX
12.0,1.0,0.4669769503546099,0.0181852366633553,greedy_multi+HUX
24.0,5.0,0.4797946217494089,0.0089356527567324,greedy_multi+HUX
20.0,4.0,0.4974734042553191,0.0107449461011769,greedy_multi+HUX
43.0,11.0,0.4745587992742867,0.0067345387995294,greedy_multi+HUX
21.0,3.0,0.50903411009794,0.0170538442394378,greedy_multi+HUX
36.0,7.0,0.5002708825847124,0.0078821994095967,greedy_multi+HUX
33.0,7.0,0.4428057167418869,0.0062974207265553,greedy_multi+HUX
35.0,6.0,0.4462006079027356,0.0059911370614338,greedy_multi+HUX
