Compacidad,Tolerancia,Hamming,Balance,init_cross
248.0,59.0,0.3777131949210707,0.0031361376296003,random_dense+2P
305.0,62.0,0.3295169166376003,0.001921183316668,random_dense+2P
386.0,89.0,0.3717249108881784,0.0032050563702698,random_dense+2P
363.0,80.0,0.3692436941953383,0.0030161757228941,random_dense+2P
351.0,76.0,0.3353463255945526,0.0021792637616023,random_dense+2P
290.0,66.0,0.4016202005380288,0.0042016319559763,random_dense+2P
307.0,70.0,0.3988582022316169,0.0041769835705393,random_dense+2P
246.0,52.0,0.3747189067635357,0.0026497755587845,random_dense+2P
248.0,59.0,0.3783816632349577,0.0031432343377506,random_dense+2P
344.0,79.0,0.3880891266699653,0.0035938955767409,random_dense+2P
283.0,57.0,0.3756327845024184,0.0026107779257935,random_dense+2P
324.0,73.0,0.3671416688556168,0.0025497351339617,random_dense+2P
255.0,54.0,0.3709289389514671,0.0026412029990593,random_dense+2P
298.0,61.0,0.3861351087629111,0.0030959460945541,random_dense+2P
262.0,53.0,0.3757917817118726,0.0025848229472206,random_dense+2P
331.0,73.0,0.3939678815538557,0.0036998679255024,random_dense+2P
289.0,65.0,0.3873868070382095,0.0031493406014435,random_dense+2P
272.0,64.0,0.3801952962035878,0.0032216028045694,random_dense+2P
292.0,59.0,0.3414547508015156,0.0020437222570979,random_dense+2P
255.0,52.0,0.3724899179529968,0.0025156274290892,random_dense+2P
267.0,52.0,0.3674761601190002,0.0024075883006469,random_dense+2P
277.0,59.0,0.3433475433341014,0.0022041286274054,random_dense+2P
257.0,57.0,0.3961110191240996,0.0036023400379093,random_dense+2P
281.0,57.0,0.3586828954342394,0.0022216192910392,random_dense+2P
310.0,67.0,0.3543325326012354,0.0022444412408748,random_dense+2P
315.0,67.0,0.3340622537431048,0.0020504435172977,random_dense+2P
285.0,58.0,0.339227945750902,0.0019990162515752,random_dense+2P
300.0,60.0,0.3338800236406619,0.0019448449437346,random_dense+2P
251.0,54.0,0.3585198214235257,0.0022917970425284,random_dense+2P
