Compacidad,Tolerancia,Hamming,Balance,init_cross
374.0,75.0,0.343511776083741,0.0023835397200822,random_dense+1P
322.0,75.0,0.3877692612660235,0.0037940090739079,random_dense+1P
307.0,63.0,0.3421350520941622,0.0023624851519417,random_dense+1P
235.0,41.0,0.359148181681002,0.0027526765097736,random_dense+1P
291.0,62.0,0.3923375009139431,0.0035473065661791,random_dense+1P
296.0,68.0,0.3870639256277554,0.0036285060130328,random_dense+1P
335.0,77.0,0.3844236265481105,0.0033219923806169,random_dense+1P
326.0,69.0,0.3643671409302528,0.0026194943289818,random_dense+1P
268.0,57.0,0.3631873875304329,0.0029804311730866,random_dense+1P
243.0,44.0,0.3446319645098211,0.0027042989816018,random_dense+1P
327.0,76.0,0.3785054330145097,0.003313866161885,random_dense+1P
288.0,61.0,0.3852873817966903,0.0033738310083669,random_dense+1P
269.0,50.0,0.363880539956234,0.0026619363741194,random_dense+1P
264.0,59.0,0.3853662959381044,0.003798166634357,random_dense+1P
306.0,62.0,0.3806726000092708,0.0030493985939824,random_dense+1P
314.0,68.0,0.3923437005917694,0.0037745343671345,random_dense+1P
242.0,47.0,0.3628340953050817,0.0030038738213624,random_dense+1P
318.0,70.0,0.3865722155314688,0.0033923615862543,random_dense+1P
239.0,42.0,0.3691096174960681,0.0031403068952966,random_dense+1P
262.0,57.0,0.3745601212711818,0.0034392616811242,random_dense+1P
364.0,77.0,0.3594785090795729,0.0026931876865207,random_dense+1P
300.0,56.0,0.3481708037825059,0.002315655223231,random_dense+1P
331.0,74.0,0.3649670030640012,0.0029210847763839,random_dense+1P
272.0,60.0,0.3941352471839799,0.0041468341025831,random_dense+1P
336.0,69.0,0.372142540526849,0.0027594844460127,random_dense+1P
299.0,66.0,0.3639347470291041,0.0029753484330608,random_dense+1P
289.0,60.0,0.3752362021153893,0.0029121903515233,random_dense+1P
342.0,78.0,0.374642279457509,0.0030237346550747,random_dense+1P
336.0,71.0,0.3469689294157379,0.002567059274081,random_dense+1P
342.0,77.0,0.390003525361868,0.0036862291018946,random_dense+1P
264.0,51.0,0.3494855469589512,0.0024089072473613,random_dense+1P
302.0,66.0,0.3504532431543845,0.0026287611675416,random_dense+1P
331.0,66.0,0.3467329819373915,0.0023362467743005,random_dense+1P
352.0,82.0,0.3869202329142489,0.0036460944972693,random_dense+1P
287.0,58.0,0.3625299626856451,0.00266153979421,random_dense+1P
265.0,49.0,0.3749665462331058,0.0030797384590502,random_dense+1P
355.0,82.0,0.3745355109379682,0.0033449065519986,random_dense+1P
247.0,48.0,0.3839011399201769,0.0038265179328049,random_dense+1P
369.0,83.0,0.3649911587768359,0.0029100845403181,random_dense+1P
272.0,57.0,0.3474003963287442,0.0026231704792411,random_dense+1P
380.0,84.0,0.3600527248973497,0.0027281663621452,random_dense+1P
316.0,62.0,0.3588349492773139,0.002446491076268,random_dense+1P
283.0,55.0,0.3819136405784026,0.0031234809834996,random_dense+1P
371.0,84.0,0.3703786010590507,0.0029708475126054,random_dense+1P
317.0,62.0,0.3706400877016355,0.0027346942181668,random_dense+1P
312.0,73.0,0.3918581787597745,0.0039240716837292,random_dense+1P
314.0,68.0,0.3764511903148574,0.0030090941687241,random_dense+1P
289.0,66.0,0.3758221060639525,0.0032596348474419,random_dense+1P
260.0,51.0,0.3840118657937806,0.003355040419025,random_dense+1P
290.0,53.0,0.3699254096356077,0.0027006496845888,random_dense+1P
362.0,82.0,0.3791950746444104,0.003341141394029,random_dense+1P
239.0,47.0,0.3726520074779667,0.0033977176894879,random_dense+1P
291.0,66.0,0.3965812434500743,0.0040285508101001,random_dense+1P
242.0,45.0,0.3802495457476115,0.0034227349964161,random_dense+1P
