Compacidad,Tolerancia,Hamming,Balance,init_cross
14.0,0.0,0.3785460992907801,0.0225553619289874,greedy_ting+2P
22.0,0.0,0.3213652482269503,0.0229973829175121,greedy_ting+2P
10.0,0.0,0.5039007092198582,0.0317223731200645,greedy_ting+2P
9.0,0.0,0.4660165484633569,0.0280238309143101,greedy_ting+2P
10.0,0.0,0.4112588652482269,0.0231267840526129,greedy_ting+2P
11.0,0.0,0.3619439071566731,0.0187753431990591,greedy_ting+2P
15.0,0.0,0.3093971631205673,0.0134420321747732,greedy_ting+2P
9.0,0.0,0.5059101654846336,0.0298880188976261,greedy_ting+2P
9.0,0.0,0.4810874704491725,0.0288210221186428,greedy_ting+2P
9.0,0.0,0.4286840031520882,0.0265443586872757,greedy_ting+2P
10.0,0.0,0.3899822695035461,0.0224085103239272,greedy_ting+2P
12.0,0.0,0.3404994089834515,0.015530552403118,greedy_ting+2P
11.0,0.0,0.4831560283687943,0.0240700699638051,greedy_ting+2P
11.0,0.0,0.4429400386847195,0.0226951601699533,greedy_ting+2P
22.0,1.0,0.4173920051579625,0.012628178727478,greedy_ting+2P
126.0,14.0,0.3390746369469773,0.0060536591053883,greedy_ting+2P
97.0,6.0,0.3593258755575053,0.0093086666708471,greedy_ting+2P
93.0,9.0,0.348499580568901,0.0079500188764785,greedy_ting+2P
75.0,6.0,0.3723404255319149,0.0091299834012373,greedy_ting+2P
75.0,6.0,0.34,0.0086219070133963,greedy_ting+2P
64.0,3.0,0.3657053413120567,0.0116330086300475,greedy_ting+2P
54.0,4.0,0.3576799317047544,0.0123375542705262,greedy_ting+2P
48.0,3.0,0.394706708037825,0.0142758589906602,greedy_ting+2P
44.0,1.0,0.3978280141843972,0.0164107732167294,greedy_ting+2P
188.0,29.0,0.3414299456767768,0.0044673080240158,greedy_ting+2P
153.0,19.0,0.3537002271357715,0.0054964533836745,greedy_ting+2P
150.0,21.0,0.3364302600472813,0.0059094003766857,greedy_ting+2P
126.0,14.0,0.3588877631430823,0.005909354410316,greedy_ting+2P
107.0,11.0,0.3479817061045933,0.006210568482084,greedy_ting+2P
82.0,8.0,0.3730972150147033,0.0082068201508373,greedy_ting+2P
283.0,53.0,0.3406698744455304,0.0034225086890894,greedy_ting+2P
228.0,38.0,0.3502084110986686,0.0036374696894196,greedy_ting+2P
192.0,28.0,0.3511654107565012,0.0041955403660842,greedy_ting+2P
162.0,22.0,0.3502265563435776,0.0050900793714657,greedy_ting+2P
145.0,16.0,0.3479823917828319,0.0048377040776687,greedy_ting+2P
294.0,59.0,0.3442912626043325,0.0032771817581279,greedy_ting+2P
258.0,44.0,0.3401643850678981,0.0037890842088456,greedy_ting+2P
243.0,30.0,0.3460547821264921,0.0037695222656492,greedy_ting+2P
167.0,24.0,0.3504639656856499,0.0053081869147946,greedy_ting+2P
277.0,49.0,0.3430403000742504,0.0035287734828961,greedy_ting+2P
247.0,39.0,0.3458703017773566,0.0037336147474372,greedy_ting+2P
210.0,34.0,0.3409912191827085,0.0041806742607174,greedy_ting+2P
290.0,56.0,0.3421985815602837,0.003252463782574,greedy_ting+2P
