Compacidad,Tolerancia,Hamming,Balance,init_cross
7.0,0.0,0.5073454913880446,0.0330188473457891,greedy_multi+2P
15.0,0.0,0.5086879432624113,0.0151963872541623,greedy_multi+2P
24.0,5.0,0.5019946808510638,0.0093168447313599,greedy_multi+2P
15.0,0.0,0.450354609929078,0.0132090941099542,greedy_multi+2P
20.0,2.0,0.4451241134751773,0.0093556583547105,greedy_multi+2P
29.0,5.0,0.4508131572511616,0.0069139372354092,greedy_multi+2P
15.0,1.0,0.5046099290780142,0.0145256358667403,greedy_multi+2P
27.0,5.0,0.4515038087733123,0.0072649072250811,greedy_multi+2P
23.0,4.0,0.4652328091273512,0.0085446913387965,greedy_multi+2P
25.0,4.0,0.4548581560283688,0.0078033486746139,greedy_multi+2P
27.0,5.0,0.4714998686629892,0.0077076230457367,greedy_multi+2P
10.0,0.0,0.5072695035460992,0.0242379344600372,greedy_multi+2P
22.0,3.0,0.4882736943907156,0.0094402588350063,greedy_multi+2P
27.0,5.0,0.4772130286314683,0.0078376792877843,greedy_multi+2P
25.0,4.0,0.4890780141843971,0.0086097882400279,greedy_multi+2P
22.0,4.0,0.4950032237266279,0.0101737310135803,greedy_multi+2P
28.0,5.0,0.444750506585613,0.0070147517637468,greedy_multi+2P
27.0,5.0,0.4542290517467822,0.0073710137388793,greedy_multi+2P
21.0,3.0,0.5051502870651807,0.0108449626182818,greedy_multi+2P
26.0,5.0,0.4759615384615384,0.0080316722795753,greedy_multi+2P
27.0,5.0,0.4571513002364066,0.0074013586860337,greedy_multi+2P
25.0,4.0,0.4873758865248226,0.0085526884965544,greedy_multi+2P
21.0,4.0,0.4855623100303952,0.0097785266211509,greedy_multi+2P
19.0,2.0,0.4953807390817469,0.0113684190148837,greedy_multi+2P
25.0,4.0,0.4798581560283688,0.0082950153412806,greedy_multi+2P
29.0,5.0,0.4606566397652237,0.007117063195155,greedy_multi+2P
29.0,5.0,0.4445157740278797,0.0068008236626835,greedy_multi+2P
16.0,1.0,0.5080341312056738,0.0142133505637842,greedy_multi+2P
28.0,5.0,0.4614361702127659,0.007346417658281,greedy_multi+2P
23.0,4.0,0.4503931544865865,0.0085293873191044,greedy_multi+2P
28.0,5.0,0.4368667679837892,0.0068243701490706,greedy_multi+2P
28.0,5.0,0.4535524316109423,0.0071273878284337,greedy_multi+2P
30.0,5.0,0.4400709219858156,0.0065464094696779,greedy_multi+2P
27.0,5.0,0.4328211189913317,0.0070008758905611,greedy_multi+2P
29.0,6.0,0.4592198581560284,0.0072802340094788,greedy_multi+2P
27.0,5.0,0.4784278959810874,0.0079256200162571,greedy_multi+2P
27.0,5.0,0.4690044654583661,0.007632122376425,greedy_multi+2P
28.0,5.0,0.4703014184397163,0.0074676106956288,greedy_multi+2P
30.0,5.0,0.4310874704491725,0.0064055155955714,greedy_multi+2P
23.0,4.0,0.50177304964539,0.009629643971422,greedy_multi+2P
17.0,3.0,0.4865456821026283,0.0125064092422577,greedy_multi+2P
30.0,6.0,0.4560579196217494,0.0070732306878706,greedy_multi+2P
28.0,5.0,0.458903242147923,0.0072441510084492,greedy_multi+2P
19.0,3.0,0.49332773422919,0.0118069179728805,greedy_multi+2P
21.0,4.0,0.482016210739615,0.0097439672514043,greedy_multi+2P
25.0,4.0,0.4656382978723404,0.0079114720084502,greedy_multi+2P
26.0,4.0,0.4595949263502455,0.0077165949064835,greedy_multi+2P
30.0,5.0,0.4402186761229315,0.00657296242504,greedy_multi+2P
28.0,4.0,0.4258801925025329,0.006776255222079,greedy_multi+2P
19.0,3.0,0.4851623740201568,0.0107324783988276,greedy_multi+2P
16.0,0.0,0.4540669326241134,0.0127221291636408,greedy_multi+2P
14.0,0.0,0.4799265450861196,0.0151790870924345,greedy_multi+2P
28.0,5.0,0.4614678318135765,0.0073522509553656,greedy_multi+2P
27.0,4.0,0.4796099290780142,0.0079363060259987,greedy_multi+2P
27.0,5.0,0.4541633832413974,0.0073528371726726,greedy_multi+2P
17.0,1.0,0.4822695035460993,0.0120110853349052,greedy_multi+2P
25.0,5.0,0.4686879432624113,0.0081145905638549,greedy_multi+2P
30.0,5.0,0.4557033096926713,0.0068646353791167,greedy_multi+2P
16.0,2.0,0.4828789893617021,0.01336143105678,greedy_multi+2P
26.0,4.0,0.4591175668303328,0.0076777915412533,greedy_multi+2P
18.0,2.0,0.4649822695035461,0.0113520135197946,greedy_multi+2P
25.0,4.0,0.4620921985815602,0.0078764737689251,greedy_multi+2P
25.0,4.0,0.4871985815602836,0.0085027903525979,greedy_multi+2P
27.0,4.0,0.4350538481744155,0.006965100613396,greedy_multi+2P
20.0,3.0,0.463209219858156,0.0098255165107389,greedy_multi+2P
29.0,5.0,0.4608400586940572,0.0071630861398806,greedy_multi+2P
30.0,5.0,0.4508569739952718,0.006817626509677,greedy_multi+2P
24.0,4.0,0.488031914893617,0.0088020466567744,greedy_multi+2P
30.0,5.0,0.4466903073286052,0.0067010238698031,greedy_multi+2P
30.0,6.0,0.4609042553191489,0.0071407504862263,greedy_multi+2P
15.0,2.0,0.5044326241134752,0.014732124893114,greedy_multi+2P
22.0,3.0,0.4352433913604127,0.0084615403151852,greedy_multi+2P
22.0,4.0,0.4902885235332043,0.0096592919373371,greedy_multi+2P
27.0,4.0,0.4468741791436827,0.0072030389804246,greedy_multi+2P
25.0,4.0,0.4772695035460992,0.0082691401337959,greedy_multi+2P
26.0,5.0,0.4880660120021822,0.0082926800185958,greedy_multi+2P
26.0,5.0,0.4550941080196399,0.0075267169819448,greedy_multi+2P
25.0,4.0,0.4435106382978723,0.0075976044967556,greedy_multi+2P
26.0,5.0,0.4760979268957992,0.0080487022320529,greedy_multi+2P
25.0,4.0,0.454645390070922,0.007769909712791,greedy_multi+2P
26.0,5.0,0.4882705946535734,0.0083552239374574,greedy_multi+2P
19.0,2.0,0.460946248600224,0.010409737017665,greedy_multi+2P
18.0,1.0,0.4663120567375886,0.0111779672384018,greedy_multi+2P
18.0,2.0,0.5051713947990544,0.0120042740998757,greedy_multi+2P
17.0,1.0,0.4553608677513558,0.0118297729622742,greedy_multi+2P
29.0,5.0,0.4534421618977745,0.0070159637342185,greedy_multi+2P
27.0,4.0,0.4542618859994746,0.0073691540368208,greedy_multi+2P
18.0,2.0,0.4837962962962963,0.0114072806307095,greedy_multi+2P
27.0,5.0,0.4614854215918046,0.0075010516534284,greedy_multi+2P
22.0,3.0,0.452852998065764,0.0087598106980334,greedy_multi+2P
23.0,3.0,0.4466928769657724,0.0082960519034379,greedy_multi+2P
26.0,4.0,0.4495021822149481,0.0074076375272367,greedy_multi+2P
23.0,4.0,0.4773743447425224,0.008809159239916,greedy_multi+2P
29.0,5.0,0.4555514795793592,0.0070350474443031,greedy_multi+2P
25.0,4.0,0.454822695035461,0.0077802877118856,greedy_multi+2P
28.0,5.0,0.4423442249240121,0.0069466087490338,greedy_multi+2P
