Compacidad,Tolerancia,Hamming,Balance,init_cross
7.0,0.0,0.5067122593718338,0.0327020869838802,greedy_multi+UX
13.0,1.0,0.508456082924168,0.0169980317802165,greedy_multi+UX
11.0,0.0,0.4742101869761443,0.0196590166033353,greedy_multi+UX
25.0,5.0,0.5005673758865248,0.0091088979427594,greedy_multi+UX
28.0,6.0,0.4868287740628166,0.0079635502156196,greedy_multi+UX
14.0,1.0,0.5083586626139818,0.0155981020746912,greedy_multi+UX
20.0,2.0,0.5038120567375887,0.0107567448191741,greedy_multi+UX
24.0,4.0,0.4837470449172577,0.0088104080389428,greedy_multi+UX
21.0,2.0,0.4925700776764606,0.0099518723707647,greedy_multi+UX
28.0,4.0,0.4643806990881459,0.0073194746224089,greedy_multi+UX
25.0,3.0,0.4375886524822695,0.0073303556159146,greedy_multi+UX
24.0,3.0,0.4772458628841607,0.0084644694962807,greedy_multi+UX
24.0,3.0,0.4793144208037825,0.0086282041340419,greedy_multi+UX
17.0,1.0,0.4645911556111806,0.0119612619610908,greedy_multi+UX
27.0,3.0,0.4523246650906226,0.0071225230450398,greedy_multi+UX
33.0,5.0,0.4298302170642596,0.0058170725550727,greedy_multi+UX
28.0,4.0,0.4478850050658561,0.0069272462927377,greedy_multi+UX
17.0,0.0,0.4457133917396745,0.0114152798032375,greedy_multi+UX
27.0,4.0,0.4528171788810087,0.0072640965027924,greedy_multi+UX
26.0,3.0,0.4854746317512275,0.0082398508923955,greedy_multi+UX
24.0,3.0,0.4919843380614657,0.0089841509564373,greedy_multi+UX
30.0,5.0,0.4424054373522458,0.0065617079609789,greedy_multi+UX
23.0,3.0,0.461917977181622,0.0084808485726366,greedy_multi+UX
28.0,4.0,0.4642540526849038,0.0072923441270842,greedy_multi+UX
26.0,4.0,0.4596972176759411,0.0075661679225117,greedy_multi+UX
22.0,3.0,0.4815038684719536,0.009242984848173,greedy_multi+UX
23.0,3.0,0.4641150169596053,0.0085092890006502,greedy_multi+UX
24.0,3.0,0.4660165484633569,0.0083137026418299,greedy_multi+UX
23.0,3.0,0.489477335800185,0.009180187748008,greedy_multi+UX
26.0,3.0,0.4911006546644844,0.0084358988031301,greedy_multi+UX
14.0,0.0,0.4989235055724417,0.015544687157721,greedy_multi+UX
28.0,3.0,0.4551988348530901,0.0071193120351165,greedy_multi+UX
21.0,3.0,0.4964961161769672,0.0102159275552348,greedy_multi+UX
26.0,3.0,0.4377727768685215,0.0071345816316402,greedy_multi+UX
25.0,4.0,0.4729432624113475,0.0081700606106333,greedy_multi+UX
23.0,2.0,0.4500462534690101,0.0081596795831226,greedy_multi+UX
23.0,3.0,0.4658109774899784,0.0086147249456572,greedy_multi+UX
24.0,3.0,0.4897680260047281,0.0088575185875926,greedy_multi+UX
26.0,4.0,0.4687329514457173,0.0078469656568267,greedy_multi+UX
25.0,4.0,0.4928723404255319,0.0088087709370755,greedy_multi+UX
27.0,4.0,0.4575124770160231,0.007330029139774,greedy_multi+UX
26.0,3.0,0.457753682487725,0.0075644135397776,greedy_multi+UX
23.0,3.0,0.4623805118717237,0.0084890495423193,greedy_multi+UX
25.0,3.0,0.4904609929078014,0.0086380853578792,greedy_multi+UX
28.0,5.0,0.4562753292806484,0.0072553173765922,greedy_multi+UX
23.0,2.0,0.4888991674375578,0.0090704864073562,greedy_multi+UX
21.0,2.0,0.4515366430260047,0.0088806174516148,greedy_multi+UX
26.0,3.0,0.4486838516093835,0.0072141601534306,greedy_multi+UX
28.0,5.0,0.4814779635258359,0.0078018809733604,greedy_multi+UX
29.0,3.0,0.447205918317437,0.0067463527115349,greedy_multi+UX
26.0,3.0,0.4560147299509002,0.0075442921998315,greedy_multi+UX
16.0,0.0,0.4773382092198581,0.0134734501092044,greedy_multi+UX
22.0,2.0,0.4725983236621534,0.00889834806354,greedy_multi+UX
22.0,2.0,0.4763056092843327,0.009168368943977,greedy_multi+UX
29.0,5.0,0.4727011494252874,0.007386345268916,greedy_multi+UX
19.0,1.0,0.4794699514744308,0.0108111058582499,greedy_multi+UX
26.0,4.0,0.4432283142389525,0.0072120023440506,greedy_multi+UX
31.0,5.0,0.4547872340425532,0.0066273285138666,greedy_multi+UX
22.0,2.0,0.4343971631205673,0.0081149419625282,greedy_multi+UX
28.0,3.0,0.4328140830800405,0.0065359512505016,greedy_multi+UX
24.0,3.0,0.4481752364066194,0.0078709191542979,greedy_multi+UX
26.0,3.0,0.4555032733224223,0.007453137542267,greedy_multi+UX
25.0,2.0,0.4148581560283688,0.0067622139228408,greedy_multi+UX
27.0,4.0,0.4371552403467297,0.0069223220756091,greedy_multi+UX
28.0,3.0,0.4492147922998987,0.0069871892094698,greedy_multi+UX
26.0,3.0,0.4506273867975995,0.0073246095332316,greedy_multi+UX
30.0,3.0,0.42677304964539,0.0061153551129218,greedy_multi+UX
22.0,3.0,0.4973404255319149,0.0098033129247119,greedy_multi+UX
26.0,3.0,0.4611292962356792,0.0076061106482982,greedy_multi+UX
19.0,2.0,0.4717245240761478,0.0104478206965795,greedy_multi+UX
30.0,5.0,0.4531323877068558,0.0067474773513516,greedy_multi+UX
29.0,4.0,0.4288334556126192,0.0063389205008803,greedy_multi+UX
26.0,3.0,0.4450013638843426,0.0071531369321277,greedy_multi+UX
19.0,1.0,0.501959686450168,0.0113711817307439,greedy_multi+UX
25.0,3.0,0.4539716312056738,0.0077083396207434,greedy_multi+UX
21.0,2.0,0.4583333333333333,0.0090951717566459,greedy_multi+UX
22.0,1.0,0.4345180528691166,0.0082571735062256,greedy_multi+UX
27.0,3.0,0.4354806934594168,0.006786874314724,greedy_multi+UX
29.0,5.0,0.459678405478112,0.0071276792740228,greedy_multi+UX
24.0,3.0,0.4750295508274231,0.0083586969202868,greedy_multi+UX
29.0,4.0,0.4432318415260455,0.0066672404956339,greedy_multi+UX
28.0,4.0,0.452950861195542,0.0070225198027754,greedy_multi+UX
28.0,4.0,0.4647289766970618,0.00739052576478,greedy_multi+UX
28.0,3.0,0.4176165146909828,0.0061173252215478,greedy_multi+UX
22.0,3.0,0.4727998065764023,0.0089917742359393,greedy_multi+UX
26.0,4.0,0.4795076377523186,0.0081266344941008,greedy_multi+UX
21.0,3.0,0.4622593718338399,0.0092219838994398,greedy_multi+UX
25.0,4.0,0.4599290780141844,0.0078241084452492,greedy_multi+UX
25.0,3.0,0.4557801418439716,0.0077297105276395,greedy_multi+UX
27.0,5.0,0.4687417914368268,0.0077762929485307,greedy_multi+UX
24.0,4.0,0.5007387706855791,0.0095172832170861,greedy_multi+UX
29.0,4.0,0.4511494252873563,0.0068098669545148,greedy_multi+UX
28.0,3.0,0.44399062816616,0.0068352237506402,greedy_multi+UX
28.0,4.0,0.4377532928064843,0.0066596143418133,greedy_multi+UX
24.0,3.0,0.4305924940898345,0.0075431551564272,greedy_multi+UX
21.0,2.0,0.4238010807159743,0.0087600713331624,greedy_multi+UX
25.0,3.0,0.4790070921985815,0.0083905034958,greedy_multi+UX
29.0,3.0,0.4350085595500122,0.0063680287424802,greedy_multi+UX
