Compacidad,Tolerancia,Hamming,Balance,init_cross
11.0,0.0,0.5101547388781431,0.0299361521299669,greedy_ting+2P
419.0,84.0,0.3405524805768547,0.0027388221364708,greedy_ting+2P
140.0,30.0,0.3632472137791286,0.0023134749976646,greedy_ting+2P
20.0,1.0,0.4725177304964539,0.0199982709622251,greedy_ting+2P
185.0,38.0,0.3754983707111367,0.0028603677775753,greedy_ting+2P
106.0,24.0,0.4141325438244346,0.0032648411410969,greedy_ting+2P
229.0,48.0,0.3536692062312243,0.0026220093329216,greedy_ting+2P
370.0,63.0,0.3415085298064022,0.0025652577136371,greedy_ting+2P
104.0,25.0,0.4196501636661211,0.0035258323335793,greedy_ting+2P
166.0,35.0,0.4024502264376655,0.0039108584039543,greedy_ting+2P
166.0,37.0,0.3729225412287448,0.0027252321956791,greedy_ting+2P
68.0,15.0,0.4466651022110972,0.0054276392238729,greedy_ting+2P
118.0,28.0,0.4008219136915494,0.0028634108559798,greedy_ting+2P
106.0,25.0,0.4088133948882644,0.0030685151382615,greedy_ting+2P
45.0,7.0,0.4680851063829787,0.0087012539424389,greedy_ting+2P
111.0,26.0,0.3931458053798479,0.0027575122599342,greedy_ting+2P
90.0,22.0,0.4126970055161544,0.0035668965491278,greedy_ting+2P
122.0,31.0,0.391008312986862,0.0027079098308105,greedy_ting+2P
371.0,73.0,0.3500291525682935,0.0027306695069368,greedy_ting+2P
103.0,24.0,0.4169334848171865,0.003310908356863,greedy_ting+2P
168.0,36.0,0.4020917764268828,0.0038869960318244,greedy_ting+2P
388.0,74.0,0.3444194633326022,0.0029977894691663,greedy_ting+2P
158.0,35.0,0.3951992997576083,0.0030429683388715,greedy_ting+2P
56.0,10.0,0.4494205927051671,0.0072848064025434,greedy_ting+2P
140.0,34.0,0.4035334346504559,0.0032763410083363,greedy_ting+2P
147.0,34.0,0.380270902687316,0.0027702077101337,greedy_ting+2P
123.0,28.0,0.4192469584270311,0.0052607199498394,greedy_ting+2P
305.0,54.0,0.354880246482967,0.0032034670975859,greedy_ting+2P
109.0,26.0,0.398155377708374,0.0029274106762185,greedy_ting+2P
121.0,31.0,0.4021672234921751,0.003008426688812,greedy_ting+2P
124.0,31.0,0.401559997712194,0.0029443320214138,greedy_ting+2P
84.0,20.0,0.4151469098277609,0.0039860469110937,greedy_ting+2P
112.0,27.0,0.4046035967578521,0.0029959539152728,greedy_ting+2P
120.0,26.0,0.3816710992907801,0.0025582471237718,greedy_ting+2P
88.0,18.0,0.4363011766602192,0.0081242771711141,greedy_ting+2P
38.0,5.0,0.4566536020903322,0.0090442543626266,greedy_ting+2P
65.0,14.0,0.4298145117294054,0.0052246539989862,greedy_ting+2P
124.0,30.0,0.3985286547700755,0.0028210315587389,greedy_ting+2P
97.0,21.0,0.3987533815895299,0.0031013600831419,greedy_ting+2P
156.0,37.0,0.4027607292234951,0.0039650514359233,greedy_ting+2P
99.0,24.0,0.4116609355971058,0.0031782270224343,greedy_ting+2P
123.0,31.0,0.3967162543965865,0.0028047856306262,greedy_ting+2P
116.0,28.0,0.3962613108339447,0.0027994261213166,greedy_ting+2P
92.0,23.0,0.431313598519889,0.0042006347265283,greedy_ting+2P
121.0,29.0,0.3974928198816013,0.0027952971858502,greedy_ting+2P
112.0,27.0,0.3940681990881459,0.0028200201489639,greedy_ting+2P
96.0,17.0,0.3871712470449173,0.0031713267372943,greedy_ting+2P
103.0,24.0,0.4036270054396474,0.0030331777657749,greedy_ting+2P
101.0,25.0,0.4163506776209536,0.0034436390371351,greedy_ting+2P
83.0,18.0,0.412501068102196,0.0037283620821577,greedy_ting+2P
102.0,25.0,0.4064977054651648,0.0030800377659414,greedy_ting+2P
89.0,18.0,0.3831978643716631,0.0033651967465477,greedy_ting+2P
123.0,29.0,0.4158954621461108,0.0045805745633242,greedy_ting+2P
125.0,30.0,0.3991914893617021,0.0028607363814697,greedy_ting+2P
124.0,31.0,0.3956974948524365,0.002780653677018,greedy_ting+2P
126.0,27.0,0.4192347742879657,0.0048504172368265,greedy_ting+2P
111.0,25.0,0.3903105232892467,0.002721039374686,greedy_ting+2P
95.0,22.0,0.4118047779022023,0.003310382980256,greedy_ting+2P
103.0,25.0,0.4108741306892515,0.0032876765277057,greedy_ting+2P
119.0,29.0,0.3960903510340306,0.002764529950309,greedy_ting+2P
58.0,12.0,0.4455551479579359,0.0062973598604324,greedy_ting+2P
110.0,25.0,0.3955834945196647,0.0028548863672737,greedy_ting+2P
118.0,27.0,0.3811605962255078,0.0027489273526664,greedy_ting+2P
175.0,36.0,0.3741995947315096,0.0027239757937277,greedy_ting+2P
103.0,24.0,0.4206086896646698,0.0035225794343532,greedy_ting+2P
124.0,28.0,0.3902425074353695,0.0026932670696575,greedy_ting+2P
96.0,24.0,0.424682328605201,0.0039712840336634,greedy_ting+2P
115.0,28.0,0.3966234967622571,0.002822529161935,greedy_ting+2P
34.0,2.0,0.452909887359199,0.011304325507531,greedy_ting+2P
127.0,31.0,0.4033129502429217,0.0030251462485345,greedy_ting+2P
221.0,45.0,0.3484443695645198,0.0026078426391899,greedy_ting+2P
106.0,26.0,0.4052840224809313,0.0031319672824711,greedy_ting+2P
105.0,24.0,0.3946639648767308,0.0029592560998713,greedy_ting+2P
177.0,39.0,0.401069840125015,0.0037490436188783,greedy_ting+2P
226.0,47.0,0.3536057239691207,0.0026029183493773,greedy_ting+2P
57.0,10.0,0.4312554435734727,0.0060571000716807,greedy_ting+2P
