Compacidad,Tolerancia,Hamming,Balance,init_cross
9.0,0.0,0.4507486209613869,0.0244327203651849,greedy_ting+1P
10.0,0.0,0.389095744680851,0.0189147851591971,greedy_ting+1P
9.0,0.0,0.4910362490149724,0.0279382134658005,greedy_ting+1P
10.0,0.0,0.4138297872340425,0.0199505809566925,greedy_ting+1P
86.0,9.0,0.4124711364011216,0.0059037504518502,greedy_ting+1P
10.0,0.0,0.4567375886524822,0.0219936119913483,greedy_ting+1P
85.0,15.0,0.3651856487275761,0.0041804859154181,greedy_ting+1P
120.0,15.0,0.3447325650118203,0.0030223304682828,greedy_ting+1P
11.0,0.0,0.5061250805931657,0.0243895392461174,greedy_ting+1P
34.0,4.0,0.4953066332916145,0.0326106749519502,greedy_ting+1P
11.0,0.0,0.3575112830431979,0.0157880504705476,greedy_ting+1P
10.0,0.0,0.4822695035460992,0.0243310195664202,greedy_ting+1P
112.0,10.0,0.333729103343465,0.0030456705178817,greedy_ting+1P
101.0,18.0,0.3745523488519064,0.0044376923786619,greedy_ting+1P
176.0,34.0,0.3521216150870406,0.0030447732277648,greedy_ting+1P
234.0,45.0,0.3900936533915257,0.0039915692885599,greedy_ting+1P
12.0,0.0,0.4958628841607564,0.0219982507027926,greedy_ting+1P
35.0,4.0,0.4929078014184397,0.0192419282485893,greedy_ting+1P
84.0,12.0,0.3572800574130361,0.0041947663596628,greedy_ting+1P
11.0,0.0,0.4847678916827853,0.0220410032149968,greedy_ting+1P
187.0,39.0,0.3732364319035157,0.0034460028869779,greedy_ting+1P
11.0,0.0,0.4128787878787879,0.0177601083367524,greedy_ting+1P
114.0,16.0,0.3544310688067687,0.0032569930257663,greedy_ting+1P
241.0,52.0,0.3728774903622612,0.0034095660605509,greedy_ting+1P
61.0,8.0,0.3852749680269736,0.0049755929194995,greedy_ting+1P
84.0,10.0,0.3486469942586964,0.0040276206949989,greedy_ting+1P
55.0,8.0,0.4540135396518375,0.0117437531722841,greedy_ting+1P
33.0,3.0,0.4918869546529121,0.0209893465522983,greedy_ting+1P
27.0,2.0,0.3301155765694772,0.0064494812377818,greedy_ting+1P
67.0,10.0,0.4164549592463216,0.008639178087343,greedy_ting+1P
69.0,11.0,0.3909574468085106,0.005320332034997,greedy_ting+1P
276.0,54.0,0.3768565628533251,0.0036607068103709,greedy_ting+1P
32.0,3.0,0.4944869237588652,0.0364997963161571,greedy_ting+1P
83.0,9.0,0.4313530718619157,0.0064450205342122,greedy_ting+1P
46.0,7.0,0.426013721862473,0.0078109151477519,greedy_ting+1P
85.0,10.0,0.3242282019190655,0.0034783700692128,greedy_ting+1P
79.0,8.0,0.4209534069485591,0.0066777674866142,greedy_ting+1P
35.0,4.0,0.3696555217831814,0.0067445766596966,greedy_ting+1P
199.0,43.0,0.3758642503296625,0.0036598785149546,greedy_ting+1P
31.0,3.0,0.4144646533973919,0.0089400420731761,greedy_ting+1P
43.0,3.0,0.2761421738413326,0.0047515257017763,greedy_ting+1P
110.0,21.0,0.3972517730496454,0.0049862195949162,greedy_ting+1P
91.0,18.0,0.4472566440651547,0.0073027463382977,greedy_ting+1P
167.0,30.0,0.3470134199685735,0.0031106190683485,greedy_ting+1P
123.0,26.0,0.3993109611947184,0.0043625422858978,greedy_ting+1P
11.0,0.0,0.4748549323017408,0.0204831349837317,greedy_ting+1P
230.0,42.0,0.356009096515572,0.0028254051914895,greedy_ting+1P
122.0,22.0,0.402373270549936,0.0050646963325058,greedy_ting+1P
35.0,6.0,0.4773049645390071,0.0114678561933299,greedy_ting+1P
84.0,11.0,0.4381437858831476,0.0072803716721565,greedy_ting+1P
197.0,39.0,0.3793921229794434,0.0036063345676584,greedy_ting+1P
49.0,4.0,0.3935627442466348,0.005485912930688,greedy_ting+1P
57.0,9.0,0.419839492347891,0.0077445014131404,greedy_ting+1P
68.0,10.0,0.408453274926992,0.0068818416104802,greedy_ting+1P
178.0,35.0,0.3670810423141286,0.0031020331926864,greedy_ting+1P
11.0,0.0,0.4323017408123791,0.0187596571501259,greedy_ting+1P
40.0,3.0,0.3847960992907801,0.0062537704812383,greedy_ting+1P
87.0,11.0,0.3869120404336839,0.0042693080341441,greedy_ting+1P
221.0,42.0,0.3683129552966849,0.0030895242305649,greedy_ting+1P
205.0,39.0,0.3679034769071095,0.0031118090622547,greedy_ting+1P
100.0,12.0,0.3179787234042553,0.0030636449373773,greedy_ting+1P
144.0,31.0,0.3921517927501969,0.0039383563915851,greedy_ting+1P
177.0,30.0,0.3404555836037985,0.0027646244291714,greedy_ting+1P
18.0,1.0,0.4994582348305753,0.0208412483870078,greedy_ting+1P
