Compacidad,Tolerancia,Hamming,Balance,init_cross
58.0,8.0,0.4781731474688188,0.0189628325696036,greedy_ting+1P
32.0,3.0,0.5002770390070922,0.0262008873451333,greedy_ting+1P
225.0,39.0,0.4017848699763593,0.0049688307000728,greedy_ting+1P
12.0,0.0,0.4476950354609929,0.0206093443488757,greedy_ting+1P
36.0,5.0,0.4205821513002364,0.0063223637966502,greedy_ting+1P
18.0,0.0,0.3985914105594956,0.0109956299200924,greedy_ting+1P
23.0,2.0,0.4502775208140611,0.0099490776832931,greedy_ting+1P
18.0,2.0,0.4804472025216706,0.0155888158579041,greedy_ting+1P
32.0,2.0,0.5017176418439716,0.0477828154423114,greedy_ting+1P
17.0,1.0,0.502555277430121,0.0159447822458854,greedy_ting+1P
50.0,10.0,0.4764361702127659,0.0091841076278858,greedy_ting+1P
257.0,50.0,0.3522297651571598,0.0026659151387233,greedy_ting+1P
284.0,52.0,0.38847580161822,0.0039894748027787,greedy_ting+1P
99.0,12.0,0.348287842968694,0.0038984633680079,greedy_ting+1P
361.0,66.0,0.346623838431465,0.0026796937847595,greedy_ting+1P
124.0,22.0,0.434025394646534,0.0076650210597487,greedy_ting+1P
173.0,33.0,0.3583405075226499,0.0029610249950417,greedy_ting+1P
27.0,4.0,0.4810874704491726,0.0099911862412631,greedy_ting+1P
31.0,4.0,0.3664207275223061,0.0054386939634739,greedy_ting+1P
401.0,82.0,0.3507874816504837,0.0027068113876,greedy_ting+1P
79.0,13.0,0.4214920549420953,0.0055557896837569,greedy_ting+1P
164.0,32.0,0.4112664331430548,0.0070874163710405,greedy_ting+1P
19.0,0.0,0.338792459873087,0.0089475919637355,greedy_ting+1P
80.0,15.0,0.4487145390070922,0.0095284894340073,greedy_ting+1P
130.0,17.0,0.4317989634478996,0.0072799312994417,greedy_ting+1P
27.0,2.0,0.3292618859994746,0.0056649651158273,greedy_ting+1P
57.0,10.0,0.4464352370287421,0.0065516090359058,greedy_ting+1P
98.0,17.0,0.3993794326241134,0.0060036254886451,greedy_ting+1P
154.0,25.0,0.4100983236621535,0.0045233045148211,greedy_ting+1P
