Compacidad,Tolerancia,Hamming,Balance,init_cross
30.0,4.0,0.4292553191489361,0.0072016519122109,greedy_ting+UX
11.0,0.0,0.4560767246937459,0.0194059548424696,greedy_ting+UX
364.0,80.0,0.3497924947393032,0.0025199827033507,greedy_ting+UX
126.0,31.0,0.4387875717662952,0.0047026096848432,greedy_ting+UX
148.0,27.0,0.3745866877515814,0.0030358043373388,greedy_ting+UX
82.0,14.0,0.3759730150492994,0.0038144456542005,greedy_ting+UX
31.0,2.0,0.3060512468542667,0.0047747122171927,greedy_ting+UX
13.0,0.0,0.4034369885433715,0.0149212518627847,greedy_ting+UX
14.0,0.0,0.5083586626139818,0.0175158904666438,greedy_ting+UX
13.0,0.0,0.3460856519367157,0.0136493301936463,greedy_ting+UX
243.0,55.0,0.381059743746899,0.0031374543165443,greedy_ting+UX
297.0,64.0,0.3424821501062636,0.0022750688498954,greedy_ting+UX
16.0,0.0,0.2780917553191489,0.0087652360401812,greedy_ting+UX
23.0,2.0,0.50304502004317,0.0106893563370294,greedy_ting+UX
177.0,36.0,0.3356022358456545,0.002345363888251,greedy_ting+UX
95.0,16.0,0.3166666666666666,0.002865578934271,greedy_ting+UX
42.0,5.0,0.3914640324214792,0.0054860700504737,greedy_ting+UX
9.0,0.0,0.5087667454688731,0.0258840933026816,greedy_ting+UX
20.0,1.0,0.3568262411347517,0.0085260974674313,greedy_ting+UX
234.0,50.0,0.3413347881432987,0.0023344962134606,greedy_ting+UX
29.0,4.0,0.4645390070921986,0.0086028666044534,greedy_ting+UX
18.0,2.0,0.4668538219070133,0.0119283206335411,greedy_ting+UX
207.0,44.0,0.3886490560866139,0.0031154930636794,greedy_ting+UX
125.0,29.0,0.4358085106382979,0.0046322470197676,greedy_ting+UX
59.0,12.0,0.468716191849982,0.0069987733752396,greedy_ting+UX
69.0,14.0,0.4284099085209168,0.0063805023210936,greedy_ting+UX
