algorithm,init,crossover,AvgToleranceRate
SMSEMOA,random_dense,UX,0.2602164275883062
SMSEMOA,random_dense,HUX,0.25915129048358737
UNSGA3,random_dense,HUX,0.24759720652324085
NSGA3,random_dense,HUX,0.2474579881780997
NSGA3,random_dense,UX,0.24646243211303864
UNSGA3,random_dense,UX,0.24389944820128734
SMSEMOA,random_dense,2P,0.23726290694696722
AGEMOEA2,random_dense,UX,0.23490963839137816
AGEMOEA2,random_dense,HUX,0.2326125158557125
SMSEMOA,random_dense,1P,0.23075342033679772
SMSEMOA,greedy_ting,UX,0.23007567242190832
SMSEMOA,greedy_ting,HUX,0.22936024962918294
SPEA2,random_dense,UX,0.22672192626383425
UNSGA3,random_dense,2P,0.2254161041258206
SPEA2,random_dense,HUX,0.225255032462831
RVEA,random_dense,HUX,0.2248099986628201
NSGA3,random_dense,2P,0.22441069685258613
RVEA,random_dense,UX,0.2205628854355753
AGEMOEA2,random_dense,2P,0.21989217894510632
UNSGA3,random_dense,1P,0.2198438491324822
NSGA2,random_dense,UX,0.21909742874105276
NSGA2,random_dense,HUX,0.21851084835599172
SPEA2,random_dense,2P,0.21556661196038332
SMSEMOA,greedy_ting,2P,0.2149212434477729
AGEMOEA2,random_dense,1P,0.21486501153702114
NSGA3,random_dense,1P,0.2135413167474701
SMSEMOA,greedy_ting,1P,0.21011421150681694
SPEA2,random_dense,1P,0.20755712318709857
RVEA,random_dense,2P,0.20354112441346017
NSGA2,random_dense,2P,0.20077350161369054
RVEA,random_dense,1P,0.19626189913149894
NSGA2,random_dense,1P,0.19096453049587173
AGEMOEA2,greedy_ting,HUX,0.17811135486111856
AGEMOEA2,greedy_ting,UX,0.17711679487762386
AGEMOEA2,greedy_ting,2P,0.16309806139253893
AGEMOEA2,greedy_ting,1P,0.15729722581198255
SMSEMOA,greedy_multi,1P,0.15348539273663522
NSGA2,greedy_ting,1P,0.15122169679602449
AGEMOEA2,greedy_multi,UX,0.1501697660586414
AGEMOEA2,greedy_multi,HUX,0.14465234645370453
NSGA3,greedy_ting,2P,0.14347343319072184
SMSEMOA,greedy_multi,2P,0.1434203837298778
SMSEMOA,greedy_multi,HUX,0.14057669966559533
NSGA3,greedy_ting,1P,0.13799243648672604
NSGA2,greedy_ting,2P,0.13713105147647398
AGEMOEA2,greedy_multi,2P,0.13658992209650472
NSGA3,greedy_ting,HUX,0.1327732065877132
UNSGA3,greedy_ting,2P,0.132126734741997
NSGA2,greedy_ting,HUX,0.1320278776185402
SPEA2,greedy_ting,2P,0.13130680310000636
SMSEMOA,greedy_multi,UX,0.13056318143020504
UNSGA3,greedy_ting,UX,0.13011238398718722
UNSGA3,greedy_multi,UX,0.12932484577287726
NSGA3,greedy_ting,UX,0.1284640889155244
NSGA2,greedy_ting,UX,0.12846310764730845
UNSGA3,greedy_ting,1P,0.1273889741482092
NSGA3,greedy_multi,UX,0.12686115589492974
AGEMOEA2,greedy_multi,1P,0.1256839845365829
UNSGA3,greedy_ting,HUX,0.1253913499097139
SPEA2,greedy_ting,1P,0.12431958495610278
UNSGA3,greedy_multi,HUX,0.12410894650755577
SPEA2,greedy_ting,HUX,0.12189004107185927
NSGA3,greedy_multi,HUX,0.12105588040851474
NSGA3,greedy_multi,2P,0.12010670845262587
UNSGA3,greedy_multi,2P,0.11922343254672
SPEA2,greedy_ting,UX,0.11832847587851372
NSGA3,greedy_multi,1P,0.1128945947128118
UNSGA3,greedy_multi,1P,0.11165908333026538
RVEA,greedy_ting,HUX,0.10426152195263916
RVEA,greedy_multi,UX,0.10277057360794703
RVEA,greedy_ting,UX,0.10089870452983865
RVEA,greedy_multi,HUX,0.0987302005287774
SPEA2,greedy_multi,HUX,0.09823168022260338
RVEA,greedy_multi,2P,0.0970016093875669
SPEA2,greedy_multi,UX,0.09116954502216992
RVEA,greedy_multi,1P,0.08802354418389702
SPEA2,greedy_multi,1P,0.07892584288078601
RVEA,greedy_ting,2P,0.07831091476218999
RVEA,greedy_ting,1P,0.07463277408774291
SPEA2,greedy_multi,2P,0.07267965424173883
NSGA2,greedy_multi,HUX,0.06821020228010907
NSGA2,greedy_multi,UX,0.0667707463061303
NSGA2,greedy_multi,1P,0.05135888434200171
NSGA2,greedy_multi,2P,0.0506232363931006
