Compacidad,Tolerancia,Hamming,Balance
94.0,18.0,0.3723404255319149,0.0038322433372181505
268.0,51.0,0.3641929977770721,0.0029539043672172608
60.0,11.0,0.4803339243498818,0.011817490937396962
29.0,3.0,0.5034238200048912,0.022481341269495272
386.0,65.0,0.34996600889280854,0.002827956147090167
172.0,37.0,0.4182593188190665,0.006094888733405598
398.0,80.0,0.3488564275277095,0.0027552644039257504
54.0,9.0,0.3835697399527187,0.004648763538113494
75.0,16.0,0.45242316784869974,0.007398856389964712
432.0,85.0,0.3446057427107959,0.0026745372493058583
17.0,1.0,0.4414372131831456,0.013834627343245896
14.0,0.0,0.5039260385005065,0.017516066899069885
29.0,4.0,0.41085840058694056,0.008188316200776296
36.0,8.0,0.45759456264775417,0.0076744607847245815
82.0,13.0,0.4177477944992216,0.005072133387588343
147.0,23.0,0.4376296617937956,0.007297327045152784
160.0,25.0,0.4126385195035461,0.004499336696655659
22.0,0.0,0.3364764667956157,0.008889559978982388
53.0,8.0,0.4874381105312458,0.024512142806390816
12.0,0.0,0.48278664302600477,0.01959510105090568
55.0,11.0,0.4732914248871696,0.008318947894933539
221.0,40.0,0.39989490067712846,0.004250419610505932
179.0,34.0,0.36962141923214076,0.0032278377141956643
88.0,18.0,0.4509187620889748,0.011382995481170818
51.0,7.0,0.495393547489918,0.027271883902510986
36.0,4.0,0.5009357762017337,0.03097003317501475
66.0,12.0,0.48124865678057166,0.018594293645907534
17.0,0.0,0.38803712974551524,0.0122256595210359
113.0,20.0,0.4090645201782464,0.0060426052924486265
24.0,3.0,0.4820109338061466,0.011655252343020846
