Compacidad,Tolerancia,Hamming,Balance
86.0,15.0,0.3638256638627742,0.003270143110702813
310.0,68.0,0.3667839167238618,0.002666211962935445
272.0,64.0,0.35910122027534414,0.0026635676244649415
142.0,32.0,0.43180626311057835,0.004753926196055487
350.0,76.0,0.3519706180344478,0.0023987219620004306
237.0,55.0,0.38643504802944606,0.0031484554430915375
11.0,0.0,0.40731785944551907,0.017903192383109234
58.0,11.0,0.46719858156028365,0.006511707464108236
162.0,35.0,0.4158239208475615,0.003804685082267533
15.0,1.0,0.5067966903073287,0.015730006734515044
168.0,34.0,0.3263625042215468,0.002091298293894521
27.0,1.0,0.2760047281323877,0.004214233640779945
10.0,0.0,0.5095744680851064,0.02405726573110018
33.0,6.0,0.4703954437996991,0.007241500033555938
20.0,1.0,0.3445035460992908,0.007647093959056384
23.0,4.0,0.5,0.010132191073750822
19.0,2.0,0.46439902948861517,0.011202856354729012
232.0,52.0,0.3541552029836146,0.002370884977356313
146.0,27.0,0.3688671912950549,0.003055680713833352
197.0,42.0,0.3844862656154372,0.002948815077082403
16.0,0.0,0.2478945035460993,0.007101617416597584
11.0,0.0,0.4606705351386202,0.01883593746427619
11.0,0.0,0.5101547388781431,0.029731005890004495
36.0,6.0,0.3796050039401103,0.004843735712636771
89.0,10.0,0.2798529763327755,0.0024214322623663355
14.0,0.0,0.397289766970618,0.013278224183894289
28.0,3.0,0.41980116514690985,0.007009627203737221
121.0,31.0,0.4315177891096653,0.004196627811906635
13.0,0.0,0.3400163666121113,0.012237290428344505
69.0,13.0,0.42216569020454314,0.005922287996904407
