Compacidad,Tolerancia,Hamming,Balance
7.0,0.0,0.5088652482269503,0.03328368845652052
7.0,0.0,0.48644883485309015,0.032346399213072835
8.0,0.0,0.4308510638297872,0.026025162215180347
9.0,0.0,0.5092592592592592,0.033799214896535694
17.0,0.0,0.2946912807676262,0.009426282640360556
8.0,0.0,0.4903590425531915,0.028040363109721553
8.0,0.0,0.4554521276595745,0.026495096999019183
30.0,6.0,0.42092198581560286,0.006839654276277213
20.0,0.0,0.3259751773049645,0.008234864632060768
18.0,0.0,0.31082545311268717,0.008706139395918036
18.0,2.0,0.36879432624113473,0.009938998150104341
8.0,0.0,0.5090868794326241,0.030834981813666413
9.0,0.0,0.509160756501182,0.026883946751691375
34.0,8.0,0.4527795160617438,0.006406174018063244
18.0,0.0,0.5084219858156028,0.01722451276064804
13.0,0.0,0.3262411347517731,0.013147904588514739
13.0,1.0,0.4060283687943262,0.014250452172675938
23.0,1.0,0.45995220474868953,0.009124967885478204
19.0,0.0,0.35181037700634565,0.008918403838016236
24.0,1.0,0.3544991134751773,0.007344501378252693
13.0,0.0,0.45956082924168035,0.015602073275337384
8.0,0.0,0.5089760638297872,0.028717635065357443
25.0,2.0,0.42124113475177305,0.007728956038428629
11.0,0.0,0.4234364925854288,0.01814013940798989
22.0,0.0,0.4259348807221148,0.008933208115144612
11.0,0.0,0.34953255963894264,0.0159710024127028
20.0,0.0,0.3843528368794326,0.008884155647980512
20.0,3.0,0.45523049645390073,0.01046909580755499
15.0,0.0,0.4639479905437352,0.014161245521966752
10.0,0.0,0.4325354609929078,0.020209174274432848
18.0,1.0,0.37071513002364065,0.009916737516463641
23.0,3.0,0.38887604070305276,0.008488988629319863
21.0,2.0,0.4806653157716988,0.010360960355840632
11.0,0.0,0.48033526756931016,0.01964436330048099
12.0,0.0,0.49527186761229314,0.018126777939853216
15.0,0.0,0.3209810874704492,0.011246161186839446
9.0,0.0,0.49172576832151305,0.02481990063097647
14.0,2.0,0.5078520770010132,0.01732508681758504
12.0,0.0,0.3984929078014185,0.015405530091544654
11.0,0.0,0.5094294003868473,0.030345996437065037
18.0,0.0,0.4855200945626478,0.012037508592793743
15.0,0.0,0.3560283687943262,0.011888402662508478
25.0,2.0,0.46372340425531916,0.008312377395503218
13.0,1.0,0.4956355701036552,0.01795275082004189
12.0,0.0,0.35017730496453897,0.014565571399829067
18.0,1.0,0.40051221434200157,0.01012012989633998
15.0,0.0,0.4871749408983452,0.01425632164154481
26.0,4.0,0.3875136388434261,0.007297561346148657
26.0,2.0,0.43831833060556463,0.007810682836174061
26.0,6.0,0.48663393344244404,0.008775773544899829
31.0,7.0,0.447523450011439,0.006945402113176953
18.0,1.0,0.4760638297872341,0.011849352024173341
22.0,2.0,0.46856866537717595,0.009752942196149741
30.0,2.0,0.38241725768321516,0.006376229363322885
21.0,1.0,0.3901975683890578,0.008629005208541724
25.0,0.0,0.3997872340425532,0.007421231326392045
28.0,2.0,0.3625886524822695,0.006497156165921959
16.0,0.0,0.3805961879432624,0.011102187778021381
29.0,6.0,0.4660063585228662,0.007916290393955812
22.0,2.0,0.3902321083172147,0.008355734180356615
13.0,1.0,0.5085242771412984,0.021980297377383638
15.0,2.0,0.45780141843971633,0.014011241889240968
25.0,3.0,0.45074468085106384,0.008651927719933568
11.0,0.0,0.5078175370728562,0.02140597479590342
33.0,8.0,0.46287341500107454,0.006772109362922418
22.0,3.0,0.4211798839458414,0.009026824273850896
19.0,1.0,0.46150615901455766,0.01125864187971064
18.0,0.0,0.37352245862884165,0.009898712152119902
27.0,4.0,0.4089506172839506,0.007309928186219632
15.0,0.0,0.29095744680851066,0.010627452089935147
22.0,4.0,0.45732591876208895,0.009837456874082632
19.0,0.0,0.4962672639044419,0.011483876154532226
17.0,0.0,0.3222256987901544,0.009532276626376818
10.0,0.0,0.4467198581560283,0.020432503080830916
9.0,0.0,0.4757683215130024,0.024366857803933464
9.0,0.0,0.4405043341213554,0.022618220386608844
24.0,5.0,0.47890809692671393,0.009459276128293174
12.0,0.0,0.42420212765957444,0.016171546220847148
20.0,0.0,0.3646276595744681,0.008704471291685553
17.0,0.0,0.39273049645390073,0.010647171496528902
15.0,0.0,0.4479314420803783,0.013742765985390752
27.0,5.0,0.43492251116364594,0.007517150743770408
18.0,0.0,0.41395784081954295,0.010428482243267262
15.0,0.0,0.42594562647754136,0.01276654077874468
27.0,3.0,0.42037693722090885,0.007255980655200236
18.0,2.0,0.41573089046493306,0.011419971884409701
15.0,0.0,0.39243498817966904,0.012015268626103267
8.0,0.0,0.471520390070922,0.027155999584245374
24.0,3.0,0.48585254137115835,0.008922128275653331
25.0,3.0,0.430886524822695,0.007946731804235153
10.0,0.0,0.37632978723404253,0.018260643013429913
31.0,7.0,0.4618794326241135,0.007513545835756092
23.0,0.0,0.4017884674683935,0.00803471582190027
16.0,1.0,0.3829233156028369,0.01159710028085067
17.0,3.0,0.5028160200250312,0.013575225446075468
31.0,6.0,0.4577327842598948,0.006980945444332353
16.0,0.0,0.33726728723404253,0.010319233300442357
28.0,4.0,0.42306231003039513,0.007075417451951345
23.0,2.0,0.3648627813752698,0.00776723941288099
20.0,2.0,0.41653368794326245,0.00995491730483868
19.0,1.0,0.49715378872713706,0.011602672936520753
36.0,8.0,0.4382141449960599,0.006136075015749562
13.0,0.0,0.5077059465357338,0.018237651414972498
11.0,0.0,0.4006286266924565,0.01799591219616225
16.0,0.0,0.5037677304964538,0.014170201370026673
9.0,0.0,0.4614854215918045,0.023470659296269958
23.0,3.0,0.47093740363860626,0.009572451121983003
14.0,0.0,0.33668946301925023,0.01206989864566633
25.0,4.0,0.46627659574468083,0.008979044062169886
18.0,2.0,0.5081264775413712,0.01733885047747062
26.0,5.0,0.4579582651391162,0.008641290633038777
24.0,4.0,0.4428191489361702,0.009012412919370265
23.0,0.0,0.43886833179155105,0.00873124557088212
19.0,2.0,0.4447088465845465,0.010577198092500826
21.0,1.0,0.3644039175954069,0.008394391071318804
18.0,2.0,0.45478723404255317,0.011833749932468537
17.0,0.0,0.49478514810179386,0.012666368351901455
14.0,0.0,0.47036474164133735,0.015332491077010284
22.0,3.0,0.4365731785944552,0.009216297455396812
22.0,0.0,0.35646357188910377,0.007861334599960659
20.0,2.0,0.38825354609929075,0.009496329331396807
11.0,0.0,0.49395551257253384,0.020873727345058497
31.0,5.0,0.434025394646534,0.006903725940155638
27.0,3.0,0.3960795902285264,0.006843486879650057
13.0,0.0,0.4198717948717948,0.014688203799292211
9.0,0.0,0.40415681639085893,0.0221379612242226
13.0,1.0,0.5074331696672123,0.018577506392324167
24.0,2.0,0.35291075650118203,0.00762623001826139
30.0,4.0,0.42523640661938533,0.006687788871563564
13.0,0.0,0.36252045826513907,0.013675228556657735
31.0,5.0,0.41169068862960423,0.006723498573013064
23.0,0.0,0.3832870798643232,0.007906067567052312
32.0,6.0,0.440021054964539,0.00668673354383385
24.0,1.0,0.372229609929078,0.007633984217814772
21.0,0.0,0.46643870314083075,0.009817496801547438
19.0,1.0,0.41983949234789103,0.010509127299119528
26.0,5.0,0.4889184397163121,0.009509632191346238
12.0,1.0,0.4953457446808511,0.01982048723760569
16.0,1.0,0.5040447695035462,0.014289241568386664
25.0,3.0,0.3930141843971631,0.007507226749157458
13.0,0.0,0.3479268957992362,0.013341940016470911
10.0,0.0,0.3986702127659575,0.019386529538252647
29.0,4.0,0.3928222059183174,0.006648203511248695
19.0,0.0,0.40238895110115713,0.0096809395404039
16.0,1.0,0.5086436170212766,0.018750088416704603
33.0,6.0,0.41465183752417795,0.006045312325277537
14.0,1.0,0.5071555217831814,0.016290707612077397
18.0,0.0,0.4550334909377463,0.011705466875905447
18.0,1.0,0.44035657998423955,0.011363094109799
23.0,2.0,0.47829941412272586,0.009212147758843797
16.0,0.0,0.4121786347517731,0.011593563612675066
21.0,1.0,0.4208037825059102,0.009235107620500707
11.0,0.0,0.451241134751773,0.01854748953587881
27.0,5.0,0.4800696086157079,0.008239404040805512
10.0,0.0,0.5085992907801418,0.02319732879382333
11.0,0.0,0.388217279174726,0.01676726912526236
27.0,2.0,0.39617809298660367,0.006985558414127852
23.0,1.0,0.44079555966697503,0.00875870693385579
17.0,1.0,0.44978097622027535,0.012116445684869788
12.0,0.0,0.45559988179669025,0.01720588521669207
21.0,0.0,0.4402228976697062,0.009545657204584994
10.0,0.0,0.41950354609929075,0.01947776771792179
16.0,0.0,0.5078679078014184,0.018125706842431286
20.0,3.0,0.49578900709219853,0.011593526403978687
22.0,0.0,0.4119922630560929,0.008783563857846736
16.0,1.0,0.44032579787234044,0.012891643634115183
20.0,0.0,0.486968085106383,0.010530523804134566
19.0,3.0,0.4715845464725644,0.012129439468856225
21.0,2.0,0.37174940898345155,0.00875240988872457
14.0,0.0,0.5081686930091186,0.02106965253847114
31.0,5.0,0.39496110729810113,0.006236076265381523
10.0,0.0,0.46099290780141844,0.020996177254665245
23.0,3.0,0.5048566142460684,0.010158879881609274
14.0,1.0,0.3906408308004053,0.013392468189554203
16.0,0.0,0.30823359929078015,0.010055628720378336
10.0,0.0,0.4933510638297872,0.022127777463407345
23.0,2.0,0.42580172679617634,0.008732640627137873
14.0,0.0,0.3087639311043566,0.012042892455005278
17.0,2.0,0.4793491864831039,0.013113753476785459
23.0,2.0,0.40737742830712304,0.008122583566454851
16.0,0.0,0.35350177304964536,0.010647090422388185
30.0,6.0,0.44698581560283684,0.007031891839780011
14.0,1.0,0.4633991894630193,0.01572146041908535
22.0,1.0,0.4745728562217924,0.009539337505991207
17.0,1.0,0.4011785565289946,0.011793133569478859
18.0,2.0,0.4966016548463357,0.012873159244262635
30.0,5.0,0.42384751773049645,0.006999262801166905
25.0,3.0,0.405531914893617,0.0076913837332127115
25.0,4.0,0.4349290780141844,0.008236697097731492
23.0,4.0,0.477104532839963,0.00993310362060691
22.0,1.0,0.33965989684074793,0.007717066792768231
28.0,3.0,0.43056610942249235,0.0069921042559734714
21.0,1.0,0.4950607902735562,0.010400814480512789
20.0,1.0,0.39968971631205674,0.009634212234671273
19.0,2.0,0.4870287420679358,0.0116880950659193
