Compacidad,Tolerancia,Disimilitud,Balance,init_cross
257.0,60.0,96.604609929078,182.8223900960716,random_dense+HUX
471.0,84.0,179.17109929078015,791.5106186497153,random_dense+HUX
252.0,48.0,100.0168439716312,231.5201063515419,random_dense+HUX
323.0,74.0,113.5372340425532,245.46669873245816,random_dense+HUX
375.0,79.0,154.18439716312056,730.2532317287865,random_dense+HUX
301.0,38.0,120.88475177304964,359.23139869724884,random_dense+HUX
482.0,102.0,175.36170212765958,709.489738946733,random_dense+HUX
247.0,59.0,98.15602836879432,214.50757004174852,random_dense+HUX
439.0,86.0,172.54078014184398,821.2501100296776,random_dense+HUX
348.0,76.0,118.8413120567376,244.8551372855993,random_dense+HUX
482.0,91.0,182.1631205673759,810.916654091847,random_dense+HUX
372.0,79.0,126.39804964539007,270.64918059328,random_dense+HUX
464.0,98.0,178.59663120567376,870.6005914881046,random_dense+HUX
303.0,71.0,126.20390070921984,477.33076492631176,random_dense+HUX
462.0,101.0,163.10638297872342,562.3078315980079,random_dense+HUX
408.0,83.0,138.8714539007092,345.4985468223439,random_dense+HUX
477.0,90.0,172.96099290780143,660.3424500779635,random_dense+HUX
314.0,51.0,111.7517730496454,226.3568230974296,random_dense+HUX
295.0,68.0,122.79875886524825,448.94265803405307,random_dense+HUX
268.0,54.0,100.70567375886525,194.36372667370912,random_dense+HUX
335.0,62.0,115.4104609929078,230.10900404280477,random_dense+HUX
370.0,51.0,133.61436170212767,355.1695455145616,random_dense+HUX
278.0,41.0,108.04875886524825,250.18822540993895,random_dense+HUX
381.0,81.0,131.31560283687944,307.524508324532,random_dense+HUX
277.0,66.0,115.58244680851064,369.78220961596526,random_dense+HUX
403.0,89.0,161.59308510638297,787.003746510488,random_dense+HUX
459.0,70.0,172.11524822695034,679.2349447965407,random_dense+HUX
376.0,57.0,151.2136524822695,634.4694235388062,random_dense+HUX
353.0,50.0,143.62322695035462,545.9741768208348,random_dense+HUX
308.0,70.0,127.92109929078016,527.2127463092905,random_dense+HUX
454.0,96.0,157.7136524822695,500.4206646735577,random_dense+HUX
357.0,65.0,147.52659574468086,609.2936189074996,random_dense+HUX
333.0,50.0,119.58333333333331,266.3583037825063,random_dense+HUX
452.0,89.0,155.15070921985816,477.6581377948796,random_dense+HUX
277.0,67.0,112.41312056737588,309.9959980634779,random_dense+HUX
418.0,86.0,163.88652482269504,723.8630099089592,random_dense+HUX
373.0,49.0,145.55939716312056,501.4397343883602,random_dense+HUX
261.0,48.0,107.29255319148936,287.1236324883057,random_dense+HUX
273.0,45.0,111.02570921985816,293.092424142397,random_dense+HUX
444.0,91.0,151.51418439716312,444.8100824908205,random_dense+HUX
354.0,76.0,147.27925531914894,668.3342505092807,random_dense+HUX
335.0,46.0,135.50177304964538,489.5177273527481,random_dense+HUX
280.0,64.0,110.46542553191487,277.19029396785874,random_dense+HUX
300.0,64.0,103.72517730496452,185.1053235501236,random_dense+HUX
309.0,57.0,128.4627659574468,479.2468405764294,random_dense+HUX
