init,Compacidad,Tolerancia,Disimilitud,Balance
random_dense,322.0,67.0,110.13829787234044,203.51988079070463
random_dense,266.0,60.0,95.63209219858156,170.59779987802432
random_dense,440.0,84.0,152.79166666666666,431.76954048463057
random_dense,240.0,56.0,93.33865248226952,192.3782222976712
random_dense,477.0,102.0,178.2065602836879,773.0628293031033
random_dense,426.0,88.0,147.74822695035462,396.33377345203945
random_dense,277.0,65.0,100.73936170212764,187.9533442734273
random_dense,452.0,95.0,176.73492907801418,861.5547374063171
random_dense,351.0,72.0,119.2349290780142,241.45633315099823
random_dense,310.0,68.0,129.1586879432624,512.8338606898544
random_dense,240.0,55.0,96.85106382978724,229.22604496755696
random_dense,303.0,69.0,126.23670212765956,483.8083338048886
random_dense,296.0,64.0,101.8563829787234,182.15667911573837
random_dense,466.0,86.0,170.13741134751774,603.7320046463949
random_dense,255.0,60.0,104.72251773049643,297.877790824154
random_dense,278.0,47.0,102.35017730496452,203.2027304650184
random_dense,254.0,61.0,101.88652482269504,252.2034354408733
random_dense,364.0,60.0,146.62322695035462,560.4050278846637
random_dense,429.0,70.0,163.69858156028369,613.4800689100144
random_dense,304.0,63.0,106.69237588652484,200.48426811402845
random_dense,241.0,50.0,91.41578014184395,176.81382900130782
random_dense,255.0,51.0,96.9255319148936,187.00154670288225
random_dense,345.0,50.0,136.5877659574468,443.2883964274933
random_dense,413.0,71.0,149.37234042553192,435.7088803380115
random_dense,328.0,59.0,134.40159574468086,458.1250683755847
random_dense,382.0,80.0,155.21808510638297,741.2219424324726
random_dense,320.0,68.0,134.2127659574468,572.2490568884868
random_dense,328.0,73.0,116.1586879432624,256.2221585621947
random_dense,280.0,68.0,116.17375886524825,370.0584603390178
random_dense,374.0,85.0,135.38297872340425,399.8923343896182
random_dense,386.0,71.0,134.0177304964539,319.9429480408438
random_dense,371.0,78.0,125.5895390070922,274.41574163145737
random_dense,421.0,97.0,155.6258865248227,555.9735142849958
random_dense,346.0,81.0,128.9095744680851,358.04146861324864
random_dense,254.0,51.0,104.1285460992908,274.8797524961018
