Compacidad,Tolerancia,Disimilitud,Balance,init_cross
471.0,100.0,177.34663120567376,911.5686765944868,random_dense+2P
245.0,37.0,95.74379432624112,232.36255014209576,random_dense+2P
230.0,43.0,86.25088652482269,177.31205595166244,random_dense+2P
226.0,40.0,85.85106382978724,183.0345556058548,random_dense+2P
467.0,102.0,176.49379432624113,895.1453515605361,random_dense+2P
349.0,75.0,139.4636524822695,487.23272141114654,random_dense+2P
433.0,98.0,168.0336879432624,758.3144679593587,random_dense+2P
444.0,93.0,172.1950354609929,875.5435214526427,random_dense+2P
238.0,42.0,92.34397163120568,205.863953020472,random_dense+2P
437.0,96.0,171.2331560283688,791.9784396848748,random_dense+2P
337.0,68.0,131.51861702127658,414.1858236192848,random_dense+2P
351.0,72.0,141.5168439716312,587.1912056423224,random_dense+2P
466.0,102.0,176.23847517730496,885.6621012210169,random_dense+2P
356.0,78.0,143.07890070921985,577.7925335433333,random_dense+2P
454.0,99.0,173.41046099290782,825.8678692910321,random_dense+2P
291.0,63.0,115.95212765957449,328.06863022483736,random_dense+2P
312.0,70.0,122.23581560283688,368.4940363915293,random_dense+2P
248.0,44.0,96.55496453900707,225.9331491122172,random_dense+2P
233.0,38.0,89.66755319148936,200.8779542968161,random_dense+2P
281.0,59.0,110.31028368794328,296.68031977767725,random_dense+2P
375.0,83.0,151.39361702127658,655.7918741512001,random_dense+2P
339.0,72.0,137.34840425531914,500.25184142522994,random_dense+2P
415.0,95.0,163.69769503546098,725.2197819211793,random_dense+2P
262.0,51.0,102.65070921985816,257.2077831849509,random_dense+2P
293.0,57.0,112.20124113475175,302.369962998592,random_dense+2P
396.0,87.0,156.89361702127658,706.428398973894,random_dense+2P
443.0,99.0,171.54609929078015,799.2265982596448,random_dense+2P
259.0,49.0,101.58156028368796,238.59441174991196,random_dense+2P
257.0,52.0,99.02393617021276,236.4222994001808,random_dense+2P
327.0,69.0,131.1790780141844,429.2374346109352,random_dense+2P
306.0,69.0,121.64095744680851,362.65388986343817,random_dense+2P
430.0,96.0,169.2677304964539,780.3148452039646,random_dense+2P
402.0,88.0,159.60283687943263,702.5195664202007,random_dense+2P
352.0,75.0,141.0868794326241,504.2974165031935,random_dense+2P
255.0,56.0,101.29521276595744,252.8711827561488,random_dense+2P
401.0,91.0,157.99822695035462,662.712762813743,random_dense+2P
315.0,66.0,123.2872340425532,369.4848724913234,random_dense+2P
413.0,87.0,164.0381205673759,733.706880155677,random_dense+2P
290.0,61.0,116.99202127659576,341.81287960238416,random_dense+2P
275.0,55.0,107.72163120567376,273.09626967959355,random_dense+2P
427.0,94.0,166.1418439716312,733.56498667069,random_dense+2P
296.0,60.0,118.73670212765956,375.7613479892867,random_dense+2P
230.0,40.0,87.3936170212766,186.61811528595135,random_dense+2P
341.0,73.0,135.05673758865248,450.4967808460337,random_dense+2P
233.0,39.0,89.14716312056737,191.5528111010515,random_dense+2P
343.0,74.0,135.46985815602838,451.3288787032846,random_dense+2P
436.0,97.0,170.20212765957447,796.466236607816,random_dense+2P
353.0,76.0,140.66666666666666,492.9243498817957,random_dense+2P
364.0,80.0,144.70124113475177,518.2165942042645,random_dense+2P
425.0,94.0,165.46453900709218,728.5111538654998,random_dense+2P
279.0,60.0,111.64893617021276,314.4689527689751,random_dense+2P
283.0,56.0,112.72517730496452,320.58050085508404,random_dense+2P
316.0,70.0,126.520390070922,421.4020665145114,random_dense+2P
318.0,71.0,125.71542553191487,387.6876343933909,random_dense+2P
391.0,81.0,153.38120567375887,573.996526205924,random_dense+2P
234.0,45.0,90.13475177304964,197.35772848448244,random_dense+2P
283.0,59.0,113.54078014184395,340.7501100296766,random_dense+2P
348.0,78.0,138.34574468085106,543.5577655802027,random_dense+2P
385.0,86.0,153.32358156028369,627.750791427744,random_dense+2P
412.0,90.0,160.48670212765958,672.3437947977964,random_dense+2P
333.0,77.0,133.09929078014184,447.3092902771488,random_dense+2P
442.0,98.0,171.70567375886526,805.8566344751267,random_dense+2P
456.0,101.0,173.49468085106383,834.5567092953066,random_dense+2P
289.0,63.0,115.2650709219858,324.1717586829138,random_dense+2P
450.0,99.0,172.9663120567376,813.2151771792171,random_dense+2P
276.0,55.0,108.1436170212766,275.2737003923345,random_dense+2P
446.0,93.0,173.16489361702128,883.4621717971928,random_dense+2P
291.0,65.0,117.49734042553192,335.111695054323,random_dense+2P
308.0,64.0,122.77216312056736,395.8355017038885,random_dense+2P
367.0,82.0,144.11170212765958,509.3563169609172,random_dense+2P
244.0,46.0,95.29698581560284,219.37367885795484,random_dense+2P
354.0,77.0,141.81028368794327,609.5952133946985,random_dense+2P
358.0,67.0,140.05141843971631,491.6782072078869,random_dense+2P
321.0,74.0,129.00886524822695,432.9112689251042,random_dense+2P
271.0,58.0,106.822695035461,291.514662240331,random_dense+2P
461.0,101.0,176.1427304964539,868.0709400621191,random_dense+2P
306.0,65.0,120.3581560283688,345.644773904733,random_dense+2P
407.0,89.0,161.01241134751774,679.0530374478159,random_dense+2P
385.0,88.0,153.0673758865248,613.591205170766,random_dense+2P
302.0,68.0,121.01773049645392,358.5776998138925,random_dense+2P
469.0,100.0,176.95390070921985,906.6326266284392,random_dense+2P
399.0,90.0,156.52216312056737,613.8718492216193,random_dense+2P
301.0,57.0,121.39716312056736,373.0621196116897,random_dense+2P
246.0,44.0,94.41312056737588,210.51018246064115,random_dense+2P
285.0,50.0,109.86258865248227,289.1291677669652,random_dense+2P
418.0,91.0,161.7322695035461,688.9354125798509,random_dense+2P
378.0,86.0,150.10283687943263,598.510701171973,random_dense+2P
322.0,68.0,128.3049645390071,399.9353654242746,random_dense+2P
270.0,50.0,107.45124113475175,299.90365094185466,random_dense+2P
254.0,51.0,100.99113475177305,241.75524055630976,random_dense+2P
384.0,83.0,154.3049645390071,675.7757909561892,random_dense+2P
325.0,72.0,130.75443262411346,443.1746257419143,random_dense+2P
433.0,98.0,168.50620567375887,761.1613090073445,random_dense+2P
391.0,85.0,154.38297872340425,606.2788592123134,random_dense+2P
363.0,78.0,144.75531914893617,558.0855213520442,random_dense+2P
282.0,46.0,109.58067375886525,292.85164777299894,random_dense+2P
334.0,71.0,129.4290780141844,406.5676651073888,random_dense+2P
358.0,79.0,143.23758865248226,565.8655374478142,random_dense+2P
409.0,90.0,161.87234042553192,717.1539157990032,random_dense+2P
237.0,49.0,91.92109929078016,215.8652285787944,random_dense+2P
333.0,76.0,134.1037234042553,473.1514754979633,random_dense+2P
