Compacidad,Tolerancia,Disimilitud,Balance,init_cross
9.0,1.0,4.584219858156028,2.774821909109209,greedy_multi+2P
7.0,1.0,3.469858156028369,1.651573738745537,greedy_multi+2P
8.0,1.0,4.064716312056738,1.8318047067551928,greedy_multi+2P
12.0,1.0,5.988475177304965,6.151462923142706,greedy_multi+2P
10.0,1.0,5.093971631205674,3.37414805593283,greedy_multi+2P
14.0,1.0,6.960992907801418,7.1545068155525176,greedy_multi+2P
12.0,1.0,6.11081560283688,3.820166710678522,greedy_multi+2P
11.0,2.0,5.560283687943262,2.47686233086867,greedy_multi+2P
18.0,2.0,8.926418439716311,8.598309158241548,greedy_multi+2P
15.0,2.0,7.49822695035461,6.886521678989996,greedy_multi+2P
21.0,1.0,10.356382978723405,9.52547344197981,greedy_multi+2P
18.0,2.0,8.84840425531915,6.382160574166281,greedy_multi+2P
16.0,3.0,7.653368794326241,3.655556027111316,greedy_multi+2P
14.0,2.0,6.62677304964539,3.0176165371460506,greedy_multi+2P
20.0,1.0,9.95744680851064,6.998189225894131,greedy_multi+2P
18.0,1.0,8.638297872340425,4.071299230421055,greedy_multi+2P
15.0,1.0,7.12677304964539,3.240134267642444,greedy_multi+2P
20.0,4.0,9.85904255319149,6.908322487550937,greedy_multi+2P
24.0,3.0,11.775709219858156,8.987814213319226,greedy_multi+2P
20.0,4.0,10.059397163120568,5.325372686233081,greedy_multi+2P
18.0,3.0,8.64804964539007,3.891201869875724,greedy_multi+2P
26.0,2.0,12.884751773049643,9.993810044766388,greedy_multi+2P
23.0,3.0,11.458333333333334,5.797909278959785,greedy_multi+2P
20.0,3.0,9.664893617021276,4.369973215633051,greedy_multi+2P
24.0,5.0,11.963652482269504,9.334671765756283,greedy_multi+2P
22.0,5.0,10.88386524822695,7.2533566910618195,greedy_multi+2P
28.0,5.0,14.043439716312056,10.720630721543216,greedy_multi+2P
25.0,5.0,12.078014184397164,7.692495347316556,greedy_multi+2P
22.0,5.0,10.720744680851064,5.132122849705765,greedy_multi+2P
27.0,4.0,13.492021276595745,8.709156198128879,greedy_multi+2P
23.0,4.0,11.312943262411348,5.431321833660289,greedy_multi+2P
27.0,6.0,13.47340425531915,8.860994794024368,greedy_multi+2P
