Compacidad,Tolerancia,Disimilitud,Balance,init_cross
8.0,1.0,3.782801418439716,1.8491013719128784,greedy_multi+HUX
9.0,1.0,4.523936170212766,2.1430440810321496,greedy_multi+HUX
15.0,1.0,7.375886524822695,7.376439816910599,greedy_multi+HUX
13.0,2.0,6.581560283687943,4.144057139982906,greedy_multi+HUX
16.0,1.0,8.065602836879433,7.293568608218894,greedy_multi+HUX
13.0,1.0,6.591312056737588,5.216839413258896,greedy_multi+HUX
12.0,1.0,5.997340425531915,2.7650638486494747,greedy_multi+HUX
20.0,2.0,10.125886524822697,11.55507456868369,greedy_multi+HUX
18.0,2.0,8.90868794326241,7.382619555102839,greedy_multi+HUX
16.0,2.0,7.302304964539007,3.94850532543633,greedy_multi+HUX
20.0,2.0,9.798758865248226,8.334502005683841,greedy_multi+HUX
18.0,3.0,8.611702127659575,4.760572280066344,greedy_multi+HUX
20.0,2.0,9.365248226950357,4.763756853277013,greedy_multi+HUX
22.0,3.0,11.084219858156027,9.515070136059562,greedy_multi+HUX
20.0,4.0,10.022163120567376,5.605005249987441,greedy_multi+HUX
26.0,4.0,13.109929078014185,12.143943966601272,greedy_multi+HUX
23.0,4.0,11.259751773049643,7.305755966752061,greedy_multi+HUX
20.0,3.0,9.365248226950357,5.501345505759281,greedy_multi+HUX
26.0,4.0,12.52659574468085,8.853902595442788,greedy_multi+HUX
34.0,6.0,16.73936170212766,15.382422287611366,greedy_multi+HUX
27.0,5.0,13.169326241134751,9.07150592902768,greedy_multi+HUX
25.0,5.0,12.115248226950357,7.42998025753242,greedy_multi+HUX
