Compacidad,Tolerancia,Disimilitud,Balance,init_cross
7.0,1.0,3.381205673758865,1.5816325889039693,greedy_multi+HUX
42.0,9.0,20.58421985815603,16.590424745988575,greedy_multi+HUX
14.0,2.0,7.1054964539007095,3.454296030129248,greedy_multi+HUX
20.0,4.0,10.14982269503546,5.044042521754446,greedy_multi+HUX
37.0,9.0,18.7686170212766,12.929617945525866,greedy_multi+HUX
38.0,9.0,19.27836879432624,14.131730672501352,greedy_multi+HUX
30.0,5.0,15.24290780141844,9.309790126251166,greedy_multi+HUX
28.0,6.0,14.212765957446807,7.873170363663797,greedy_multi+HUX
30.0,7.0,15.22163120567376,8.784212942004908,greedy_multi+HUX
31.0,6.0,15.734929078014185,9.414666484331788,greedy_multi+HUX
31.0,6.0,15.749113475177303,10.017729710527638,greedy_multi+HUX
29.0,5.0,14.733156028368796,8.596347486293459,greedy_multi+HUX
25.0,5.0,12.684397163120568,6.797557969921022,greedy_multi+HUX
34.0,7.0,17.27304964539007,12.106294954982117,greedy_multi+HUX
26.0,4.0,13.22163120567376,7.922510814345309,greedy_multi+HUX
27.0,6.0,13.712765957446807,7.640900860117715,greedy_multi+HUX
29.0,5.0,14.23936170212766,7.779585408178661,greedy_multi+HUX
35.0,8.0,17.756205673758867,11.59925226975503,greedy_multi+HUX
31.0,6.0,15.76063829787234,10.627103138675128,greedy_multi+HUX
34.0,8.0,17.249113475177303,11.031027582868068,greedy_multi+HUX
33.0,8.0,16.743794326241133,10.452975674010348,greedy_multi+HUX
36.0,7.0,18.28280141843972,13.848214847090183,greedy_multi+HUX
36.0,8.0,18.27304964539007,13.180763040088497,greedy_multi+HUX
31.0,6.0,15.75354609929078,10.056281751420936,greedy_multi+HUX
32.0,6.0,16.24645390070922,10.152026432272022,greedy_multi+HUX
31.0,6.0,15.747340425531917,9.94946101177004,greedy_multi+HUX
32.0,6.0,16.242021276595743,9.926354779689149,greedy_multi+HUX
32.0,6.0,16.25,10.22118794326241,greedy_multi+HUX
41.0,8.0,20.081560283687946,16.096184799557342,greedy_multi+HUX
34.0,7.0,17.249113475177303,10.88918361123686,greedy_multi+HUX
30.0,7.0,15.218971631205674,8.452937949549833,greedy_multi+HUX
34.0,8.0,17.26241134751773,11.729012625119491,greedy_multi+HUX
25.0,4.0,12.717198581560284,8.03083896056536,greedy_multi+HUX
31.0,7.0,15.740248226950357,9.577032562496802,greedy_multi+HUX
32.0,6.0,16.256205673758867,10.529216808762111,greedy_multi+HUX
32.0,7.0,16.23581560283688,9.671341356068607,greedy_multi+HUX
23.0,4.0,11.206560283687944,5.897935686082165,greedy_multi+HUX
31.0,5.0,15.747340425531917,9.87853902595444,greedy_multi+HUX
31.0,6.0,15.740248226950357,9.520294973844326,greedy_multi+HUX
39.0,8.0,19.0718085106383,13.963815169005636,greedy_multi+HUX
32.0,7.0,16.238475177304963,9.920966469241844,greedy_multi+HUX
23.0,4.0,11.673758865248226,6.272999346109336,greedy_multi+HUX
29.0,6.0,14.722517730496454,8.434528412806173,greedy_multi+HUX
32.0,6.0,16.2677304964539,11.378674991197675,greedy_multi+HUX
18.0,3.0,9.15691489361702,5.639384808359765,greedy_multi+HUX
31.0,7.0,15.75,10.256648936170214,greedy_multi+HUX
28.0,6.0,14.220744680851064,8.414924268145464,greedy_multi+HUX
29.0,6.0,14.71985815602837,8.169747497610773,greedy_multi+HUX
26.0,5.0,13.21631205673759,7.382287108294388,greedy_multi+HUX
35.0,8.0,17.75886524822695,11.714903676877434,greedy_multi+HUX
36.0,7.0,18.27482269503546,13.232983124591309,greedy_multi+HUX
31.0,7.0,15.72163120567376,8.943787410090039,greedy_multi+HUX
28.0,5.0,14.22340425531915,8.021012524520923,greedy_multi+HUX
31.0,6.0,15.7322695035461,9.226192721694108,greedy_multi+HUX
27.0,5.0,13.718971631205674,7.735739367989549,greedy_multi+HUX
31.0,7.0,15.7322695035461,9.321937402545167,greedy_multi+HUX
30.0,6.0,15.250886524822697,9.781914107690746,greedy_multi+HUX
25.0,5.0,12.691489361702128,6.80907650520597,greedy_multi+HUX
35.0,7.0,17.50354609929078,11.171973240782666,greedy_multi+HUX
32.0,7.0,16.236702127659573,9.73741181907364,greedy_multi+HUX
32.0,7.0,16.23936170212766,9.921429379809876,greedy_multi+HUX
33.0,7.0,16.73936170212766,10.208663422363076,greedy_multi+HUX
35.0,7.0,17.75177304964539,11.381645792465177,greedy_multi+HUX
27.0,5.0,13.724290780141844,8.235154638851192,greedy_multi+HUX
30.0,6.0,15.22340425531915,8.73023238267698,greedy_multi+HUX
34.0,7.0,17.26241134751773,11.51979276696346,greedy_multi+HUX
28.0,5.0,14.229609929078014,8.506676443589354,greedy_multi+HUX
10.0,1.0,5.091312056737588,2.620208207585133,greedy_multi+HUX
31.0,5.0,15.75,10.019060283687944,greedy_multi+HUX
34.0,8.0,17.25354609929078,11.1413881343997,greedy_multi+HUX
33.0,6.0,16.763297872340427,11.295922457371525,greedy_multi+HUX
32.0,7.0,16.247340425531913,10.242900728082065,greedy_multi+HUX
30.0,6.0,15.23936170212766,9.322138599668024,greedy_multi+HUX
25.0,4.0,12.706560283687944,7.148822210904858,greedy_multi+HUX
25.0,5.0,12.709219858156027,7.24878024244251,greedy_multi+HUX
31.0,7.0,15.72872340425532,9.15690546250194,greedy_multi+HUX
31.0,6.0,15.736702127659576,9.44397210276136,greedy_multi+HUX
19.0,3.0,9.650709219858156,5.087215809063943,greedy_multi+HUX
29.0,6.0,14.7322695035461,9.009880664956524,greedy_multi+HUX
33.0,8.0,16.749113475177303,10.746453114782968,greedy_multi+HUX
31.0,6.0,15.74290780141844,9.70695324681862,greedy_multi+HUX
34.0,7.0,16.784574468085108,10.387102478497075,greedy_multi+HUX
32.0,6.0,15.773936170212766,9.252973159046329,greedy_multi+HUX
25.0,4.0,12.702127659574469,6.9963784517881455,greedy_multi+HUX
32.0,6.0,16.24290780141844,9.994187289371729,greedy_multi+HUX
33.0,7.0,16.74290780141844,10.362981615612949,greedy_multi+HUX
29.0,5.0,14.74113475177305,9.046463960565385,greedy_multi+HUX
37.0,8.0,18.30762411347518,12.457672369347698,greedy_multi+HUX
27.0,5.0,13.702127659574469,7.322619586539921,greedy_multi+HUX
28.0,6.0,14.215425531914894,7.903059925305556,greedy_multi+HUX
38.0,8.0,18.81737588652482,13.640407298425666,greedy_multi+HUX
34.0,7.0,17.259751773049647,11.40150064760323,greedy_multi+HUX
27.0,4.0,13.720744680851064,7.779285970273128,greedy_multi+HUX
15.0,2.0,7.446808510638298,4.853553644182909,greedy_multi+HUX
36.0,8.0,18.26595744680851,12.43635883506861,greedy_multi+HUX
38.0,8.0,19.02304964539007,13.65195098335092,greedy_multi+HUX
36.0,8.0,18.272163120567377,12.744189647150572,greedy_multi+HUX
35.0,8.0,17.29787234042553,11.294250792213674,greedy_multi+HUX
34.0,7.0,17.266843971631207,11.798475145867917,greedy_multi+HUX
32.0,7.0,16.24290780141844,10.20340714752776,greedy_multi+HUX
28.0,6.0,14.22163120567376,8.70265265831696,greedy_multi+HUX
28.0,6.0,14.199468085106384,7.604716029123272,greedy_multi+HUX
33.0,7.0,16.759751773049647,11.067280789447189,greedy_multi+HUX
37.0,8.0,18.788120567375888,14.768050368442246,greedy_multi+HUX
30.0,6.0,15.229609929078014,8.74249204642623,greedy_multi+HUX
26.0,5.0,12.722517730496454,6.913251817061494,greedy_multi+HUX
30.0,6.0,15.222517730496454,8.660592242593424,greedy_multi+HUX
29.0,6.0,14.72872340425532,8.568252980232423,greedy_multi+HUX
30.0,6.0,15.256205673758863,11.385599787485525,greedy_multi+HUX
38.0,8.0,18.81294326241135,13.437527507419157,greedy_multi+HUX
33.0,6.0,16.75886524822695,11.034052613047658,greedy_multi+HUX
22.0,4.0,11.185283687943262,6.111946550726861,greedy_multi+HUX
30.0,5.0,15.240248226950357,9.30841554122026,greedy_multi+HUX
30.0,7.0,14.750886524822697,7.910460206981549,greedy_multi+HUX
28.0,5.0,14.23049645390071,8.521339469845561,greedy_multi+HUX
30.0,6.0,15.243794326241137,9.352798369045807,greedy_multi+HUX
29.0,6.0,14.731382978723405,8.964192413610956,greedy_multi+HUX
24.0,5.0,12.202127659574469,6.842123132639195,greedy_multi+HUX
28.0,6.0,14.218971631205674,8.23839894245763,greedy_multi+HUX
30.0,6.0,14.761524822695035,8.202881362858939,greedy_multi+HUX
27.0,5.0,13.710106382978724,7.372521974498269,greedy_multi+HUX
29.0,6.0,14.713652482269504,8.060735595543411,greedy_multi+HUX
33.0,8.0,16.73581560283688,10.142972561742406,greedy_multi+HUX
33.0,8.0,16.73936170212766,10.417883280519106,greedy_multi+HUX
35.0,7.0,17.76950354609929,12.588715356370349,greedy_multi+HUX
32.0,7.0,15.765070921985815,9.362361519792772,greedy_multi+HUX
26.0,5.0,13.209219858156027,7.176085206981521,greedy_multi+HUX
33.0,6.0,16.76241134751773,11.287523263417311,greedy_multi+HUX
36.0,8.0,17.79787234042553,11.657725969518626,greedy_multi+HUX
33.0,7.0,16.75709219858156,10.940995800010016,greedy_multi+HUX
33.0,6.0,16.752659574468087,10.68439008978419,greedy_multi+HUX
31.0,6.0,15.73936170212766,9.453344273426918,greedy_multi+HUX
31.0,7.0,15.726063829787234,8.970171740606592,greedy_multi+HUX
35.0,8.0,17.772163120567377,12.968480427292358,greedy_multi+HUX
32.0,6.0,16.252659574468087,10.499106401840969,greedy_multi+HUX
33.0,7.0,16.74645390070922,10.428622176952882,greedy_multi+HUX
27.0,4.0,13.731382978723405,8.554617945525852,greedy_multi+HUX
30.0,5.0,15.250886524822697,9.746453114782948,greedy_multi+HUX
35.0,7.0,17.782801418439718,14.008675839997982,greedy_multi+HUX
29.0,7.0,14.709219858156027,7.879985916201365,greedy_multi+HUX
31.0,7.0,15.729609929078014,9.22742112444043,greedy_multi+HUX
19.0,3.0,9.664893617021276,5.802597329108228,greedy_multi+HUX
35.0,7.0,17.765070921985817,12.018389888587109,greedy_multi+HUX
32.0,7.0,16.252659574468087,10.566482288365814,greedy_multi+HUX
27.0,6.0,13.695035460992909,7.626854785976544,greedy_multi+HUX
35.0,8.0,17.763297872340427,11.989184868719043,greedy_multi+HUX
36.0,8.0,18.279255319148938,13.43886043835823,greedy_multi+HUX
29.0,7.0,14.711879432624114,8.573901432272049,greedy_multi+HUX
32.0,6.0,16.26063829787234,10.942705975554585,greedy_multi+HUX
29.0,7.0,14.71808510638298,8.881516900558303,greedy_multi+HUX
31.0,6.0,15.266843971631204,8.752375855087786,greedy_multi+HUX
36.0,8.0,18.28368794326241,14.415975051556751,greedy_multi+HUX
33.0,8.0,16.74645390070922,10.63074983652735,greedy_multi+HUX
33.0,7.0,16.752659574468087,10.741127678436689,greedy_multi+HUX
30.0,6.0,15.233156028368796,9.003262379910447,greedy_multi+HUX
35.0,7.0,17.772163120567377,12.713161278356193,greedy_multi+HUX
32.0,6.0,16.263297872340427,11.007801889995363,greedy_multi+HUX
31.0,7.0,15.74468085106383,9.970273125094264,greedy_multi+HUX
32.0,7.0,16.22872340425532,9.43704730647349,greedy_multi+HUX
36.0,8.0,18.0177304964539,12.269189175594812,greedy_multi+HUX
37.0,8.0,18.77570921985816,13.617246837432702,greedy_multi+HUX
29.0,6.0,14.743794326241137,9.250848014435867,greedy_multi+HUX
34.0,6.0,17.273936170212767,12.791093726422185,greedy_multi+HUX
28.0,6.0,14.202127659574469,7.849215331220749,greedy_multi+HUX
33.0,7.0,16.75177304964539,10.700794728635389,greedy_multi+HUX
30.0,6.0,15.24645390070922,9.535005155676266,greedy_multi+HUX
29.0,5.0,14.73581560283688,8.781270434082826,greedy_multi+HUX
