Compacidad,Tolerancia,Disimilitud,Balance,init_cross
298.0,71.0,121.20390070921984,287.4016869121268,random_dense+HUX
404.0,96.0,161.7535460992908,554.0385512549682,random_dense+HUX
375.0,92.0,152.4636524822695,458.5855582905786,random_dense+HUX
354.0,89.0,147.53900709219857,429.6562798651978,random_dense+HUX
349.0,85.0,144.8076241134752,404.3184879721848,random_dense+HUX
356.0,86.0,146.65336879432624,410.2566198568984,random_dense+HUX
356.0,89.0,148.4618794326241,440.16166738971856,random_dense+HUX
354.0,86.0,146.79078014184398,417.6689930084,random_dense+HUX
347.0,83.0,143.5673758865248,388.7383682913341,random_dense+HUX
350.0,87.0,145.08599290780143,404.99703784392153,random_dense+HUX
353.0,86.0,146.17730496453902,409.8976409637338,random_dense+HUX
339.0,83.0,140.04609929078015,367.5758890397863,random_dense+HUX
355.0,85.0,146.16578014184398,402.9787226183295,random_dense+HUX
354.0,87.0,145.854609929078,407.47531562798736,random_dense+HUX
356.0,85.0,147.0709219858156,412.3637643981694,random_dense+HUX
353.0,85.0,146.29964539007094,412.030780016096,random_dense+HUX
349.0,84.0,144.3741134751773,394.71819513605976,random_dense+HUX
358.0,89.0,148.05939716312056,427.91402516850303,random_dense+HUX
356.0,87.0,146.43439716312056,406.71200832453127,random_dense+HUX
351.0,87.0,145.79787234042553,412.4272295156181,random_dense+HUX
358.0,87.0,148.3386524822695,428.09453435440906,random_dense+HUX
357.0,89.0,147.8076241134752,427.0826723693477,random_dense+HUX
359.0,88.0,148.1799645390071,427.80360567250113,random_dense+HUX
354.0,87.0,146.23936170212767,408.97462086917136,random_dense+HUX
349.0,83.0,144.1285460992908,390.305284410996,random_dense+HUX
357.0,88.0,148.2677304964539,432.3183913032542,random_dense+HUX
357.0,87.0,146.86436170212767,409.4115667911571,random_dense+HUX
355.0,86.0,147.56117021276594,424.6646979213818,random_dense+HUX
348.0,83.0,144.18971631205673,393.6767736783863,random_dense+HUX
358.0,89.0,147.38918439716312,417.8245993347919,random_dense+HUX
357.0,87.0,147.52482269503545,419.19973844373976,random_dense+HUX
351.0,87.0,145.3909574468085,406.30903170740913,random_dense+HUX
356.0,88.0,147.80585106382978,426.291206899804,random_dense+HUX
353.0,86.0,146.75620567375887,420.87407496478926,random_dense+HUX
343.0,82.0,142.0168439716312,379.9066311742373,random_dense+HUX
329.0,81.0,135.56914893617022,343.4420269352644,random_dense+HUX
348.0,87.0,145.1258865248227,417.4770603842861,random_dense+HUX
345.0,81.0,143.24024822695034,390.7765006476034,random_dense+HUX
348.0,84.0,144.1631205673759,395.7748101202161,random_dense+HUX
334.0,83.0,138.66400709219857,375.7745201134252,random_dense+HUX
356.0,88.0,146.49822695035462,409.12765643076335,random_dense+HUX
346.0,84.0,144.4654255319149,405.7612159536742,random_dense+HUX
357.0,82.0,147.56294326241135,420.2300806989087,random_dense+HUX
351.0,83.0,145.27393617021278,401.86556181152855,random_dense+HUX
346.0,83.0,143.83510638297872,400.2494058397464,random_dense+HUX
350.0,87.0,145.26507092198582,410.3845246403603,random_dense+HUX
357.0,89.0,146.88652482269504,420.22116593732704,random_dense+HUX
368.0,90.0,151.40070921985816,455.8075172275032,random_dense+HUX
353.0,86.0,145.99024822695034,407.1727772433474,random_dense+HUX
368.0,88.0,151.06560283687944,442.7049161259488,random_dense+HUX
370.0,87.0,150.59574468085106,439.3117549419042,random_dense+HUX
337.0,84.0,139.42730496453902,377.0620913183438,random_dense+HUX
356.0,86.0,147.24468085106383,415.9188546853772,random_dense+HUX
358.0,85.0,148.75797872340425,431.8004682548663,random_dense+HUX
360.0,88.0,148.27925531914894,426.3289313603443,random_dense+HUX
360.0,88.0,147.33953900709218,413.343046595996,random_dense+HUX
348.0,86.0,143.69414893617022,391.4623061905837,random_dense+HUX
351.0,86.0,144.9450354609929,402.2239292540619,random_dense+HUX
371.0,89.0,152.37234042553192,457.0493058699263,random_dense+HUX
345.0,85.0,143.75975177304966,399.913025470298,random_dense+HUX
348.0,83.0,145.09574468085106,408.320620190132,random_dense+HUX
352.0,86.0,145.33333333333334,403.2364066193833,random_dense+HUX
352.0,87.0,146.86968085106383,423.5796481250952,random_dense+HUX
329.0,80.0,135.7340425531915,361.8902595442892,random_dense+HUX
351.0,84.0,144.43173758865248,390.67087215809113,random_dense+HUX
344.0,87.0,142.3315602836879,385.9468053669334,random_dense+HUX
346.0,83.0,143.43528368794327,389.1908472599474,random_dense+HUX
358.0,87.0,148.48138297872342,430.3312136902076,random_dense+HUX
351.0,85.0,145.7668439716312,410.95184394019367,random_dense+HUX
353.0,87.0,146.81826241134752,422.2125388247577,random_dense+HUX
350.0,81.0,144.61790780141845,394.5215587432727,random_dense+HUX
362.0,86.0,149.43085106382978,432.4916723253357,random_dense+HUX
363.0,87.0,148.66666666666666,422.6406619385323,random_dense+HUX
350.0,87.0,144.61436170212767,402.7174178549878,random_dense+HUX
345.0,85.0,143.44326241134752,393.3354333283037,random_dense+HUX
344.0,84.0,143.31205673758865,397.2714149187673,random_dense+HUX
361.0,86.0,148.8581560283688,426.6252703586336,random_dense+HUX
358.0,86.0,147.10283687943263,414.5674387606256,random_dense+HUX
339.0,81.0,140.88918439716312,387.54534401564354,random_dense+HUX
352.0,87.0,145.61613475177305,407.8872219392888,random_dense+HUX
341.0,84.0,140.54078014184398,376.5479823701021,random_dense+HUX
353.0,86.0,146.09840425531914,408.9610612833861,random_dense+HUX
346.0,84.0,142.7127659574468,384.3004753282031,random_dense+HUX
367.0,88.0,151.8590425531915,458.3444927003172,random_dense+HUX
360.0,87.0,148.72517730496455,426.7046143302595,random_dense+HUX
348.0,85.0,144.52304964539007,401.7937949549823,random_dense+HUX
359.0,90.0,148.70212765957447,434.2765202957606,random_dense+HUX
355.0,84.0,147.27836879432624,418.96861010512526,random_dense+HUX
348.0,82.0,143.89716312056737,390.2021905336753,random_dense+HUX
367.0,89.0,149.26329787234042,427.78971678361216,random_dense+HUX
357.0,88.0,147.14804964539007,415.2484713734223,random_dense+HUX
359.0,88.0,147.95035460992906,421.3521452643217,random_dense+HUX
