Compacidad,Tolerancia,Disimilitud,Balance,init_cross
281.0,61.0,104.02127659574468,309.33288063980655,greedy_ting+1P
328.0,58.0,125.06560283687944,533.2332849202755,greedy_ting+1P
323.0,68.0,118.36524822695036,340.43751571852505,greedy_ting+1P
425.0,70.0,155.16666666666666,586.5856973995278,greedy_ting+1P
376.0,49.0,141.43528368794327,491.0029039975356,greedy_ting+1P
312.0,68.0,113.46897163120568,306.0788244743726,greedy_ting+1P
164.0,14.0,64.84308510638297,229.58973941828887,greedy_ting+1P
338.0,55.0,125.81205673758863,418.1384361953623,greedy_ting+1P
373.0,75.0,143.84840425531914,636.0825151840951,greedy_ting+1P
363.0,69.0,139.68617021276594,617.5469009355667,greedy_ting+1P
348.0,42.0,135.06826241134752,547.5636026545441,greedy_ting+1P
265.0,49.0,98.1099290780142,195.37444042050228,greedy_ting+1P
137.0,5.0,54.81294326241135,189.73185374855385,greedy_ting+1P
154.0,19.0,63.04698581560284,263.888749779941,greedy_ting+1P
180.0,10.0,73.49556737588652,358.5957250326949,greedy_ting+1P
337.0,62.0,129.24290780141845,517.2636908354713,greedy_ting+1P
369.0,74.0,142.74468085106383,557.870982344952,greedy_ting+1P
361.0,53.0,139.04255319148936,519.8598913535529,greedy_ting+1P
350.0,67.0,134.18439716312056,481.3170615160191,greedy_ting+1P
259.0,26.0,100.57712765957449,367.4532711822849,greedy_ting+1P
120.0,7.0,48.38475177304964,147.19239160504995,greedy_ting+1P
214.0,8.0,88.4645390070922,414.85512549670494,greedy_ting+1P
265.0,26.0,105.10549645390071,394.93656553367526,greedy_ting+1P
149.0,10.0,60.915780141843975,216.1817368027264,greedy_ting+1P
175.0,20.0,71.46719858156028,331.59821484708965,greedy_ting+1P
178.0,17.0,70.32978723404256,254.87705598309967,greedy_ting+1P
420.0,82.0,156.47695035460993,652.7867027563996,greedy_ting+1P
354.0,70.0,132.39007092198582,443.4364971580905,greedy_ting+1P
356.0,58.0,130.11968085106383,398.72237862154776,greedy_ting+1P
222.0,39.0,83.34042553191489,236.72453598913543,greedy_ting+1P
242.0,44.0,90.104609929078,214.0528865499724,greedy_ting+1P
331.0,47.0,128.16932624113474,489.7683144396661,greedy_ting+1P
144.0,26.0,54.20478723404256,104.58483523841848,greedy_ting+1P
262.0,34.0,99.5,285.2748226950355,greedy_ting+1P
283.0,51.0,109.29875886524825,500.2236864028464,greedy_ting+1P
399.0,83.0,146.32624113475177,521.946758211358,greedy_ting+1P
280.0,55.0,104.16134751773048,215.9881513756852,greedy_ting+1P
252.0,50.0,92.53989361702128,225.92394041421437,greedy_ting+1P
164.0,15.0,66.48936170212765,298.20733363512915,greedy_ting+1P
400.0,65.0,151.76507092198582,624.4687444985158,greedy_ting+1P
295.0,63.0,109.34663120567376,359.8523645377495,greedy_ting+1P
313.0,34.0,119.12588652482268,361.12954265378943,greedy_ting+1P
134.0,20.0,55.312056737588655,223.49481917408644,greedy_ting+1P
358.0,79.0,127.7836879432624,385.4177481012014,greedy_ting+1P
320.0,40.0,121.54875886524825,444.533083565968,greedy_ting+1P
215.0,19.0,83.60726950354609,216.91934431743863,greedy_ting+1P
344.0,61.0,126.17641843971631,346.8935219241989,greedy_ting+1P
140.0,6.0,57.020390070921984,289.7877048123833,greedy_ting+1P
120.0,17.0,48.15159574468085,122.2810967443789,greedy_ting+1P
205.0,8.0,83.45833333333333,328.634788711583,greedy_ting+1P
320.0,40.0,121.08687943262412,352.8222391982296,greedy_ting+1P
350.0,63.0,127.66932624113475,388.3826761417931,greedy_ting+1P
287.0,42.0,113.61524822695036,489.6356540163983,greedy_ting+1P
371.0,63.0,144.3918439716312,632.8145434082793,greedy_ting+1P
268.0,43.0,103.70212765957449,422.4715557567527,greedy_ting+1P
253.0,30.0,100.34397163120568,412.4490594034515,greedy_ting+1P
231.0,47.0,85.62588652482269,198.88840790201692,greedy_ting+1P
233.0,27.0,89.30319148936171,203.31233023992743,greedy_ting+1P
210.0,34.0,79.8767730496454,252.24988604069227,greedy_ting+1P
344.0,57.0,130.59751773049646,552.5862349730894,greedy_ting+1P
196.0,26.0,78.68439716312056,341.19826718978004,greedy_ting+1P
169.0,14.0,66.77482269503547,187.35355050047795,greedy_ting+1P
394.0,73.0,144.59308510638297,554.8884982835358,greedy_ting+1P
270.0,20.0,106.59929078014184,456.2507796388508,greedy_ting+1P
336.0,58.0,123.32535460992908,322.02269047708955,greedy_ting+1P
290.0,54.0,112.60017730496452,467.8516666352348,greedy_ting+1P
421.0,87.0,158.8927304964539,674.8298053103463,greedy_ting+1P
147.0,23.0,57.487588652482266,182.3509097882424,greedy_ting+1P
240.0,38.0,90.395390070922,325.4216808762135,greedy_ting+1P
339.0,44.0,126.8581560283688,425.8947739047326,greedy_ting+1P
314.0,59.0,120.50797872340424,395.7020639995481,greedy_ting+1P
292.0,36.0,108.81382978723404,309.02207824053136,greedy_ting+1P
320.0,56.0,119.06382978723404,358.0278406518788,greedy_ting+1P
283.0,60.0,103.11702127659576,268.85864644635586,greedy_ting+1P
284.0,38.0,106.4609929078014,276.1350032694536,greedy_ting+1P
301.0,37.0,116.46985815602837,416.7366801217247,greedy_ting+1P
390.0,53.0,145.74468085106383,518.757507167647,greedy_ting+1P
362.0,72.0,131.24202127659575,387.6940852761429,greedy_ting+1P
300.0,62.0,108.60726950354608,265.7792733954528,greedy_ting+1P
382.0,69.0,139.68971631205673,483.4108162315782,greedy_ting+1P
215.0,25.0,84.15336879432624,315.0997049632812,greedy_ting+1P
336.0,72.0,120.58421985815605,348.0514176537895,greedy_ting+1P
167.0,20.0,67.76241134751773,293.4293672350491,greedy_ting+1P
205.0,33.0,78.4645390070922,317.9402318796838,greedy_ting+1P
235.0,13.0,95.57180851063828,444.0072548853173,greedy_ting+1P
309.0,47.0,115.97251773049643,320.2182163560687,greedy_ting+1P
160.0,21.0,61.986702127659576,146.55567423042086,greedy_ting+1P
372.0,66.0,137.24202127659575,541.275645559831,greedy_ting+1P
268.0,28.0,101.88031914893617,320.4776977704838,greedy_ting+1P
212.0,22.0,85.42464539007092,361.6680805480093,greedy_ting+1P
314.0,52.0,121.1622340425532,550.1022262147281,greedy_ting+1P
137.0,9.0,55.9459219858156,234.9394514549065,greedy_ting+1P
427.0,77.0,154.95478723404256,573.4208281462206,greedy_ting+1P
278.0,33.0,108.95301418439716,399.49867885795487,greedy_ting+1P
405.0,81.0,149.80939716312056,580.6223585018354,greedy_ting+1P
385.0,73.0,145.71985815602838,598.4321588451274,greedy_ting+1P
