Compacidad,Tolerancia,Disimilitud,Balance,init_cross
328.0,72.0,130.34663120567376,445.2938538994516,random_dense+2P
433.0,86.0,166.21453900709218,809.1312779789761,random_dense+2P
350.0,61.0,137.16578014184398,492.6755311289674,random_dense+2P
354.0,65.0,141.5381205673759,605.9205326379457,random_dense+2P
419.0,82.0,155.62322695035462,546.1514817853729,random_dense+2P
359.0,59.0,140.46453900709218,544.2912957094729,random_dense+2P
428.0,79.0,159.18617021276594,600.5185321412401,random_dense+2P
290.0,59.0,117.54964539007092,495.02058498063417,random_dense+2P
368.0,79.0,143.05939716312056,622.3271457358795,random_dense+2P
336.0,69.0,131.79609929078015,548.7917578341131,random_dense+2P
412.0,91.0,155.57269503546098,564.1046445098335,random_dense+2P
407.0,70.0,157.25886524822695,719.3797972938982,random_dense+2P
303.0,66.0,118.8900709219858,396.0411070871683,random_dense+2P
276.0,57.0,111.47163120567376,344.64635833207586,random_dense+2P
429.0,91.0,162.54432624113474,680.6256947588153,random_dense+2P
437.0,94.0,165.53191489361703,689.280896333183,random_dense+2P
369.0,59.0,145.57358156028369,613.2463588036325,random_dense+2P
329.0,57.0,132.16666666666666,513.9651300236392,random_dense+2P
308.0,59.0,120.68439716312056,385.86138775715614,random_dense+2P
281.0,47.0,110.23049645390071,308.41495649112244,random_dense+2P
390.0,88.0,151.29255319148936,614.893136034405,random_dense+2P
444.0,84.0,166.1578014184397,705.4325455208486,random_dense+2P
344.0,72.0,138.26063829787233,590.5880960464772,random_dense+2P
401.0,88.0,149.13652482269504,517.4494460791714,random_dense+2P
375.0,82.0,142.0345744680851,463.24259893239787,random_dense+2P
395.0,68.0,154.10638297872342,707.7440018107737,random_dense+2P
386.0,78.0,143.8209219858156,471.9608388662545,random_dense+2P
305.0,63.0,123.73936170212764,431.1448336351288,random_dense+2P
339.0,69.0,135.1258865248227,627.3600391076914,random_dense+2P
380.0,76.0,150.2065602836879,654.1266590903377,random_dense+2P
313.0,48.0,123.95212765957449,389.6927437000149,random_dense+2P
317.0,54.0,125.70744680851064,433.54916440319874,random_dense+2P
380.0,71.0,147.3200354609929,555.0580382966149,random_dense+2P
298.0,55.0,118.03014184397163,315.57710565363953,random_dense+2P
328.0,70.0,131.68705673758865,511.89408779110704,random_dense+2P
349.0,70.0,137.61347517730496,500.0456340224343,random_dense+2P
303.0,63.0,121.45921985815605,484.67918804386056,random_dense+2P
304.0,70.0,122.55673758865248,393.7432347467428,random_dense+2P
339.0,66.0,131.3785460992908,388.1696461131232,random_dense+2P
340.0,71.0,134.5815602836879,515.4951209697696,random_dense+2P
316.0,68.0,123.31737588652484,343.7857973693477,random_dense+2P
325.0,49.0,129.3413120567376,428.5049599806345,random_dense+2P
353.0,72.0,133.64361702127658,411.298523087371,random_dense+2P
379.0,72.0,150.14982269503545,649.7178013870029,random_dense+2P
337.0,70.0,134.20124113475177,482.69620413334417,random_dense+2P
396.0,81.0,153.56382978723406,682.1891881696084,random_dense+2P
302.0,59.0,123.1063829787234,516.8220159951705,random_dense+2P
389.0,83.0,146.77393617021278,512.5597107476989,random_dense+2P
329.0,74.0,129.7287234042553,509.4051324128568,random_dense+2P
371.0,69.0,141.5744680851064,452.9465821638752,random_dense+2P
357.0,66.0,140.74556737588654,547.9255122667371,random_dense+2P
406.0,81.0,155.00620567375887,627.554039503796,random_dense+2P
359.0,77.0,142.27482269503545,598.8854653940931,random_dense+2P
383.0,64.0,148.5505319148936,555.2953188660034,random_dense+2P
393.0,70.0,150.82269503546098,556.6174991197622,random_dense+2P
377.0,84.0,146.2863475177305,569.9419412693014,random_dense+2P
374.0,84.0,145.5434397163121,616.5459853314717,random_dense+2P
297.0,55.0,120.9308510638298,471.2186226799449,random_dense+2P
441.0,89.0,164.8049645390071,675.706642020019,random_dense+2P
360.0,68.0,143.45567375886526,622.9200209999491,random_dense+2P
369.0,78.0,141.79255319148936,475.1484551833408,random_dense+2P
327.0,60.0,132.13918439716312,569.082578058196,random_dense+2P
386.0,82.0,150.03102836879432,624.746377665861,random_dense+2P
326.0,57.0,128.9822695035461,480.8188345656662,random_dense+2P
309.0,70.0,119.46897163120568,337.3873351126708,random_dense+2P
348.0,69.0,139.3909574468085,588.933145182586,random_dense+2P
436.0,82.0,166.1037234042553,781.7826811717208,random_dense+2P
316.0,70.0,124.99024822695036,399.2561105766817,random_dense+2P
344.0,64.0,136.1445035460993,535.8753953209083,random_dense+2P
421.0,77.0,161.48492907801418,690.7338154205002,random_dense+2P
353.0,75.0,139.99024822695034,569.7330609312907,random_dense+2P
371.0,67.0,142.93794326241135,541.6379929329518,random_dense+2P
314.0,66.0,124.3209219858156,451.4324700719273,random_dense+2P
356.0,61.0,138.80230496453902,520.4618031977769,random_dense+2P
380.0,61.0,146.10638297872342,513.4177606760221,random_dense+2P
344.0,72.0,130.66755319148936,394.75915997057496,random_dense+2P
389.0,77.0,151.8590425531915,709.1991026293953,random_dense+2P
379.0,81.0,147.04078014184398,602.601173859464,random_dense+2P
340.0,69.0,136.20744680851064,574.0278878074545,random_dense+2P
422.0,85.0,162.38297872340425,731.0944620491917,random_dense+2P
344.0,81.0,135.40691489361703,509.353037290629,random_dense+2P
434.0,92.0,164.83953900709218,737.3332948229468,random_dense+2P
402.0,65.0,152.23847517730496,559.211746611086,random_dense+2P
372.0,84.0,141.89007092198582,520.0872063779473,random_dense+2P
446.0,94.0,169.55851063829786,772.4469311151332,random_dense+2P
321.0,64.0,124.51595744680851,365.9820148634373,random_dense+2P
399.0,81.0,154.54432624113474,728.0512266737077,random_dense+2P
314.0,60.0,124.09663120567376,441.0961588639908,random_dense+2P
381.0,88.0,147.62322695035462,545.3784321399835,random_dense+2P
392.0,81.0,145.39361702127658,478.0862003923335,random_dense+2P
426.0,86.0,163.1790780141844,765.9324700719271,random_dense+2P
325.0,67.0,131.03102836879432,596.4963776658627,random_dense+2P
428.0,84.0,163.18617021276594,691.2348441979785,random_dense+2P
418.0,81.0,160.4804964539007,721.0953642925407,random_dense+2P
284.0,56.0,114.86170212765956,436.7964765353856,random_dense+2P
307.0,51.0,122.75620567375888,370.891805461243,random_dense+2P
403.0,77.0,152.74024822695034,541.383770151148,random_dense+2P
414.0,72.0,158.62322695035462,682.4546732747357,random_dense+2P
419.0,91.0,158.0212765957447,587.7832352497355,random_dense+2P
333.0,60.0,132.95478723404256,430.82862956465993,random_dense+2P
347.0,56.0,136.19769503546098,549.2082570984854,random_dense+2P
374.0,81.0,145.63652482269504,536.8146943061217,random_dense+2P
343.0,50.0,132.8537234042553,430.3270074128561,random_dense+2P
360.0,67.0,138.57624113475177,497.70695324681935,random_dense+2P
355.0,78.0,137.2695035460993,488.9663749308386,random_dense+2P
393.0,82.0,149.6241134751773,544.0076454906691,random_dense+2P
372.0,64.0,147.40514184397162,604.1133423557668,random_dense+2P
372.0,64.0,144.54166666666666,579.1950723995269,random_dense+2P
447.0,89.0,167.73847517730496,739.8988033486742,random_dense+2P
355.0,65.0,135.29609929078015,426.2633890397872,random_dense+2P
328.0,57.0,131.6427304964539,450.8998407713388,random_dense+2P
308.0,62.0,124.9122340425532,521.5570134487708,random_dense+2P
411.0,77.0,154.88209219858155,570.6004594524921,random_dense+2P
432.0,76.0,165.42109929078015,739.9902285787931,random_dense+2P
393.0,79.0,151.88563829787233,618.2413540252002,random_dense+2P
310.0,52.0,123.20390070921984,419.66055216035386,random_dense+2P
378.0,70.0,143.8209219858156,477.6736048237016,random_dense+2P
402.0,69.0,153.5345744680851,626.9704358118314,random_dense+2P
379.0,75.0,144.4964539007092,507.65069664503807,random_dense+2P
324.0,49.0,128.63741134751774,502.4899833698018,random_dense+2P
390.0,68.0,151.46099290780143,637.713017453852,random_dense+2P
351.0,68.0,140.34840425531914,641.3493591557271,random_dense+2P
352.0,78.0,135.8377659574468,438.8025808246572,random_dense+2P
366.0,59.0,143.94858156028369,572.3200511795181,random_dense+2P
400.0,83.0,151.98847517730496,588.463519660731,random_dense+2P
418.0,86.0,157.45478723404256,601.4855444582766,random_dense+2P
335.0,63.0,135.02393617021278,570.8549235136562,random_dense+2P
311.0,58.0,126.66932624113475,538.0936690495945,random_dense+2P
305.0,62.0,120.0168439716312,325.3357091884209,random_dense+2P
372.0,63.0,143.1090425531915,477.7584997925158,random_dense+2P
297.0,62.0,117.91755319148936,413.0525996868869,random_dense+2P
315.0,74.0,124.89804964539007,440.0153153450528,random_dense+2P
426.0,79.0,163.20744680851064,733.0633488003613,random_dense+2P
297.0,61.0,118.65425531914892,353.4655669986423,random_dense+2P
326.0,70.0,124.8413120567376,377.67428622176897,random_dense+2P
369.0,78.0,142.854609929078,574.333471656356,random_dense+2P
313.0,66.0,125.9441489361702,535.9250721480308,random_dense+2P
371.0,81.0,146.57535460992906,639.7070876402043,random_dense+2P
288.0,49.0,115.68173758865248,348.2843473353959,random_dense+2P
395.0,76.0,153.82890070921985,680.09749808234,random_dense+2P
316.0,70.0,126.40602836879432,474.6259211055784,random_dense+2P
435.0,81.0,161.61436170212767,617.4461412592423,random_dense+2P
386.0,65.0,150.88829787234042,633.5513524219108,random_dense+2P
404.0,72.0,153.02570921985816,576.2094454189928,random_dense+2P
353.0,79.0,139.25265957446808,577.1781844160254,random_dense+2P
