Compacidad,Tolerancia,Disimilitud,Balance,init_cross
44.0,8.0,21.6790780141844,18.148782128665545,greedy_multi+2P
18.0,4.0,9.141843971631204,4.192646245158696,greedy_multi+2P
22.0,5.0,11.143617021276595,5.060934434887556,greedy_multi+2P
36.0,8.0,18.27659574468085,14.99441677984023,greedy_multi+2P
25.0,3.0,12.704787234042554,7.257707578844068,greedy_multi+2P
19.0,3.0,9.677304964539006,7.945513304159765,greedy_multi+2P
35.0,7.0,16.54964539007092,9.162428952265971,greedy_multi+2P
16.0,1.0,8.15159574468085,5.674713765655642,greedy_multi+2P
33.0,8.0,15.52127659574468,8.08288063980682,greedy_multi+2P
10.0,1.0,5.086879432624113,2.1981257230521605,greedy_multi+2P
31.0,4.0,15.731382978723405,10.235469009355644,greedy_multi+2P
24.0,6.0,12.19326241134752,7.806621271565811,greedy_multi+2P
35.0,6.0,17.765070921985817,14.31980832830344,greedy_multi+2P
39.0,10.0,18.90070921985816,13.458226447361769,greedy_multi+2P
13.0,2.0,6.209219858156028,2.7399149942155714,greedy_multi+2P
45.0,10.0,21.54964539007092,16.42838639907449,greedy_multi+2P
26.0,4.0,13.22872340425532,9.791657235551495,greedy_multi+2P
7.0,1.0,3.381205673758865,1.5816325889039693,greedy_multi+2P
21.0,2.0,10.70035460992908,9.318014058648982,greedy_multi+2P
26.0,6.0,12.685283687943262,5.905386267038848,greedy_multi+2P
33.0,8.0,16.7322695035461,12.073710452190594,greedy_multi+2P
29.0,5.0,13.810283687943262,6.549114103918297,greedy_multi+2P
40.0,10.0,19.08067375886525,12.90217968789296,greedy_multi+2P
27.0,5.0,13.740248226950357,11.247245328454287,greedy_multi+2P
30.0,6.0,15.125,8.63774379432624,greedy_multi+2P
12.0,1.0,6.11081560283688,4.118039051104052,greedy_multi+2P
39.0,8.0,18.57801418439716,12.32547407072076,greedy_multi+2P
