AGEMOEA2-greedy_multi-1P,AGEMOEA2-greedy_multi-2P,AGEMOEA2-greedy_multi-HUX,AGEMOEA2-greedy_multi-UX,AGEMOEA2-greedy_ting-1P,AGEMOEA2-greedy_ting-2P,AGEMOEA2-greedy_ting-HUX,AGEMOEA2-greedy_ting-UX,AGEMOEA2-random_dense-1P,AGEMOEA2-random_dense-2P,AGEMOEA2-random_dense-HUX,AGEMOEA2-random_dense-UX,NSGA2-greedy_multi-1P,NSGA2-greedy_multi-2P,NSGA2-greedy_multi-HUX,NSGA2-greedy_multi-UX,NSGA2-greedy_ting-1P,NSGA2-greedy_ting-2P,NSGA2-greedy_ting-HUX,NSGA2-greedy_ting-UX,NSGA2-random_dense-1P,NSGA2-random_dense-2P,NSGA2-random_dense-HUX,NSGA2-random_dense-UX,NSGA3-greedy_multi-1P,NSGA3-greedy_multi-2P,NSGA3-greedy_multi-HUX,NSGA3-greedy_multi-UX,NSGA3-greedy_ting-1P,NSGA3-greedy_ting-2P,NSGA3-greedy_ting-HUX,NSGA3-greedy_ting-UX,NSGA3-random_dense-1P,NSGA3-random_dense-2P,NSGA3-random_dense-HUX,NSGA3-random_dense-UX,RVEA-greedy_multi-1P,RVEA-greedy_multi-2P,RVEA-greedy_multi-HUX,RVEA-greedy_multi-UX,RVEA-greedy_ting-1P,RVEA-greedy_ting-2P,RVEA-greedy_ting-HUX,RVEA-greedy_ting-UX,RVEA-random_dense-1P,RVEA-random_dense-2P,RVEA-random_dense-HUX,RVEA-random_dense-UX,SMSEMOA-greedy_multi-1P,SMSEMOA-greedy_multi-2P,SMSEMOA-greedy_multi-HUX,SMSEMOA-greedy_multi-UX,SMSEMOA-greedy_ting-1P,SMSEMOA-greedy_ting-2P,SMSEMOA-greedy_ting-HUX,SMSEMOA-greedy_ting-UX,SMSEMOA-random_dense-1P,SMSEMOA-random_dense-2P,SMSEMOA-random_dense-HUX,SMSEMOA-random_dense-UX,SPEA2-greedy_multi-1P,SPEA2-greedy_multi-2P,SPEA2-greedy_multi-HUX,SPEA2-greedy_multi-UX,SPEA2-greedy_ting-1P,SPEA2-greedy_ting-2P,SPEA2-greedy_ting-HUX,SPEA2-greedy_ting-UX,SPEA2-random_dense-1P,SPEA2-random_dense-2P,SPEA2-random_dense-HUX,SPEA2-random_dense-UX,UNSGA3-greedy_multi-1P,UNSGA3-greedy_multi-2P,UNSGA3-greedy_multi-HUX,UNSGA3-greedy_multi-UX,UNSGA3-greedy_ting-1P,UNSGA3-greedy_ting-2P,UNSGA3-greedy_ting-HUX,UNSGA3-greedy_ting-UX,UNSGA3-random_dense-1P,UNSGA3-random_dense-2P,UNSGA3-random_dense-HUX,UNSGA3-random_dense-UX
1.0,1.0,1.0,1.0,4.119525412579089e-23,4.8010223346831956e-23,2.3595006644672396e-12,1.4939612149010097e-11,0.0020003927906400917,9.147835130928786e-06,2.75360506566192e-06,4.8031519094526866e-06,1.0,1.0,1.0,1.0,7.974693077202641e-25,4.4884431050036903e-26,4.263772461396365e-26,4.395766777207237e-26,1.8041753221818907e-05,2.1263590969726086e-08,1.590270560141854e-14,1.4031080917901561e-14,1.0,1.0,1.0,1.0,8.734752909794835e-20,3.5445260631462867e-20,7.271208992056852e-16,2.41019980080574e-16,0.051183489665549316,0.0022719331694513838,7.886060560421626e-07,2.629145886997329e-06,1.0,1.0,1.0,1.0,5.066016013122268e-05,0.03028082079768425,1.2525934229495538e-08,8.501646257135498e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.211725193160338e-19,1.3653044290245307e-19,4.486382318721621e-16,2.6126569831114267e-16,0.6769289005032999,0.31677252408955014,1.0,1.0,1.0,1.0,1.0,1.0,4.465027755128464e-12,9.204634331395155e-10,3.761861737739059e-14,4.442481325271386e-13,0.0029775267257283315,0.006024899696606926,4.0979602465824226e-05,9.820089714043276e-05,1.0,1.0,1.0,1.0,1.2182385885080513e-19,3.633933656792917e-21,2.9422483903854707e-16,2.9340605178187466e-16,0.050044354614029084,0.003410374757302629,2.119860204253388e-06,7.863541226152061e-07
1.0,1.0,1.0,1.0,3.905999602269434e-21,4.5268623984421595e-21,7.156633117850873e-11,4.1006704896130326e-10,0.015510962317658193,0.00010849229300716434,3.552871435608973e-05,5.9614670487375455e-05,1.0,1.0,1.0,1.0,8.859915650103483e-23,5.58163455620876e-24,5.312674192137252e-24,5.47076814361146e-24,0.00020332937231948568,3.7858394211373837e-07,6.284640808437379e-13,5.579179868796528e-13,1.0,1.0,1.0,1.0,6.011086502057351e-18,2.5429824584184144e-18,3.3189500531438165e-14,1.1579009639814417e-14,0.2859794132995812,0.017348002829084885,1.1110226179746409e-05,3.4034181372025125e-05,1.0,1.0,1.0,1.0,0.0005274193185065934,0.17971141964956672,2.3137167623810623e-07,1.8555511972669063e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4631376242855005e-17,9.225659056467177e-18,2.0937062836399852e-14,1.2492071291351557e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3081022360710512e-10,1.99820100760529e-08,1.4197837946587563e-12,1.4646955733219735e-11,0.022133135252633197,0.04164608478292295,0.0004347812338775237,0.0009684608773554188,1.0,1.0,1.0,1.0,8.27005985032714e-18,2.8626603612583725e-19,1.3994185976673438e-14,1.3957384946632825e-14,0.2812648974524712,0.025079996082670124,2.783481842280461e-05,1.108110524497593e-05
1.0,1.0,1.0,1.0,1.0403532466571722e-15,1.1836750617846862e-15,6.262435927686399e-07,2.653152026909512e-06,1.0,0.0562701563911468,0.0241269515784113,0.03579480529134403,1.0,1.0,1.0,1.0,3.7832728546615344e-17,3.319600963061164e-18,3.1782764670088345e-18,3.2614792856764236e-18,0.0911701185050085,0.000683789147662313,1.1932342648727743e-08,1.0789208414684024e-08,1.0,1.0,1.0,1.0,6.190170433165696e-13,2.9363204588732055e-13,9.936077302506122e-10,4.060682750038116e-10,1.0,1.0,0.00979502272077482,0.023339808076027726,0.4366639978751228,0.6765046928874097,1.0,1.0,0.1864921257610303,1.0,0.0004605566255419996,5.996704116114907e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.330800792741755e-12,8.922741414503132e-13,6.716972724521115e-10,4.3283835068052016e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0349114250853757e-06,6.374068613037162e-05,2.371570556487773e-08,1.6828026233094723e-07,1.0,1.0,0.16110042510873757,0.2908536338083228,1.0,1.0,1.0,1.0,8.12278359771195e-13,4.402176657874442e-14,4.763567943263512e-10,4.753243265803029e-10,1.0,1.0,0.020061706696925686,0.009776446341433773
1.0,1.0,1.0,1.0,1.656654346889857e-15,1.8834938696492695e-15,8.698752879101946e-07,3.6374815994523768e-06,1.0,0.06984812894189867,0.03017507748943235,0.044407273265479275,1.0,1.0,1.0,1.0,6.140887962641225e-17,5.44734853789083e-18,5.219958562217958e-18,5.3558644447172985e-18,0.11231085059140307,0.0008910296246901718,1.7080182416585898e-08,1.5455186538780106e-08,1.0,1.0,1.0,1.0,9.44660613782932e-13,4.51547165856864e-13,1.4462058507696488e-09,5.940843279702043e-10,1.0,1.0,0.012436498914098454,0.029233732587462813,0.3610804082997562,0.5611300540620289,1.0,1.0,0.22761368483097869,1.0,0.0006019368220355113,8.011522634567124e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0252931172053857e-12,1.3641016279940581e-12,9.828497592975755e-10,6.341143151457425e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4270592658071796e-06,8.51101077750004e-05,3.372274975525171e-08,2.3536700678076814e-07,1.0,1.0,0.19734582828313235,0.3529984633396444,1.0,1.0,1.0,1.0,1.241688179258506e-12,6.852101345714268e-14,6.976567958408289e-10,6.961578321718671e-10,1.0,1.0,0.025079996082670124,0.012413265549360716
4.119525412579089e-23,3.905999602269434e-21,1.0403532466571722e-15,1.656654346889857e-15,1.0,1.0,1.0,1.0,1.6654009080562447e-05,0.003287442267332613,0.008472800500387718,0.005496387325633968,2.337090699642844e-19,1.3955294437292043e-17,2.1849920015112017e-13,1.7546537554519004e-13,1.0,1.0,1.0,1.0,0.001868530309141642,0.2023624803343491,1.0,1.0,1.0636464242820912e-25,1.0034358779360158e-23,2.4617407359469856e-18,2.9248076803374995e-19,1.0,1.0,1.0,1.0,2.07872973610651e-07,1.4345050171042086e-05,0.021068278848802108,0.008782526482224506,7.936709211440114e-33,3.6740612976700166e-32,3.4443036511814713e-31,5.391505551398547e-31,0.0007626360412539474,4.6102042581384814e-07,0.27045656027254206,1.0,1.3783868533768408e-11,4.6497947608742296e-11,6.811979860618156e-13,3.2399647077454048e-12,2.4622070737730422e-29,8.189327665525953e-29,7.090710493551697e-27,2.3555443248237323e-26,1.0,1.0,1.0,1.0,2.0936929163668493e-09,9.178368354460999e-09,1.9292370528198825e-10,2.951993738139427e-10,1.7261204467059054e-23,7.645325191824558e-23,4.4915760886713477e-14,3.1494165586026114e-15,1.0,1.0,1.0,1.0,1.0374531035078747e-05,4.274459831927718e-06,0.0009214478714513031,0.00041302959382793293,3.863955303608857e-25,4.088082972533533e-24,4.520074510402591e-19,4.378144282675472e-18,1.0,1.0,1.0,1.0,2.150605176627483e-07,8.731168038449602e-06,0.010321019586631359,0.021106244546267718
4.8010223346831956e-23,4.5268623984421595e-21,1.1836750617846862e-15,1.8834938696492695e-15,1.0,1.0,1.0,1.0,1.8106472186704998e-05,0.003518713886700986,0.009057064775597931,0.005885967030191001,2.6921330608743717e-19,1.597371736611159e-17,2.465203870859634e-13,1.980408452730323e-13,1.0,1.0,1.0,1.0,0.0020053042745667394,0.21416145877079804,1.0,1.0,1.2507018539746045e-25,1.1726728934002129e-23,2.826884979916618e-18,3.3690821661195757e-19,1.0,1.0,1.0,1.0,2.281178909027974e-07,1.5588455029045995e-05,0.022397392936965046,0.00938231912053082,9.516741354697073e-33,4.39404020776095e-32,4.1122686906908085e-31,6.433762542135083e-31,0.0008209722635882012,5.054236609559286e-07,0.284179370015296,1.0,1.5417704538968604e-11,5.1948644320976165e-11,7.660274247564709e-13,3.635941078982758e-12,2.9250543023177997e-29,9.709172704238944e-29,8.363526822654419e-27,2.775043722733537e-26,1.0,1.0,1.0,1.0,2.3231003323502976e-09,1.0154159450224068e-08,2.151240107395085e-10,3.2831305003686823e-10,2.0164087232572694e-23,8.905420049645186e-23,5.0792967062528144e-14,3.571122306642666e-15,1.0,1.0,1.0,1.0,1.127796539715581e-05,4.664343199913645e-06,0.0009895249032849632,0.0004449613026416189,4.534703544657696e-25,4.781751748635396e-24,5.200128320794332e-19,5.021678416283747e-18,1.0,1.0,1.0,1.0,2.3580121932471435e-07,9.51558013680227e-06,0.011043208140335943,0.0224375398324879
2.3595006644672396e-12,7.156633117850873e-11,6.262435927686399e-07,8.698752879101946e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4673701067771308e-09,2.8841200400258065e-08,2.5815792486125604e-05,2.2215773838548013e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5366502973399776e-14,8.12278359771195e-13,8.217811894348814e-09,1.7320543371473003e-09,1.0,1.0,1.0,1.0,0.185938907489827,1.0,1.0,1.0,7.090589969954337e-20,2.379929657649449e-19,1.3875461469968879e-18,1.9737146672464968e-18,1.0,0.2952264300400864,1.0,1.0,0.00042521242043660703,0.0009494376218380236,5.604364892791932e-05,0.0001612137785474804,3.9292839939963414e-17,1.0038690665558143e-16,3.1664253868943498e-15,7.97803667426991e-15,1.0,1.0,1.0,1.0,0.0110817630615832,0.027859080845894387,0.00238226527911294,0.003133097469977327,1.2249192222358406e-12,3.754992902002387e-12,8.708094256606779e-06,1.364944578969816e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.814712949417698e-14,4.125618050623247e-13,2.38507649517981e-09,1.2471095233571441e-08,1.0,1.0,1.0,1.0,0.18963397717854938,1.0,1.0,1.0
1.4939612149010097e-11,4.1006704896130326e-10,2.653152026909512e-06,3.6374815994523768e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.685703090173152e-09,1.3648484145857683e-07,9.515075063110466e-05,8.225994333005052e-05,1.0,0.7770318852112016,0.7649077027134163,0.7721642136378075,1.0,1.0,1.0,1.0,1.8310928217701729e-13,5.290496027709014e-12,4.0430499942329066e-08,9.018176462541262e-09,1.0,1.0,1.0,1.0,0.43984815176994496,1.0,1.0,1.0,6.9900004336663535e-19,2.2873182715257982e-18,1.278087043227632e-17,1.8006493989283094e-17,1.0,0.6864523373505986,1.0,1.0,0.0013795558986204415,0.002971457664489928,0.00019985113405175783,0.0005507104085098935,3.3324186147943046e-16,8.279568168649138e-16,2.403055680047693e-14,5.9248336018457e-14,1.0,1.0,1.0,1.0,0.03080719750080676,0.07393853455965187,0.007221138404822029,0.009385049445994496,7.88993960176348e-12,2.3478537984772696e-11,3.343230764055494e-05,5.614081850672655e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.79006154317663e-13,2.7318355990240045e-12,1.2284037239879586e-08,6.054305011724988e-08,1.0,1.0,1.0,1.0,0.44802351801224016,1.0,1.0,1.0
0.0020003927906400917,0.015510962317658193,1.0,1.0,1.6654009080562447e-05,1.8106472186704998e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.08726434875685338,0.4415925563403541,1.0,1.0,1.9051131922507442e-06,3.7831616902548737e-07,3.677587237735324e-07,3.7403520034019605e-07,1.0,1.0,0.2859619592941706,0.2723299805181437,0.00012115157073185492,0.0010475490605305721,0.22633254212141063,0.09580405829305387,0.0009378264964194057,0.0005928368336220091,0.07301508203909746,0.0437953214015989,1.0,1.0,1.0,1.0,2.6186166856641355e-08,5.966521907442522e-08,1.9719670633858155e-07,2.4954343867310487e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8278931009400614e-06,3.384352073112047e-06,3.2100541544551594e-05,5.803987985467896e-05,0.0014907452486949957,0.0011701495655570238,0.058496264607095144,0.045433355888138544,1.0,1.0,1.0,1.0,0.0013440758869735345,0.002656740428400445,1.0,1.0,1.0,1.0,0.41450645301499234,1.0,1.0,1.0,1.0,1.0,0.00022577181556322637,0.0006908380047252117,0.11450811860705734,0.2818528674237998,0.0011071370613976001,0.0001817680540072023,0.0480165525509244,0.047971643487698154,1.0,1.0,1.0,1.0
9.147835130928786e-06,0.00010849229300716434,0.0562701563911468,0.06984812894189867,0.003287442267332613,0.003518713886700986,1.0,1.0,1.0,1.0,1.0,1.0,0.0009226408671459256,0.007183700277512038,0.6034253472928423,0.5493051976224234,0.000545533669960903,0.00013944486878567064,0.00013624421658601726,0.0001381300337665904,1.0,1.0,1.0,1.0,3.2082399083067743e-07,4.173999650122089e-06,0.0030212311520597993,0.0010329731563243278,0.088420559430314,0.060905934886874874,1.0,1.0,1.0,1.0,1.0,1.0,1.7515870002122256e-11,4.512542465636171e-11,1.7824803463452076e-10,2.344899005034106e-10,1.0,1.0,1.0,1.0,1.0,1.0,0.9746605555522982,1.0,2.3567866291566143e-09,4.8385473224353956e-09,6.697496713343547e-08,1.34846936425588e-07,0.1288304824550408,0.10587927769343194,1.0,1.0,1.0,1.0,1.0,1.0,5.6350081384235435e-06,1.2855300110241965e-05,0.30521071518409265,0.09413556848618268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.681568510121995e-07,2.53194967041974e-06,0.0012886658862650696,0.004013268442638462,0.10119461095566283,0.02352658603141326,1.0,1.0,1.0,1.0,1.0,1.0
2.75360506566192e-06,3.552871435608973e-05,0.0241269515784113,0.03017507748943235,0.008472800500387718,0.009057064775597931,1.0,1.0,1.0,1.0,1.0,1.0,0.0003300773472786982,0.002776230212066111,0.2910668379826702,0.2657002395830994,0.0014901741644924638,0.00040577801895891915,0.00039664616979701945,0.0004022849802167616,1.0,1.0,1.0,1.0,8.65632312659595e-08,1.227011490663141e-06,0.0011344175823366316,0.0003722826938110395,0.19512197313200988,0.1369530527785212,1.0,1.0,1.0,1.0,1.0,1.0,3.6036873932281442e-12,9.522795803949125e-12,3.890352582082388e-11,5.149074280486885e-11,1.0,1.0,1.0,1.0,1.0,1.0,0.48056317131446763,0.9508941079627425,5.513445358258146e-10,1.1536864464319917e-09,1.7317965473013296e-08,3.543066430309909e-08,0.2768951460474875,0.23115985685065213,1.0,1.0,1.0,1.0,1.0,1.0,1.6736639090506295e-06,3.917184840814715e-06,0.14314843531758795,0.04088510843682064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8579793709937326e-07,7.305205843065629e-07,0.00046812038226783017,0.0015272749461115597,0.22171167407934905,0.05496337607694468,1.0,1.0,1.0,1.0,1.0,1.0
