algorithm,init,crossover,AvgHammingDistance,AvgHammingDistance_std
SPEA2,random_dense,HUX,152.53316707743184,3.969791206726437
SPEA2,random_dense,UX,151.48920974501362,3.7470966023339023
SMSEMOA,random_dense,HUX,143.7604329152888,2.5243059586019343
SMSEMOA,random_dense,UX,142.90512520538257,3.836375398029486
NSGA3,random_dense,UX,141.42799314164245,3.7931305242360804
UNSGA3,random_dense,UX,141.30705218899516,3.0487943584617283
NSGA2,random_dense,HUX,141.26762390549283,2.574238024927762
SMSEMOA,random_dense,2P,141.24428080716172,3.8571763017288467
NSGA3,random_dense,HUX,141.1451253015551,3.3407155512790316
UNSGA3,random_dense,HUX,141.0328465252342,3.5547459674641053
NSGA2,random_dense,UX,140.71147555687278,3.239394366637422
SPEA2,random_dense,1P,140.55892387325554,4.002183424328913
AGEMOEA2,random_dense,HUX,140.26930206318505,3.5150471892460895
SPEA2,random_dense,2P,139.61785801564028,4.001463356884994
AGEMOEA2,random_dense,UX,139.36123091761817,4.11719599614695
SMSEMOA,random_dense,1P,138.41003093505603,4.565649008258362
NSGA2,random_dense,2P,137.59391328514886,2.7474359819464516
NSGA2,random_dense,1P,137.2866960384352,3.8403320847399773
NSGA3,random_dense,2P,136.89468745722093,3.446462703853443
UNSGA3,random_dense,2P,136.26319875738153,4.4190192921542675
NSGA3,random_dense,1P,135.41379845285553,3.6047229152616107
UNSGA3,random_dense,1P,134.28994671283175,4.110424558283002
AGEMOEA2,random_dense,2P,133.53155404421705,3.700059104010244
AGEMOEA2,random_dense,1P,133.09307496724276,4.007803118064286
SPEA2,greedy_ting,2P,109.29036430710676,5.500787770619662
SPEA2,greedy_ting,1P,107.05842562550696,4.397162531793877
SPEA2,greedy_ting,UX,105.32085452153657,3.8064688260100774
SPEA2,greedy_ting,HUX,105.2696157265864,3.767627500952303
RVEA,random_dense,1P,103.08155697175317,3.1090737954764296
NSGA2,greedy_ting,2P,99.67616911789078,2.0808395656153564
NSGA2,greedy_ting,HUX,99.47487859029555,2.2905675926191904
NSGA2,greedy_ting,UX,99.45141415008007,2.42884774776936
RVEA,random_dense,2P,99.26555438645528,4.111031328879347
AGEMOEA2,greedy_ting,UX,98.3737258480481,7.985322747842766
AGEMOEA2,greedy_ting,1P,97.65061263804829,7.942862158087429
AGEMOEA2,greedy_ting,HUX,97.4388587747759,7.439839321703957
NSGA2,greedy_ting,1P,97.04342022212042,2.08021334867649
AGEMOEA2,greedy_ting,2P,96.7913504034858,9.330599186721152
NSGA3,greedy_ting,2P,96.36343203298321,3.7572949696027744
UNSGA3,greedy_ting,2P,95.96439481742227,3.791258526214128
UNSGA3,greedy_ting,1P,95.16736765664938,3.714965980728045
NSGA3,greedy_ting,1P,95.01895773649998,3.7725481719981513
SMSEMOA,greedy_ting,2P,93.30757547801042,13.088321203974122
RVEA,random_dense,UX,90.90764656989167,5.2602900268976365
NSGA3,greedy_ting,HUX,90.43659894153619,2.6294430004967198
NSGA3,greedy_ting,UX,90.40661795837488,2.398471962235968
UNSGA3,greedy_ting,HUX,90.28412770827101,2.6721909736430947
UNSGA3,greedy_ting,UX,89.92313717368087,1.9250137214209992
RVEA,random_dense,HUX,89.73601810911214,5.592701877327227
SMSEMOA,greedy_ting,1P,88.37726029519712,12.85326176633258
SMSEMOA,greedy_ting,UX,82.28456133919843,7.858615521294873
SMSEMOA,greedy_ting,HUX,81.12666710862919,4.50826650271561
RVEA,greedy_ting,UX,62.16044276045519,3.0825745557437583
RVEA,greedy_ting,HUX,60.35904711460931,6.556582857100316
RVEA,greedy_ting,1P,48.74208084063975,8.125158553979503
RVEA,greedy_ting,2P,42.325932147069715,4.660287595536865
SPEA2,greedy_multi,HUX,21.866547336785843,1.5933900643507783
SPEA2,greedy_multi,UX,21.45867455439779,1.6195922886031027
NSGA2,greedy_multi,HUX,20.426323686355982,1.045445492787587
NSGA2,greedy_multi,UX,20.22994553273562,0.9388278310828693
AGEMOEA2,greedy_multi,UX,18.452525815810823,1.549341141205708
AGEMOEA2,greedy_multi,HUX,18.338621934859926,1.5383362185068594
UNSGA3,greedy_multi,UX,17.36534272343441,1.178142728846464
NSGA3,greedy_multi,HUX,17.214717448251402,1.1916622914932833
UNSGA3,greedy_multi,HUX,16.866734081565216,0.9266505238125927
NSGA3,greedy_multi,UX,16.613208243802898,0.9473790810491013
NSGA2,greedy_multi,2P,16.44447858310359,0.8396587682543701
SPEA2,greedy_multi,2P,16.040150605228675,1.5321533356283792
NSGA2,greedy_multi,1P,15.520131892471122,0.9671863071761908
SMSEMOA,greedy_multi,UX,15.25034952164161,0.7775973337633343
SMSEMOA,greedy_multi,HUX,15.045192917419401,0.8323494388841862
SPEA2,greedy_multi,1P,14.816873349139993,1.5534058887557463
AGEMOEA2,greedy_multi,2P,14.757676888999812,1.065920638270802
NSGA3,greedy_multi,2P,14.093517002657503,0.7138369543159567
UNSGA3,greedy_multi,2P,13.91221903215925,0.7325372869730552
AGEMOEA2,greedy_multi,1P,13.781807956018664,0.7384209024679634
UNSGA3,greedy_multi,1P,13.23538012732306,0.8632286784369838
SMSEMOA,greedy_multi,2P,13.214671537030249,0.8188917158218253
NSGA3,greedy_multi,1P,13.133048213204836,0.920169902278954
SMSEMOA,greedy_multi,1P,12.950220881108914,0.991527687927667
RVEA,greedy_multi,UX,10.03150272693012,0.6666294476216681
RVEA,greedy_multi,HUX,9.92830939580521,0.6371424835073426
RVEA,greedy_multi,2P,9.064355941948767,0.613618985848435
RVEA,greedy_multi,1P,8.364956618582074,0.7492721822046211
