algorithm,init,crossover,GD+
SMSEMOA,greedy_multi,UX,8.130785503184051e-05
SMSEMOA,greedy_multi,HUX,0.000102262437839
SMSEMOA,greedy_multi,2P,0.0002402584387061
NSGA3,greedy_multi,UX,0.0002439302298462
UNSGA3,greedy_multi,UX,0.0002671616673478
SMSEMOA,greedy_multi,1P,0.0002684031910558
NSGA3,greedy_multi,HUX,0.0002727389347482
UNSGA3,greedy_multi,HUX,0.00028631291601169997
SPEA2,greedy_multi,1P,0.0003965528156659
NSGA3,greedy_multi,1P,0.0004135045212839
SPEA2,greedy_multi,2P,0.0004169477241865
NSGA3,greedy_multi,2P,0.0004546132457846
UNSGA3,greedy_multi,1P,0.0004900487588108
UNSGA3,greedy_multi,2P,0.0005001593311639
NSGA2,greedy_multi,HUX,0.0005520915351681
AGEMOEA2,greedy_multi,1P,0.0005665741135517
NSGA2,greedy_multi,UX,0.0005753731674677
SPEA2,greedy_multi,UX,0.0005928794479069
NSGA2,greedy_multi,2P,0.0006173877038706
AGEMOEA2,greedy_multi,2P,0.0006354414748246
NSGA2,greedy_multi,1P,0.0006508418041343
AGEMOEA2,greedy_multi,UX,0.0006578597580474
AGEMOEA2,greedy_multi,HUX,0.0006697072483247
SPEA2,greedy_multi,HUX,0.000760137657859
RVEA,greedy_multi,1P,0.0008366979785885
RVEA,greedy_multi,2P,0.0008664302328443
RVEA,greedy_multi,HUX,0.0011265232578782
RVEA,greedy_multi,UX,0.0011320088477209
SMSEMOA,random_dense,UX,0.001341701840887
SMSEMOA,random_dense,HUX,0.0014291640454251
SMSEMOA,greedy_ting,HUX,0.0054863585117932
SMSEMOA,greedy_ting,UX,0.0057415049454126
UNSGA3,random_dense,UX,0.0106268748696947
NSGA3,random_dense,HUX,0.0106303978875219
NSGA3,random_dense,UX,0.0112415356815736
UNSGA3,random_dense,HUX,0.0112843079542149
SMSEMOA,greedy_ting,2P,0.0128928821730503
SMSEMOA,greedy_ting,1P,0.0187172816169999
NSGA2,random_dense,HUX,0.0189593295055474
NSGA2,random_dense,UX,0.0191118638511036
NSGA3,greedy_ting,HUX,0.0195353488318914
UNSGA3,greedy_ting,HUX,0.0198918007936162
SMSEMOA,random_dense,2P,0.0203659093670826
NSGA3,greedy_ting,UX,0.0205264725160273
UNSGA3,greedy_ting,UX,0.0207630450263258
RVEA,random_dense,HUX,0.0216621348349324
NSGA2,greedy_ting,HUX,0.0217024670891356
NSGA2,greedy_ting,UX,0.0218114274535586
RVEA,random_dense,UX,0.0226089061889194
AGEMOEA2,random_dense,UX,0.023696867286347
AGEMOEA2,random_dense,HUX,0.024329362624925
SPEA2,random_dense,UX,0.0255944633528811
SPEA2,random_dense,HUX,0.0256855954629889
NSGA2,greedy_ting,2P,0.0274688796231547
SMSEMOA,random_dense,1P,0.0296490495451644
SPEA2,greedy_ting,HUX,0.0300733285002252
SPEA2,greedy_ting,UX,0.0307629255338627
NSGA2,greedy_ting,1P,0.0315611494171766
NSGA2,random_dense,2P,0.0350175521409077
AGEMOEA2,greedy_ting,HUX,0.0356193595898611
AGEMOEA2,greedy_ting,UX,0.0358303832712463
UNSGA3,random_dense,2P,0.0399139393260884
NSGA3,random_dense,2P,0.0402490097824296
SPEA2,greedy_ting,2P,0.0403255412530716
SPEA2,random_dense,2P,0.0410238024570182
NSGA2,random_dense,1P,0.0414170840984604
UNSGA3,greedy_ting,2P,0.0423166708092799
NSGA3,greedy_ting,2P,0.0429681087727731
AGEMOEA2,random_dense,2P,0.0437960593985979
RVEA,random_dense,2P,0.0465701214492853
NSGA3,random_dense,1P,0.0475342879902407
NSGA3,greedy_ting,1P,0.0480209335472345
AGEMOEA2,greedy_ting,2P,0.0480781668854524
UNSGA3,random_dense,1P,0.048863861826833006
UNSGA3,greedy_ting,1P,0.0489016847927068
AGEMOEA2,random_dense,1P,0.0497543672532333
SPEA2,greedy_ting,1P,0.04983310859906919
SPEA2,random_dense,1P,0.0511633534327401
AGEMOEA2,greedy_ting,1P,0.0517583404519068
RVEA,random_dense,1P,0.0520408942892965
RVEA,greedy_ting,2P,0.0555798012830377
RVEA,greedy_ting,HUX,0.0569163135256093
RVEA,greedy_ting,UX,0.0589984704002932
RVEA,greedy_ting,1P,0.0623496816447299
