algorithm,init,crossover,MaxToleranceRate,MaxToleranceRate_std
AGEMOEA2,greedy_multi,UX,0.2916532756651478,0.004917217852087765
AGEMOEA2,greedy_multi,HUX,0.29039055910145056,0.006788836702404462
SPEA2,greedy_multi,HUX,0.2874089473454086,0.005977398156241534
SPEA2,greedy_multi,1P,0.28709815913328707,0.005900533548290365
AGEMOEA2,greedy_multi,2P,0.2857855763515471,0.007575098045876031
SPEA2,greedy_multi,UX,0.2851105888994512,0.005813443783074456
SPEA2,greedy_multi,2P,0.2845594186406123,0.007830220633874995
AGEMOEA2,greedy_multi,1P,0.28316982617089836,0.0063966041618171215
NSGA2,greedy_multi,2P,0.27875549838902886,0.007017132840162173
NSGA2,greedy_multi,UX,0.27797912265819136,0.006801994144555068
UNSGA3,greedy_multi,UX,0.2775605716186148,0.006898763009582297
NSGA2,greedy_multi,HUX,0.27731972123157583,0.006416223795614996
NSGA2,greedy_multi,1P,0.2772995218694549,0.006930345334968585
SMSEMOA,greedy_ting,HUX,0.27680607868800344,0.004556508850527217
NSGA3,greedy_multi,HUX,0.2767323299007897,0.007134827928912154
SMSEMOA,greedy_ting,UX,0.27661136858517305,0.006682508055154581
UNSGA3,greedy_multi,HUX,0.27507037936377093,0.009152943494843262
NSGA3,greedy_multi,2P,0.27504001310069237,0.006642251963610761
NSGA3,greedy_multi,1P,0.27408989638993475,0.009394136684356662
UNSGA3,greedy_multi,2P,0.27391757066073746,0.00921458342983596
NSGA3,greedy_multi,UX,0.2727398175010465,0.005200414488140825
UNSGA3,greedy_multi,1P,0.2691626310646947,0.008806999543185059
SMSEMOA,greedy_ting,2P,0.26259899249558855,0.0064394954560886486
SMSEMOA,greedy_multi,1P,0.2624012224225428,0.010760340830065803
SMSEMOA,greedy_multi,2P,0.25970756731227723,0.010031250616787137
SMSEMOA,random_dense,UX,0.254011286343347,0.0025310070152766567
SMSEMOA,greedy_ting,1P,0.25348160600422265,0.006526296901184501
SMSEMOA,random_dense,HUX,0.25262691052010866,0.0025079026744522326
NSGA3,random_dense,HUX,0.25238153672218794,0.004052904212457918
SMSEMOA,greedy_multi,UX,0.2523523069962698,0.008483232048117946
UNSGA3,random_dense,UX,0.25189445670193744,0.004166692830157975
UNSGA3,random_dense,HUX,0.25154887279634985,0.004539571242162065
SMSEMOA,greedy_multi,HUX,0.2512931885779664,0.007857045796013658
NSGA3,random_dense,UX,0.25033932907488754,0.004349051384558033
AGEMOEA2,random_dense,HUX,0.2502576634897192,0.004661102625183157
AGEMOEA2,random_dense,UX,0.2496857139763925,0.004999071724625065
NSGA3,greedy_ting,HUX,0.24791180721409473,0.006270835659550436
UNSGA3,greedy_ting,UX,0.2471474828817033,0.006161879574051104
UNSGA3,greedy_ting,HUX,0.24649837041753245,0.005965673341095678
NSGA2,greedy_ting,HUX,0.24622017423359413,0.003972027687687122
SMSEMOA,random_dense,2P,0.24579333240674112,0.0032550078203283173
RVEA,random_dense,HUX,0.24482201953681104,0.008216056828363854
NSGA3,greedy_ting,UX,0.2447795545252458,0.006157201790442881
RVEA,random_dense,UX,0.24469254953829037,0.00541664060430201
NSGA2,greedy_ting,UX,0.24370093778564209,0.005184533405174877
AGEMOEA2,greedy_ting,UX,0.2416470771306378,0.007582831923330525
SMSEMOA,random_dense,1P,0.23998770179725498,0.004040293744391036
RVEA,greedy_multi,2P,0.2387761418561341,0.015178841833428155
AGEMOEA2,greedy_ting,HUX,0.2380260676725794,0.00696818582472259
NSGA2,random_dense,HUX,0.23695945274841002,0.0043813328300422285
RVEA,greedy_multi,1P,0.23695428336694685,0.010421223801217348
AGEMOEA2,random_dense,2P,0.23685364848885335,0.005906320463086058
NSGA2,random_dense,UX,0.23627520237606456,0.004753604823127072
UNSGA3,random_dense,2P,0.23430889726837253,0.0040763163179133284
NSGA3,random_dense,2P,0.2338189288697956,0.004582028732642494
SPEA2,greedy_ting,UX,0.2335056319812176,0.00580456297725273
SPEA2,random_dense,HUX,0.23323357806779468,0.0047279032559365605
SPEA2,random_dense,UX,0.23301693068125542,0.004108549311760979
SPEA2,greedy_ting,HUX,0.2328384375538495,0.005621262200188786
NSGA2,greedy_ting,2P,0.2320659345036741,0.005392128457438188
AGEMOEA2,random_dense,1P,0.23199995388844094,0.004471555661138644
UNSGA3,greedy_ting,2P,0.2319878436285943,0.00491690988663196
AGEMOEA2,greedy_ting,2P,0.230772374032086,0.004851185351313074
NSGA3,greedy_ting,2P,0.2301383202493485,0.004798018082452983
NSGA2,random_dense,2P,0.22999644922863613,0.004519406115509804
NSGA3,random_dense,1P,0.22951088466114627,0.004056388626432658
SPEA2,random_dense,2P,0.228885679384121,0.005171057062757535
SPEA2,greedy_ting,2P,0.2284077146047437,0.006237961595321635
UNSGA3,random_dense,1P,0.22835323422683612,0.003922397079959245
AGEMOEA2,greedy_ting,1P,0.228082502513096,0.004888462970085294
RVEA,greedy_multi,UX,0.22681052366119203,0.011438623923744855
RVEA,greedy_multi,HUX,0.22632095109392894,0.01662904852483689
SPEA2,greedy_ting,1P,0.22567508936434402,0.0045006040335219604
RVEA,random_dense,2P,0.2255446490784617,0.004651598520453478
NSGA3,greedy_ting,1P,0.2253667319550055,0.00482161299534383
NSGA2,random_dense,1P,0.22516098501187654,0.0049223869990725295
UNSGA3,greedy_ting,1P,0.22430411540073258,0.004232427908233911
NSGA2,greedy_ting,1P,0.22399941566966672,0.006125169187556205
SPEA2,random_dense,1P,0.2230023399138059,0.0050846723007647344
RVEA,random_dense,1P,0.21867084218295316,0.004843912622609635
RVEA,greedy_ting,HUX,0.1799365704197656,0.008202157834281746
RVEA,greedy_ting,UX,0.1784027316922831,0.00823078426975925
RVEA,greedy_ting,1P,0.1674653789318814,0.014532414530878404
RVEA,greedy_ting,2P,0.1659546016840306,0.010835316579489678
