algorithm,init,crossover,MinSum
SMSEMOA,random_dense,UX,1.3838303367649485
SMSEMOA,random_dense,HUX,1.3838736021224194
UNSGA3,random_dense,UX,1.421082791747854
UNSGA3,random_dense,HUX,1.422203173800942
NSGA3,random_dense,HUX,1.422779986819728
NSGA3,random_dense,UX,1.4228211900874088
SMSEMOA,random_dense,2P,1.4249812491513845
AGEMOEA2,random_dense,HUX,1.431949768663247
AGEMOEA2,random_dense,UX,1.435961364228175
NSGA2,random_dense,UX,1.4442939341367989
NSGA2,random_dense,HUX,1.4452052676814284
SMSEMOA,random_dense,1P,1.447980078176383
NSGA2,greedy_ting,HUX,1.4613628266240317
NSGA2,greedy_ting,UX,1.4636566375416493
NSGA3,greedy_ting,HUX,1.4690935791470667
UNSGA3,random_dense,2P,1.469795457182296
UNSGA3,greedy_ting,UX,1.471897883164362
NSGA3,random_dense,2P,1.4742595903664288
NSGA3,greedy_ting,UX,1.4756665878981265
UNSGA3,greedy_ting,HUX,1.4766886894568532
SPEA2,random_dense,HUX,1.4788457039803853
SPEA2,random_dense,UX,1.4803964842395494
AGEMOEA2,random_dense,2P,1.4807893659268019
NSGA3,random_dense,1P,1.4909219587419766
UNSGA3,greedy_ting,2P,1.492719410025972
AGEMOEA2,random_dense,1P,1.4958983320186776
UNSGA3,random_dense,1P,1.4963281785711633
NSGA2,random_dense,2P,1.498864612948365
SPEA2,random_dense,2P,1.5002333183436893
NSGA3,greedy_ting,2P,1.500382373933575
AGEMOEA2,greedy_ting,UX,1.5043021904041274
AGEMOEA2,greedy_ting,HUX,1.505257474262679
AGEMOEA2,greedy_ting,2P,1.5083830903972244
NSGA2,random_dense,1P,1.5087827907503746
SPEA2,random_dense,1P,1.5143751779303856
SMSEMOA,greedy_ting,2P,1.5153006528775073
AGEMOEA2,greedy_ting,1P,1.5172062216540316
NSGA3,greedy_ting,1P,1.5179384827662046
UNSGA3,greedy_ting,1P,1.5182547082789473
NSGA2,greedy_ting,2P,1.5196236555027283
SMSEMOA,greedy_ting,UX,1.5315415200445657
SMSEMOA,greedy_ting,HUX,1.533382834219359
SPEA2,greedy_ting,1P,1.533778177879537
SPEA2,greedy_ting,HUX,1.5345475249206022
NSGA2,greedy_ting,1P,1.5349238826153173
SPEA2,greedy_ting,UX,1.536890784694909
SMSEMOA,greedy_ting,1P,1.5408989404819806
SPEA2,greedy_ting,2P,1.5413933452878563
RVEA,random_dense,UX,1.554818187609734
RVEA,random_dense,HUX,1.5603775328569895
RVEA,random_dense,2P,1.577394126221721
RVEA,random_dense,1P,1.5869109249441036
RVEA,greedy_ting,UX,1.768880938959166
RVEA,greedy_ting,HUX,1.7694126629082583
RVEA,greedy_ting,1P,1.7755315166063803
RVEA,greedy_ting,2P,1.8094055785661503
SPEA2,greedy_multi,HUX,1.8425362760597894
NSGA2,greedy_multi,HUX,1.8427426830413116
NSGA2,greedy_multi,UX,1.8438801633956183
SPEA2,greedy_multi,UX,1.8480130612951784
AGEMOEA2,greedy_multi,HUX,1.8598328508146584
AGEMOEA2,greedy_multi,UX,1.8604697526321792
NSGA2,greedy_multi,2P,1.8701439947680074
UNSGA3,greedy_multi,UX,1.870421035445843
NSGA3,greedy_multi,HUX,1.8732043615531944
UNSGA3,greedy_multi,HUX,1.8767866527941472
NSGA3,greedy_multi,UX,1.876945477485257
NSGA2,greedy_multi,1P,1.8789774164679145
SPEA2,greedy_multi,2P,1.88462066192326
SPEA2,greedy_multi,1P,1.8874568681802688
AGEMOEA2,greedy_multi,2P,1.8881179908479633
NSGA3,greedy_multi,2P,1.8941543753270418
AGEMOEA2,greedy_multi,1P,1.8949295842189773
UNSGA3,greedy_multi,2P,1.896146482704376
UNSGA3,greedy_multi,1P,1.8977457587730189
NSGA3,greedy_multi,1P,1.8997632415385026
SMSEMOA,greedy_multi,UX,1.9061185634783313
SMSEMOA,greedy_multi,HUX,1.9071790044429804
SMSEMOA,greedy_multi,2P,1.9131658220417627
SMSEMOA,greedy_multi,1P,1.9153345512621534
RVEA,greedy_multi,UX,1.9334495340621833
RVEA,greedy_multi,HUX,1.9346198993195578
RVEA,greedy_multi,2P,1.9379153905973394
RVEA,greedy_multi,1P,1.9445867795191174
