algorithm,init,crossover,Range
NSGA2,greedy_ting,UX,2.4228786116691032
NSGA2,greedy_ting,HUX,2.4181410041420235
NSGA2,greedy_ting,2P,2.4151666817028246
NSGA2,greedy_ting,1P,2.344916036491191
AGEMOEA2,greedy_ting,1P,2.236251836279098
AGEMOEA2,greedy_ting,2P,2.235841543806733
UNSGA3,greedy_ting,2P,2.1450496970929893
NSGA3,greedy_ting,2P,2.116866039415575
UNSGA3,greedy_ting,1P,2.0891921724855247
NSGA3,greedy_ting,1P,2.088855259532304
SMSEMOA,greedy_ting,2P,2.079296098864133
SMSEMOA,greedy_ting,1P,2.072008856890533
SMSEMOA,greedy_ting,UX,2.0038683392034744
UNSGA3,greedy_ting,HUX,2.0009126535419925
NSGA3,greedy_ting,UX,1.9999655304116886
UNSGA3,greedy_ting,UX,1.9997774973252846
SMSEMOA,greedy_ting,HUX,1.9987022176343825
NSGA3,greedy_ting,HUX,1.9896184662745717
NSGA2,random_dense,HUX,1.9522755181551028
NSGA2,random_dense,UX,1.9463096250590655
SPEA2,greedy_ting,HUX,1.924161417750703
SPEA2,greedy_ting,UX,1.8588475435530742
SPEA2,greedy_ting,1P,1.8148378052093563
AGEMOEA2,greedy_ting,HUX,1.7962238065158223
AGEMOEA2,greedy_ting,UX,1.7620776278448975
SPEA2,greedy_ting,2P,1.6100861625809102
RVEA,greedy_ting,UX,1.6095759184109677
RVEA,greedy_ting,HUX,1.5394653174870856
NSGA2,random_dense,2P,1.4891160350113966
NSGA3,random_dense,HUX,1.3818776565584852
UNSGA3,random_dense,UX,1.3773604741750394
UNSGA3,random_dense,HUX,1.3564689873907976
AGEMOEA2,random_dense,HUX,1.3561275887381354
NSGA3,random_dense,UX,1.3517919691404312
AGEMOEA2,random_dense,UX,1.3404040065053293
AGEMOEA2,random_dense,2P,1.3268989496253174
RVEA,greedy_ting,1P,1.3125061937493705
NSGA2,random_dense,1P,1.3112088396739363
SPEA2,random_dense,HUX,1.2915977217076937
SPEA2,random_dense,UX,1.2693198171910651
NSGA3,random_dense,2P,1.1814045779050626
AGEMOEA2,random_dense,1P,1.180795568748483
SPEA2,random_dense,1P,1.1716184802708116
UNSGA3,random_dense,2P,1.1679811910581757
SPEA2,random_dense,2P,1.1491475858904638
RVEA,greedy_ting,2P,1.0812526302706638
UNSGA3,random_dense,1P,1.0591405249677068
NSGA3,random_dense,1P,1.0579890737375213
SMSEMOA,random_dense,2P,0.9041330734344076
SMSEMOA,random_dense,1P,0.7692134860172175
SMSEMOA,random_dense,UX,0.6644293763996016
SMSEMOA,random_dense,HUX,0.6519260687576354
RVEA,random_dense,2P,0.587175655624696
RVEA,random_dense,1P,0.5282832693404171
RVEA,random_dense,UX,0.49814184272227946
RVEA,random_dense,HUX,0.45630637000088853
NSGA2,greedy_multi,HUX,0.3408936902737022
NSGA2,greedy_multi,UX,0.33741181317845725
SPEA2,greedy_multi,HUX,0.32412209930374475
SPEA2,greedy_multi,UX,0.3025629144148731
AGEMOEA2,greedy_multi,UX,0.29573376300639814
AGEMOEA2,greedy_multi,HUX,0.2938335848154093
NSGA2,greedy_multi,2P,0.2646287607705309
UNSGA3,greedy_multi,UX,0.25948939418697875
NSGA3,greedy_multi,HUX,0.25698819978724435
UNSGA3,greedy_multi,HUX,0.2482064291745209
NSGA3,greedy_multi,UX,0.2458524156516446
NSGA2,greedy_multi,1P,0.2450456094585637
AGEMOEA2,greedy_multi,2P,0.22664630524706272
SPEA2,greedy_multi,2P,0.21080636836548944
AGEMOEA2,greedy_multi,1P,0.20828792122820433
SPEA2,greedy_multi,1P,0.20668861478636297
NSGA3,greedy_multi,2P,0.2034325901156142
UNSGA3,greedy_multi,2P,0.2008330538969419
UNSGA3,greedy_multi,1P,0.19372621555303773
NSGA3,greedy_multi,1P,0.18876648667029772
SMSEMOA,greedy_multi,UX,0.18489993397662652
SMSEMOA,greedy_multi,HUX,0.18163755504522608
SMSEMOA,greedy_multi,2P,0.16465049739846727
SMSEMOA,greedy_multi,1P,0.15699336362194038
RVEA,greedy_multi,UX,0.13090665492031492
RVEA,greedy_multi,HUX,0.12771163740283695
RVEA,greedy_multi,2P,0.11324073703418851
RVEA,greedy_multi,1P,0.09970650578654879
